col_1,col_2,col_3,division
,Attorney General,,All
,Josh Shapiro,John Rafferty,All
Josh Shapiro,"6,758",0,All
John Rafferty,,782,All
Total,"6,758",782,All
,Attorney General,,1
,Josh Shapiro,John Rafferty,1
Josh Shapiro,300,0,1
John Rafferty,,56,1
Total,300,56,1
,Attorney General,,2
,Josh Shapiro,John Rafferty,2
Josh Shapiro,266,0,2
John Rafferty,,52,2
Total,266,52,2
,Attorney General,,3
,Josh Shapiro,John Rafferty,3
Josh Shapiro,252,0,3
John Rafferty,,52,3
Total,252,52,3
,Attorney General,,4
,Josh Shapiro,John Rafferty,4
Josh Shapiro,248,0,4
John Rafferty,,56,4
Total,248,56,4
,Attorney General,,5
,Josh Shapiro,John Rafferty,5
Josh Shapiro,293,0,5
John Rafferty,,26,5
Total,293,26,5
,Attorney General,,6
,Josh Shapiro,John Rafferty,6
Josh Shapiro,347,0,6
John Rafferty,,43,6
Total,347,43,6
,Attorney General,,7
,Josh Shapiro,John Rafferty,7
Josh Shapiro,404,0,7
John Rafferty,,40,7
Total,404,40,7
,Attorney General,,8
,Josh Shapiro,John Rafferty,8
Josh Shapiro,349,0,8
John Rafferty,,28,8
Total,349,28,8
,Attorney General,,9
,Josh Shapiro,John Rafferty,9
Josh Shapiro,308,0,9
John Rafferty,,54,9
Total,308,54,9
,Attorney General,,10
,Josh Shapiro,John Rafferty,10
Josh Shapiro,284,0,10
John Rafferty,,32,10
Total,284,32,10
,Attorney General,,11
,Josh Shapiro,John Rafferty,11
Josh Shapiro,339,0,11
John Rafferty,,48,11
Total,339,48,11
,Attorney General,,12
,Josh Shapiro,John Rafferty,12
Josh Shapiro,390,0,12
John Rafferty,,51,12
Total,390,51,12
,Attorney General,,13
,Josh Shapiro,John Rafferty,13
Josh Shapiro,305,0,13
John Rafferty,,37,13
Total,305,37,13
,Attorney General,,14
,Josh Shapiro,John Rafferty,14
Josh Shapiro,305,0,14
John Rafferty,,46,14
Total,305,46,14
,Attorney General,,15
,Josh Shapiro,John Rafferty,15
Josh Shapiro,300,0,15
John Rafferty,,24,15
Total,300,24,15
,Attorney General,,16
,Josh Shapiro,John Rafferty,16
Josh Shapiro,200,0,16
John Rafferty,,25,16
Total,200,25,16
,Attorney General,,17
,Josh Shapiro,John Rafferty,17
Josh Shapiro,190,0,17
John Rafferty,,10,17
Total,190,10,17
,Attorney General,,18
,Josh Shapiro,John Rafferty,18
Josh Shapiro,218,0,18
John Rafferty,,14,18
Total,218,14,18
,Attorney General,,19
,Josh Shapiro,John Rafferty,19
Josh Shapiro,267,0,19
John Rafferty,,11,19
Total,267,11,19
,Attorney General,,20
,Josh Shapiro,John Rafferty,20
Josh Shapiro,206,0,20
John Rafferty,,15,20
Total,206,15,20
,Attorney General,,21
,Josh Shapiro,John Rafferty,21
Josh Shapiro,195,0,21
John Rafferty,,10,21
Total,195,10,21
,Attorney General,,22
,Josh Shapiro,John Rafferty,22
Josh Shapiro,340,0,22
John Rafferty,,19,22
Total,340,19,22
,Attorney General,,23
,Josh Shapiro,John Rafferty,23
Josh Shapiro,207,0,23
John Rafferty,,18,23
Total,207,18,23
,Attorney General,,24
,Josh Shapiro,John Rafferty,24
Josh Shapiro,245,0,24
John Rafferty,,15,24
Total,245,15,24
