col_1,col_2,col_3,col_4,col_5,division
,Representative In Congress 13th District,United States Senator,,,All
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,All
Brendan F Boyle,109,"6,558",674,81,All
Katie Mcginty,,169,0,0,All
Pat Toomey,,,929,0,All
Edward T Clifford Iii,,,,18,All
Total,"7,422","6,727","1,603",99,All
,Representative In Congress 13th District,United States Senator,,,1
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,1
Brendan F Boyle,11,336,13,1,1
Katie Mcginty,,13,0,0,1
Pat Toomey,,,21,0,1
Edward T Clifford Iii,,,,0,1
Total,361,349,34,1,1
,Representative In Congress 13th District,United States Senator,,,2
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,2
Brendan F Boyle,5,374,12,1,2
Katie Mcginty,,7,0,0,2
Pat Toomey,,,17,0,2
Edward T Clifford Iii,,,,0,2
Total,392,381,29,1,2
,Representative In Congress 13th District,United States Senator,,,3
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,3
Brendan F Boyle,3,368,17,2,3
Katie Mcginty,,8,0,0,3
Pat Toomey,,,15,0,3
Edward T Clifford Iii,,,,1,3
Total,390,376,32,3,3
,Representative In Congress 13th District,United States Senator,,,4
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,4
Brendan F Boyle,4,374,24,2,4
Katie Mcginty,,3,0,0,4
Pat Toomey,,,28,0,4
Edward T Clifford Iii,,,,1,4
Total,404,377,52,3,4
,Representative In Congress 13th District,United States Senator,,,5
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,5
Brendan F Boyle,7,388,19,5,5
Katie Mcginty,,7,0,0,5
Pat Toomey,,,22,0,5
Edward T Clifford Iii,,,,1,5
Total,419,395,41,6,5
,Representative In Congress 13th District,United States Senator,,,6
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,6
Brendan F Boyle,3,286,30,6,6
Katie Mcginty,,16,0,0,6
Pat Toomey,,,29,0,6
Edward T Clifford Iii,,,,1,6
Total,325,302,59,7,6
,Representative In Congress 13th District,United States Senator,,,7
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,7
Brendan F Boyle,4,331,12,4,7
Katie Mcginty,,5,0,0,7
Pat Toomey,,,24,0,7
Edward T Clifford Iii,,,,1,7
Total,351,336,36,5,7
,Representative In Congress 13th District,United States Senator,,,8
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,8
Brendan F Boyle,2,216,11,4,8
Katie Mcginty,,3,0,0,8
Pat Toomey,,,32,0,8
Edward T Clifford Iii,,,,1,8
Total,233,219,43,5,8
,Representative In Congress 13th District,United States Senator,,,9
,Brendan F Boyle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,9
Brendan F Boyle,6,260,7,1,9
Katie Mcginty,,4,0,0,9
Pat Toomey,,,20,0,9
Edward T Clifford Iii,,,,1,9
Total,274,264,27,2,9
,Representative In Congress 13th District,United States Senator,,,10
