col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Senator In The General Assembly 3rd District,President And Vice President Of The United States,,,,,All
,Sharif Street,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,All
Sharif Street,66,"4,138",164,51,38,1,All
Hillary Clinton,,267,0,0,0,0,All
Donald J Trump,,,187,0,0,0,All
Jill Stein,,,,10,0,0,All
Gary Johnson,,,,,21,0,All
Darrell L Castle,,,,,,1,All
Total,"4,458","4,405",351,61,59,2,All
,Senator In The General Assembly 3rd District,President And Vice President Of The United States,,,,,1
,Sharif Street,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,1
Sharif Street,7,434,16,8,5,0,1
Hillary Clinton,,26,0,0,0,0,1
Donald J Trump,,,23,0,0,0,1
Jill Stein,,,,2,0,0,1
Gary Johnson,,,,,3,0,1
Darrell L Castle,,,,,,1,1
Total,470,460,39,10,8,1,1
,Senator In The General Assembly 3rd District,President And Vice President Of The United States,,,,,2
,Sharif Street,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,2
Sharif Street,0,188,3,6,0,0,2
Hillary Clinton,,5,0,0,0,0,2
Donald J Trump,,,6,0,0,0,2
Jill Stein,,,,1,0,0,2
Darrell L Castle,,,,,0,0,2
Gary Johnson,,,,,,0,2
Total,197,193,9,7,0,0,2
,President And Vice President Of The United States,,,,,Senator In The General Assembly 3rd District,3
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Sharif Street,3
Hillary Clinton,17,0,0,0,0,384,3
Donald J Trump,,8,0,0,0,5,3
Gary Johnson,,,1,0,0,2,3
Jill Stein,,,,0,0,3,3
Darrell L Castle,,,,,0,0,3
Sharif Street,,,,,,6,3
Total,401,13,3,3,0,400,3
,President And Vice President Of The United States,,,,,Senator In The General Assembly 3rd District,4
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Sharif Street,4
Hillary Clinton,60,0,0,0,0,344,4
Donald J Trump,,6,0,0,0,3,4
Jill Stein,,,0,0,0,1,4
Darrell L Castle,,,,0,0,0,4
Gary Johnson,,,,,0,0,4
Sharif Street,,,,,,6,4
Total,404,9,1,0,0,354,4
,President And Vice President Of The United States,,,,,Senator In The General Assembly 3rd District,5
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Sharif Street,5
Hillary Clinton,9,0,0,0,0,155,5
Donald J Trump,,7,0,0,0,0,5
Gary Johnson,,,1,0,0,0,5
Jill Stein,,,,0,0,1,5
Darrell L Castle,,,,,0,0,5
Sharif Street,,,,,,1,5
Total,164,7,1,1,0,157,5
,President And Vice President Of The United States,,,,,Senator In The General Assembly 3rd District,6
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Sharif Street,6
Hillary Clinton,17,0,0,0,0,433,6
Donald J Trump,,11,0,0,0,1,6
Jill Stein,,,1,0,0,5,6
Gary Johnson,,,,1,0,2,6
Darrell L Castle,,,,,0,0,6
Sharif Street,,,,,,8,6
Total,450,12,6,3,0,449,6
,Senator In The General Assembly 3rd District,President And Vice President Of The United States,,,,,7
,Sharif Street,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,7
Sharif Street,7,722,43,9,13,1,7
Hillary Clinton,,41,0,0,0,0,7
Donald J Trump,,,46,0,0,0,7
Gary Johnson,,,,5,0,0,7
Jill Stein,,,,,1,0,7
Darrell L Castle,,,,,,0,7
Total,795,763,89,14,14,1,7
,President And Vice President Of The United States,,,,,Senator In The General Assembly 3rd District,8
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Sharif Street,8
Hillary Clinton,9,0,0,0,0,124,8
Donald J Trump,,5,0,0,0,4,8
Gary Johnson,,,2,0,0,1,8
Jill Stein,,,,1,0,0,8
Darrell L Castle,,,,,0,0,8
Sharif Street,,,,,,0,8
Total,133,9,3,1,0,129,8
,Senator In The General Assembly 3rd District,President And Vice President Of The United States,,,,,9
,Sharif Street,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,9
Sharif Street,9,362,19,6,5,0,9
Hillary Clinton,,19,0,0,0,0,9
Donald J Trump,,,13,0,0,0,9
Gary Johnson,,,,2,0,0,9
Jill Stein,,,,,3,0,9
Darrell L Castle,,,,,,0,9
Total,401,381,32,8,8,0,9
,President And Vice President Of The United States,,,,,Senator In The General Assembly 3rd District,10
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Sharif Street,10
Hillary Clinton,29,0,0,0,0,357,10
Donald J Trump,,7,0,0,0,2,10
Gary Johnson,,,2,0,0,3,10
Jill Stein,,,,0,0,3,10
Darrell L Castle,,,,,0,0,10
Sharif Street,,,,,,8,10
Total,386,9,5,3,0,373,10
,Senator In The General Assembly 3rd District,President And Vice President Of The United States,,,,,11
,Sharif Street,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,11
Sharif Street,14,635,68,10,6,0,11
Hillary Clinton,,35,0,0,0,0,11
Donald J Trump,,,55,0,0,0,11
Gary Johnson,,,,4,0,0,11
Jill Stein,,,,,1,0,11
Darrell L Castle,,,,,,0,11
Total,733,670,123,14,7,0,11
