col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,President And Vice President Of The United States,,,,,Attorney General,,All
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Josh Shapiro,John Rafferty,All
Hillary Clinton,203,0,0,0,0,"3,503",65,All
Donald J Trump,,16,0,0,0,44,158,All
Jill Stein,,,9,0,0,53,8,All
Gary Johnson,,,,7,0,31,12,All
Darrell L Castle,,,,,2,0,4,All
Josh Shapiro,,,,,,48,0,All
John Rafferty,,,,,,,10,All
Total,"3,771",218,70,50,6,"3,679",257,All
,President And Vice President Of The United States,,,,,Attorney General,,1
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Josh Shapiro,John Rafferty,1
Hillary Clinton,14,0,0,0,0,326,12,1
Donald J Trump,,1,0,0,0,6,22,1
Jill Stein,,,0,0,0,6,2,1
Gary Johnson,,,,0,0,4,0,1
Darrell L Castle,,,,,0,0,1,1
Josh Shapiro,,,,,,4,0,1
John Rafferty,,,,,,,2,1
Total,352,29,8,4,1,346,39,1
,Attorney General,,President And Vice President Of The United States,,,,,2
,Josh Shapiro,John Rafferty,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,2
Josh Shapiro,1,0,250,6,5,0,0,2
John Rafferty,,2,3,8,0,1,0,2
Hillary Clinton,,,6,0,0,0,0,2
Donald J Trump,,,,1,0,0,0,2
Jill Stein,,,,,2,0,0,2
Darrell L Castle,,,,,,0,0,2
Gary Johnson,,,,,,,0,2
Total,262,14,259,15,7,1,0,2
,President And Vice President Of The United States,,,,,Attorney General,,3
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Josh Shapiro,John Rafferty,3
Hillary Clinton,19,0,0,0,0,468,10,3
Donald J Trump,,1,0,0,0,9,37,3
Jill Stein,,,2,0,0,9,1,3
Gary Johnson,,,,1,0,6,1,3
Darrell L Castle,,,,,0,0,0,3
Josh Shapiro,,,,,,5,0,3
John Rafferty,,,,,,,1,3
Total,497,47,12,8,0,497,50,3
,President And Vice President Of The United States,,,,,Attorney General,,4
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Josh Shapiro,John Rafferty,4
Hillary Clinton,4,0,0,0,0,177,3,4
Donald J Trump,,1,0,0,0,2,2,4
Gary Johnson,,,0,0,0,1,2,4
Jill Stein,,,,0,0,3,0,4
Darrell L Castle,,,,,0,0,1,4
Josh Shapiro,,,,,,1,0,4
John Rafferty,,,,,,,0,4
Total,184,5,3,3,1,184,8,4
,President And Vice President Of The United States,,,,,Attorney General,,5
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Josh Shapiro,John Rafferty,5
Hillary Clinton,44,0,0,0,0,267,3,5
Donald J Trump,,2,0,0,0,2,7,5
Jill Stein,,,2,0,0,2,1,5
Gary Johnson,,,,0,0,1,1,5
Darrell L Castle,,,,,0,0,1,5
Josh Shapiro,,,,,,3,0,5
John Rafferty,,,,,,,1,5
Total,314,11,5,2,1,275,14,5
,President And Vice President Of The United States,,,,,Attorney General,,6
