col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,President And Vice President Of The United States,,,,,State Treasurer,,,,All
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Joe Torsella,Otto Voit,Kristin Combs,James Babb,All
Hillary Clinton,926,0,0,0,0,"16,427",83,58,22,All
Donald J Trump,,105,0,0,0,202,716,3,3,All
Jill Stein,,,7,0,0,36,5,45,2,All
Gary Johnson,,,,3,0,21,9,2,23,All
Darrell L Castle,,,,,4,8,3,3,0,All
Joe Torsella,,,,,,185,0,0,0,All
Otto Voit,,,,,,,18,0,0,All
Kristin Combs,,,,,,,,2,0,All
James Babb,,,,,,,,,1,All
Total,"17,516","1,029",95,58,18,"16,879",834,113,51,All
,President And Vice President Of The United States,,,,,State Treasurer,,,,1
,Hillary Clinton,Donald J Trump,Gary Johnson,Darrell L Castle,Jill Stein,Joe Torsella,Otto Voit,James Babb,Kristin Combs,1
Hillary Clinton,18,0,0,0,0,221,3,0,0,1
Donald J Trump,,2,0,0,0,3,26,0,0,1
Gary Johnson,,,0,0,0,1,0,2,0,1
Darrell L Castle,,,,0,0,1,0,0,0,1
Jill Stein,,,,,0,0,0,0,0,1
Joe Torsella,,,,,,5,0,0,0,1
Otto Voit,,,,,,,0,0,0,1
James Babb,,,,,,,,0,0,1
Kristin Combs,,,,,,,,,0,1
Total,242,31,3,1,0,231,29,2,0,1
,President And Vice President Of The United States,,,,,State Treasurer,,,,2
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Joe Torsella,Otto Voit,Kristin Combs,James Babb,2
Hillary Clinton,10,0,0,0,0,319,2,2,0,2
Donald J Trump,,0,0,0,0,1,3,0,0,2
Gary Johnson,,,0,0,0,1,0,0,0,2
Jill Stein,,,,0,0,0,0,0,1,2
Darrell L Castle,,,,,0,0,0,0,0,2
Joe Torsella,,,,,,2,0,0,0,2
Otto Voit,,,,,,,0,0,0,2
Kristin Combs,,,,,,,,0,0,2
James Babb,,,,,,,,,0,2
Total,333,4,1,1,0,323,5,2,1,2
,President And Vice President Of The United States,,,,,State Treasurer,,,,3
,Hillary Clinton,Donald J Trump,Gary Johnson,Darrell L Castle,Jill Stein,Joe Torsella,Otto Voit,James Babb,Kristin Combs,3
Hillary Clinton,18,0,0,0,0,497,0,0,2,3
Donald J Trump,,1,0,0,0,0,4,1,0,3
Gary Johnson,,,1,0,0,0,0,1,0,3
Darrell L Castle,,,,0,0,0,1,0,0,3
Jill Stein,,,,,0,0,0,0,0,3
Joe Torsella,,,,,,1,0,0,0,3
Otto Voit,,,,,,,0,0,0,3
James Babb,,,,,,,,0,0,3
Kristin Combs,,,,,,,,,0,3
Total,517,6,2,1,0,498,5,2,2,3
,President And Vice President Of The United States,,,,,State Treasurer,,,,4
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Joe Torsella,Otto Voit,James Babb,Kristin Combs,4
Hillary Clinton,32,0,0,0,0,408,0,0,0,4
Donald J Trump,,1,0,0,0,1,3,0,0,4
Jill Stein,,,0,0,0,3,0,0,0,4
Darrell L Castle,,,,0,0,0,0,0,1,4
Gary Johnson,,,,,0,0,0,1,0,4
Joe Torsella,,,,,,5,0,0,0,4
Otto Voit,,,,,,,0,0,0,4
James Babb,,,,,,,,0,0,4
Kristin Combs,,,,,,,,,0,4
Total,440,5,3,1,1,417,3,1,1,4
,President And Vice President Of The United States,,,,,State Treasurer,,,,5
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Joe Torsella,Otto Voit,Kristin Combs,James Babb,5
Hillary Clinton,12,0,0,0,0,449,1,1,0,5
Donald J Trump,,3,0,0,0,0,5,0,0,5
Jill Stein,,,0,0,0,1,0,0,0,5
Darrell L Castle,,,,0,0,0,0,0,0,5
Gary Johnson,,,,,0,0,0,0,0,5
Joe Torsella,,,,,,8,0,0,0,5
Otto Voit,,,,,,,0,0,0,5
Kristin Combs,,,,,,,,0,0,5
James Babb,,,,,,,,,0,5
Total,463,8,1,0,0,458,6,1,0,5
,President And Vice President Of The United States,,,,,State Treasurer,,,,6
,Hillary Clinton,Donald J Trump,Darrell L Castle,Gary Johnson,Jill Stein,Joe Torsella,Otto Voit,Kristin Combs,James Babb,6
Hillary Clinton,8,0,0,0,0,280,2,0,0,6
Donald J Trump,,1,0,0,0,1,10,0,0,6
Darrell L Castle,,,0,0,0,0,0,0,0,6
Gary Johnson,,,,0,0,0,0,0,0,6
Jill Stein,,,,,0,0,0,0,0,6
Joe Torsella,,,,,,7,0,0,0,6
Otto Voit,,,,,,,0,0,0,6
Kristin Combs,,,,,,,,1,0,6
James Babb,,,,,,,,,0,6
Total,290,12,0,0,0,288,12,1,0,6
,President And Vice President Of The United States,,,,,State Treasurer,,,,7
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Joe Torsella,Otto Voit,Kristin Combs,James Babb,7
Hillary Clinton,25,0,0,0,0,392,3,1,0,7
Donald J Trump,,1,0,0,0,2,6,0,0,7
Jill Stein,,,0,0,0,3,0,1,0,7
Gary Johnson,,,,0,0,1,0,0,0,7
Darrell L Castle,,,,,0,0,0,0,0,7
Joe Torsella,,,,,,1,0,0,0,7
Otto Voit,,,,,,,0,0,0,7
Kristin Combs,,,,,,,,0,0,7
James Babb,,,,,,,,,0,7
Total,421,9,4,1,0,399,9,2,0,7
,President And Vice President Of The United States,,,,,State Treasurer,,,,8
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Joe Torsella,Otto Voit,James Babb,Kristin Combs,8
Hillary Clinton,19,0,0,0,0,253,0,1,0,8
Donald J Trump,,0,0,0,0,2,7,0,0,8
Jill Stein,,,1,0,0,1,1,0,0,8
Darrell L Castle,,,,0,0,0,0,0,0,8
Gary Johnson,,,,,0,0,0,0,0,8
Joe Torsella,,,,,,4,0,0,0,8
Otto Voit,,,,,,,0,0,0,8
James Babb,,,,,,,,0,0,8
Kristin Combs,,,,,,,,,0,8
Total,273,9,3,0,0,260,8,1,0,8
,President And Vice President Of The United States,,,,,State Treasurer,,,,9
,Hillary Clinton,Donald J Trump,Gary Johnson,Darrell L Castle,Jill Stein,Joe Torsella,Otto Voit,James Babb,Kristin Combs,9
Hillary Clinton,21,0,0,0,0,357,2,1,1,9
Donald J Trump,,0,0,0,0,1,4,0,0,9
Gary Johnson,,,0,0,0,0,1,1,0,9
Darrell L Castle,,,,0,0,0,1,0,0,9
Jill Stein,,,,,0,0,0,0,0,9
Joe Torsella,,,,,,4,0,0,0,9
Otto Voit,,,,,,,0,0,0,9
James Babb,,,,,,,,0,0,9
Kristin Combs,,,,,,,,,0,9
Total,382,5,2,1,0,362,8,2,1,9
,President And Vice President Of The United States,,,,,State Treasurer,,,,10
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Joe Torsella,Otto Voit,Kristin Combs,James Babb,10
Hillary Clinton,24,0,0,0,0,231,3,1,0,10
Donald J Trump,,3,0,0,0,4,11,0,0,10
Jill Stein,,,0,0,0,0,0,3,0,10
Gary Johnson,,,,0,0,0,0,0,1,10
Darrell L Castle,,,,,0,0,0,0,0,10
Joe Torsella,,,,,,4,0,0,0,10
Otto Voit,,,,,,,1,0,0,10
Kristin Combs,,,,,,,,0,0,10
James Babb,,,,,,,,,0,10
Total,259,18,3,1,0,239,15,4,1,10
,President And Vice President Of The United States,,,,,State Treasurer,,,,11
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Joe Torsella,Otto Voit,Kristin Combs,James Babb,11
Hillary Clinton,19,0,0,0,0,305,1,2,0,11
Donald J Trump,,2,0,0,0,2,12,0,0,11
Gary Johnson,,,0,0,0,1,0,0,0,11
Jill Stein,,,,0,0,1,0,0,0,11
Darrell L Castle,,,,,0,0,0,0,0,11
Joe Torsella,,,,,,1,0,0,0,11
Otto Voit,,,,,,,1,0,0,11
Kristin Combs,,,,,,,,0,0,11
James Babb,,,,,,,,,0,11
Total,327,16,1,1,0,310,14,2,0,11
,President And Vice President Of The United States,,,,,State Treasurer,,,,12
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Joe Torsella,Otto Voit,Kristin Combs,James Babb,12
Hillary Clinton,17,0,0,0,0,300,1,0,1,12
Donald J Trump,,1,0,0,0,1,5,0,0,12
Jill Stein,,,0,0,0,0,0,2,0,12
Darrell L Castle,,,,0,0,1,0,0,0,12
Gary Johnson,,,,,0,0,0,0,0,12
Joe Torsella,,,,,,12,0,0,0,12
Otto Voit,,,,,,,0,0,0,12
Kristin Combs,,,,,,,,0,0,12
James Babb,,,,,,,,,0,12
Total,319,7,2,1,0,314,6,2,1,12
,President And Vice President Of The United States,,,,,State Treasurer,,,,13
,Hillary Clinton,Donald J Trump,Darrell L Castle,Gary Johnson,Jill Stein,Joe Torsella,Otto Voit,Kristin Combs,James Babb,13
Hillary Clinton,31,0,0,0,0,379,2,3,1,13
Donald J Trump,,1,0,0,0,3,7,0,0,13
Darrell L Castle,,,1,0,0,0,0,0,0,13
Gary Johnson,,,,0,0,0,0,0,0,13
Jill Stein,,,,,0,0,0,0,0,13
Joe Torsella,,,,,,0,0,0,0,13
Otto Voit,,,,,,,1,0,0,13
Kristin Combs,,,,,,,,0,0,13
James Babb,,,,,,,,,0,13
Total,416,11,1,0,0,382,10,3,1,13
,President And Vice President Of The United States,,,,,State Treasurer,,,,14
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Joe Torsella,Otto Voit,Kristin Combs,James Babb,14
Hillary Clinton,23,0,0,0,0,401,2,1,0,14
Donald J Trump,,1,0,0,0,5,15,1,0,14
Jill Stein,,,0,0,0,0,0,4,0,14
