col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,President And Vice President Of The United States,,,,,United States Senator,,,All
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,All
Hillary Clinton,219,0,0,0,0,"6,041",225,44,All
Donald J Trump,,147,0,0,0,149,"1,412",18,All
Jill Stein,,,12,0,0,95,20,21,All
Gary Johnson,,,,5,0,36,55,41,All
Darrell L Castle,,,,,2,3,10,3,All
Katie Mcginty,,,,,,48,0,0,All
Pat Toomey,,,,,,,41,0,All
Edward T Clifford Iii,,,,,,,,4,All
Total,"6,529","1,726",148,137,18,"6,372","1,763",131,All
,President And Vice President Of The United States,,,,,United States Senator,,,1
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,1
Hillary Clinton,10,0,0,0,0,256,12,1,1
Donald J Trump,,6,0,0,0,10,58,0,1
Jill Stein,,,0,0,0,8,1,1,1
Gary Johnson,,,,0,0,2,3,0,1
Darrell L Castle,,,,,0,0,0,0,1
Katie Mcginty,,,,,,1,0,0,1
Pat Toomey,,,,,,,2,0,1
Edward T Clifford Iii,,,,,,,,0,1
Total,279,74,10,5,0,277,76,2,1
,President And Vice President Of The United States,,,,,United States Senator,,,2
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,2
Hillary Clinton,9,0,0,0,0,324,3,4,2
Donald J Trump,,5,0,0,0,9,83,0,2
Gary Johnson,,,0,0,0,3,3,4,2
Jill Stein,,,,0,0,4,2,1,2
Darrell L Castle,,,,,0,0,1,0,2
Katie Mcginty,,,,,,0,0,0,2
Pat Toomey,,,,,,,3,0,2
Edward T Clifford Iii,,,,,,,,0,2
Total,340,97,10,7,1,340,95,9,2
,President And Vice President Of The United States,,,,,United States Senator,,,3
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,3
Hillary Clinton,7,0,0,0,0,322,13,4,3
Donald J Trump,,15,0,0,0,6,117,2,3
Gary Johnson,,,0,0,0,2,5,5,3
Jill Stein,,,,0,0,5,1,3,3
Darrell L Castle,,,,,1,0,1,0,3
Katie Mcginty,,,,,,2,0,0,3
Pat Toomey,,,,,,,1,0,3
Edward T Clifford Iii,,,,,,,,0,3
Total,346,140,12,9,2,337,138,14,3
,President And Vice President Of The United States,,,,,United States Senator,,,4
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,4
Hillary Clinton,8,0,0,0,0,286,14,1,4
Donald J Trump,,9,0,0,0,9,111,5,4
Gary Johnson,,,2,0,0,2,2,2,4
Jill Stein,,,,0,0,1,1,2,4
Darrell L Castle,,,,,0,0,1,0,4
Katie Mcginty,,,,,,5,0,0,4
Pat Toomey,,,,,,,5,0,4
Edward T Clifford Iii,,,,,,,,0,4
Total,309,134,8,4,1,303,134,10,4
,President And Vice President Of The United States,,,,,United States Senator,,,5
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,5
Hillary Clinton,4,0,0,0,0,181,4,2,5
Donald J Trump,,3,0,0,0,4,29,0,5
Gary Johnson,,,0,0,0,0,2,0,5
Jill Stein,,,,1,0,1,0,0,5
Darrell L Castle,,,,,0,0,0,0,5
Katie Mcginty,,,,,,0,0,0,5
Pat Toomey,,,,,,,3,0,5
Edward T Clifford Iii,,,,,,,,0,5
Total,191,36,2,2,0,186,38,2,5
,President And Vice President Of The United States,,,,,United States Senator,,,6
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,6
Hillary Clinton,12,0,0,0,0,251,7,3,6
Donald J Trump,,3,0,0,0,3,27,1,6
