col_1,col_2,col_3,division
,Representative In Congress 3rd District,,All
,Dwight Evans,Bryan E Leib,All
Dwight Evans,"15,548",0,All
Bryan E Leib,,"2,393",All
Total,"15,548","2,393",All
,Representative In Congress 3rd District,,1
,Dwight Evans,Bryan E Leib,1
Dwight Evans,428,0,1
Bryan E Leib,,44,1
Total,428,44,1
,Representative In Congress 3rd District,,2
,Dwight Evans,Bryan E Leib,2
Dwight Evans,400,0,2
Bryan E Leib,,73,2
Total,400,73,2
,Representative In Congress 3rd District,,3
,Dwight Evans,Bryan E Leib,3
Dwight Evans,591,0,3
Bryan E Leib,,79,3
Total,591,79,3
,Representative In Congress 3rd District,,4
,Dwight Evans,Bryan E Leib,4
Dwight Evans,497,0,4
Bryan E Leib,,72,4
Total,497,72,4
,Representative In Congress 3rd District,,5
,Dwight Evans,Bryan E Leib,5
Dwight Evans,756,0,5
Bryan E Leib,,125,5
Total,756,125,5
,Representative In Congress 3rd District,,6
,Dwight Evans,Bryan E Leib,6
Dwight Evans,393,0,6
Bryan E Leib,,81,6
Total,393,81,6
,Representative In Congress 3rd District,,7
,Dwight Evans,Bryan E Leib,7
Dwight Evans,466,0,7
Bryan E Leib,,63,7
Total,466,63,7
,Representative In Congress 3rd District,,8
,Dwight Evans,Bryan E Leib,8
Dwight Evans,477,0,8
Bryan E Leib,,75,8
Total,477,75,8
,Representative In Congress 3rd District,,9
,Dwight Evans,Bryan E Leib,9
Dwight Evans,572,0,9
Bryan E Leib,,67,9
Total,572,67,9
,Representative In Congress 3rd District,,10
,Dwight Evans,Bryan E Leib,10
Dwight Evans,536,0,10
Bryan E Leib,,103,10
Total,536,103,10
,Representative In Congress 3rd District,,11
,Dwight Evans,Bryan E Leib,11
Dwight Evans,411,0,11
Bryan E Leib,,72,11
Total,411,72,11
,Representative In Congress 3rd District,,12
,Dwight Evans,Bryan E Leib,12
Dwight Evans,461,0,12
Bryan E Leib,,60,12
Total,461,60,12
,Representative In Congress 3rd District,,13
,Dwight Evans,Bryan E Leib,13
Dwight Evans,355,0,13
Bryan E Leib,,48,13
Total,355,48,13
,Representative In Congress 3rd District,,14
,Dwight Evans,Bryan E Leib,14
Dwight Evans,648,0,14
Bryan E Leib,,75,14
Total,648,75,14
,Representative In Congress 3rd District,,15
,Dwight Evans,Bryan E Leib,15
Dwight Evans,698,0,15
Bryan E Leib,,126,15
Total,698,126,15
,Representative In Congress 3rd District,,16
,Dwight Evans,Bryan E Leib,16
Dwight Evans,570,0,16
Bryan E Leib,,89,16
Total,570,89,16
,Representative In Congress 3rd District,,17
,Dwight Evans,Bryan E Leib,17
Dwight Evans,431,0,17
Bryan E Leib,,109,17
Total,431,109,17
,Representative In Congress 3rd District,,18
,Dwight Evans,Bryan E Leib,18
Dwight Evans,592,0,18
Bryan E Leib,,101,18
Total,592,101,18
,Representative In Congress 3rd District,,19
,Dwight Evans,Bryan E Leib,19
Dwight Evans,459,0,19
Bryan E Leib,,59,19
Total,459,59,19
,Representative In Congress 3rd District,,20
,Dwight Evans,Bryan E Leib,20
Dwight Evans,298,0,20
Bryan E Leib,,59,20
Total,298,59,20
,Representative In Congress 3rd District,,21
,Dwight Evans,Bryan E Leib,21
Dwight Evans,359,0,21
Bryan E Leib,,75,21
Total,359,75,21
,Representative In Congress 3rd District,,22
,Dwight Evans,Bryan E Leib,22
Dwight Evans,303,0,22
Bryan E Leib,,45,22
Total,303,45,22
,Representative In Congress 3rd District,,23
,Dwight Evans,Bryan E Leib,23
Dwight Evans,532,0,23
Bryan E Leib,,95,23
Total,532,95,23
,Representative In Congress 3rd District,,24
,Dwight Evans,Bryan E Leib,24
Dwight Evans,854,0,24
Bryan E Leib,,118,24
Total,854,118,24
,Representative In Congress 3rd District,,25
,Dwight Evans,Bryan E Leib,25
Dwight Evans,598,0,25
Bryan E Leib,,100,25
Total,598,100,25
,Representative In Congress 3rd District,,26
,Dwight Evans,Bryan E Leib,26
Dwight Evans,859,0,26
Bryan E Leib,,93,26
Total,859,93,26
,Representative In Congress 3rd District,,27
,Dwight Evans,Bryan E Leib,27
Dwight Evans,365,0,27
Bryan E Leib,,48,27
Total,365,48,27
,Representative In Congress 3rd District,,28
,Dwight Evans,Bryan E Leib,28
Dwight Evans,452,0,28
Bryan E Leib,,45,28
Total,452,45,28
,Representative In Congress 3rd District,,29
,Dwight Evans,Bryan E Leib,29
Dwight Evans,586,0,29
Bryan E Leib,,111,29
Total,586,111,29
,Representative In Congress 3rd District,,30
,Dwight Evans,Bryan E Leib,30
Dwight Evans,601,0,30
Bryan E Leib,,83,30
Total,601,83,30
