col_1,col_2,col_3,col_4,col_5,col_6,division
,Governor And Lieutenant Governor,,,,Representative In The General Assembly 195th District,All
,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,Donna Bullock,All
Tom Wolf,86,0,0,0,"3,769",All
Scott R Wagner,,19,0,0,14,All
Paul Glover,,,2,0,5,All
Ken V Krawchuk,,,,1,5,All
Donna Bullock,,,,,28,All
Total,"3,855",33,7,6,"3,821",All
,Governor And Lieutenant Governor,,,,Representative In The General Assembly 195th District,1
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Donna Bullock,1
Tom Wolf,2,0,0,0,143,1
Scott R Wagner,,3,0,0,0,1
Ken V Krawchuk,,,0,0,0,1
Paul Glover,,,,0,0,1
Donna Bullock,,,,,0,1
Total,145,3,0,0,143,1
,Representative In The General Assembly 195th District,Governor And Lieutenant Governor,,,,2
,Donna Bullock,Tom Wolf,Ken V Krawchuk,Paul Glover,Scott R Wagner,2
Donna Bullock,2,204,0,0,0,2
Tom Wolf,,2,0,0,0,2
Ken V Krawchuk,,,0,0,0,2
Paul Glover,,,,0,0,2
Scott R Wagner,,,,,0,2
Total,206,206,0,0,0,2
,Governor And Lieutenant Governor,,,,Representative In The General Assembly 195th District,3
,Tom Wolf,Ken V Krawchuk,Scott R Wagner,Paul Glover,Donna Bullock,3
Tom Wolf,5,0,0,0,215,3
Ken V Krawchuk,,1,0,0,0,3
Scott R Wagner,,,1,0,0,3
Paul Glover,,,,0,0,3
Donna Bullock,,,,,1,3
Total,220,1,1,0,216,3
,Governor And Lieutenant Governor,,,,Representative In The General Assembly 195th District,4
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Donna Bullock,4
Tom Wolf,9,0,0,0,205,4
Scott R Wagner,,1,0,0,2,4
Ken V Krawchuk,,,0,0,1,4
Paul Glover,,,,1,0,4
Donna Bullock,,,,,1,4
Total,214,3,1,1,209,4
,Governor And Lieutenant Governor,,,,Representative In The General Assembly 195th District,5
,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,Donna Bullock,5
Tom Wolf,4,0,0,0,260,5
Scott R Wagner,,2,0,0,1,5
Paul Glover,,,0,0,1,5
Ken V Krawchuk,,,,0,0,5
Donna Bullock,,,,,0,5
Total,264,3,1,0,262,5
,Governor And Lieutenant Governor,,,,Representative In The General Assembly 195th District,6
,Tom Wolf,Paul Glover,Ken V Krawchuk,Scott R Wagner,Donna Bullock,6
Tom Wolf,8,0,0,0,246,6
Paul Glover,,0,0,0,1,6
