col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Governor And Lieutenant Governor,,,,Representative In Congress 3rd District,,All
,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,Dwight Evans,Bryan E Leib,All
Tom Wolf,132,0,0,0,"6,560",26,All
Scott R Wagner,,0,0,0,20,115,All
Paul Glover,,,4,0,37,1,All
Ken V Krawchuk,,,,2,11,6,All
Dwight Evans,,,,,44,0,All
Bryan E Leib,,,,,,1,All
Total,"6,718",135,42,19,"6,672",149,All
,Governor And Lieutenant Governor,,,,Representative In Congress 3rd District,,1
,Tom Wolf,Paul Glover,Scott R Wagner,Ken V Krawchuk,Dwight Evans,Bryan E Leib,1
Tom Wolf,2,0,0,0,117,0,1
Paul Glover,,0,0,0,1,0,1
Scott R Wagner,,,0,0,0,1,1
Ken V Krawchuk,,,,0,0,0,1
Dwight Evans,,,,,0,0,1
Bryan E Leib,,,,,,0,1
Total,119,1,1,0,118,1,1
,Governor And Lieutenant Governor,,,,Representative In Congress 3rd District,,2
,Tom Wolf,Ken V Krawchuk,Paul Glover,Scott R Wagner,Dwight Evans,Bryan E Leib,2
Tom Wolf,7,0,0,0,196,0,2
Ken V Krawchuk,,0,0,0,0,0,2
Paul Glover,,,0,0,0,0,2
Scott R Wagner,,,,0,0,0,2
Dwight Evans,,,,,1,0,2
Bryan E Leib,,,,,,1,2
Total,203,0,0,0,197,1,2
,Governor And Lieutenant Governor,,,,Representative In Congress 3rd District,,3
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Dwight Evans,Bryan E Leib,3
Tom Wolf,9,0,0,0,179,1,3
Scott R Wagner,,0,0,0,0,2,3
Ken V Krawchuk,,,0,0,0,0,3
Paul Glover,,,,0,0,0,3
Dwight Evans,,,,,1,0,3
Bryan E Leib,,,,,,0,3
Total,189,2,0,0,180,3,3
,Representative In Congress 3rd District,,Governor And Lieutenant Governor,,,,4
,Dwight Evans,Bryan E Leib,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,4
Dwight Evans,1,0,165,2,0,0,4
Bryan E Leib,,0,0,1,0,0,4
Tom Wolf,,,1,0,0,0,4
Scott R Wagner,,,,0,0,0,4
Ken V Krawchuk,,,,,0,0,4
Paul Glover,,,,,,0,4
Total,168,1,166,3,0,0,4
,Representative In Congress 3rd District,,Governor And Lieutenant Governor,,,,5
,Dwight Evans,Bryan E Leib,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,5
Dwight Evans,1,0,124,0,2,1,5
Bryan E Leib,,0,3,5,1,0,5
Tom Wolf,,,1,0,0,0,5
Scott R Wagner,,,,0,0,0,5
Paul Glover,,,,,0,0,5
Ken V Krawchuk,,,,,,0,5
Total,128,9,128,5,3,1,5
,Governor And Lieutenant Governor,,,,Representative In Congress 3rd District,,6
,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,Dwight Evans,Bryan E Leib,6
Tom Wolf,4,0,0,0,203,3,6
Scott R Wagner,,0,0,0,0,4,6
Paul Glover,,,0,0,2,0,6
Ken V Krawchuk,,,,0,1,0,6
Dwight Evans,,,,,2,0,6
Bryan E Leib,,,,,,0,6
Total,210,4,2,1,208,7,6
,Representative In Congress 3rd District,,Governor And Lieutenant Governor,,,,7
,Dwight Evans,Bryan E Leib,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,7
Dwight Evans,0,0,368,6,11,4,7
Bryan E Leib,,0,8,27,0,1,7
Tom Wolf,,,8,0,0,0,7
Scott R Wagner,,,,0,0,0,7
Paul Glover,,,,,0,0,7
Ken V Krawchuk,,,,,,1,7
Total,389,36,384,33,11,6,7
,Governor And Lieutenant Governor,,,,Representative In Congress 3rd District,,8
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Dwight Evans,Bryan E Leib,8
Tom Wolf,5,0,0,0,240,2,8
Scott R Wagner,,0,0,0,0,14,8
Ken V Krawchuk,,,0,0,2,2,8
