col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,United States Senator,,,,Governor And Lieutenant Governor,,,,All
,Bob Casey Jr,Lou Barletta,Neal Gale,Dale R Kerns Jr,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,All
Bob Casey Jr,133,0,0,0,"3,757",13,3,1,All
Lou Barletta,,9,0,0,12,165,0,1,All
Neal Gale,,,0,0,7,2,5,0,All
Dale R Kerns Jr,,,,0,2,2,1,5,All
Tom Wolf,,,,,109,0,0,0,All
Scott R Wagner,,,,,,3,0,0,All
Paul Glover,,,,,,,1,0,All
Ken V Krawchuk,,,,,,,,0,All
Total,"3,907",187,14,10,"3,887",185,10,7,All
,Governor And Lieutenant Governor,,,,United States Senator,,,,1
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Bob Casey Jr,Lou Barletta,Neal Gale,Dale R Kerns Jr,1
Tom Wolf,4,0,0,0,188,0,1,0,1
Scott R Wagner,,0,0,0,0,3,0,0,1
Ken V Krawchuk,,,0,0,0,0,0,0,1
Paul Glover,,,,0,0,0,0,0,1
Bob Casey Jr,,,,,1,0,0,0,1
Lou Barletta,,,,,,0,0,0,1
Neal Gale,,,,,,,0,0,1
Dale R Kerns Jr,,,,,,,,0,1
Total,193,3,0,0,189,3,1,0,1
,United States Senator,,,,Governor And Lieutenant Governor,,,,2
,Bob Casey Jr,Lou Barletta,Dale R Kerns Jr,Neal Gale,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,2
Bob Casey Jr,1,0,0,0,121,1,0,0,2
Lou Barletta,,0,0,0,0,1,0,0,2
Dale R Kerns Jr,,,0,0,0,0,0,0,2
Neal Gale,,,,0,0,0,0,0,2
Tom Wolf,,,,,1,0,0,0,2
Scott R Wagner,,,,,,0,0,0,2
Ken V Krawchuk,,,,,,,0,0,2
Paul Glover,,,,,,,,0,2
Total,123,1,0,0,122,2,0,0,2
,United States Senator,,,,Governor And Lieutenant Governor,,,,3
,Bob Casey Jr,Lou Barletta,Dale R Kerns Jr,Neal Gale,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,3
Bob Casey Jr,0,0,0,0,110,0,0,0,3
Lou Barletta,,0,0,0,0,3,0,0,3
Dale R Kerns Jr,,,0,0,0,0,0,0,3
Neal Gale,,,,0,0,0,0,0,3
Tom Wolf,,,,,0,0,0,0,3
Scott R Wagner,,,,,,0,0,0,3
Ken V Krawchuk,,,,,,,0,0,3
Paul Glover,,,,,,,,0,3
Total,110,3,0,0,110,3,0,0,3
,Governor And Lieutenant Governor,,,,United States Senator,,,,4
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Bob Casey Jr,Lou Barletta,Neal Gale,Dale R Kerns Jr,4
Tom Wolf,7,0,0,0,239,0,0,0,4
Scott R Wagner,,0,0,0,0,7,1,0,4
Ken V Krawchuk,,,0,0,0,0,0,0,4
Paul Glover,,,,0,0,0,0,0,4
Bob Casey Jr,,,,,1,0,0,0,4
Lou Barletta,,,,,,1,0,0,4
Neal Gale,,,,,,,0,0,4
Dale R Kerns Jr,,,,,,,,0,4
Total,246,8,0,0,240,8,1,0,4
,United States Senator,,,,Governor And Lieutenant Governor,,,,5
,Bob Casey Jr,Lou Barletta,Neal Gale,Dale R Kerns Jr,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,5
Bob Casey Jr,13,0,0,0,326,1,0,0,5
Lou Barletta,,1,0,0,1,12,0,0,5
Neal Gale,,,0,0,1,0,1,0,5
Dale R Kerns Jr,,,,0,0,0,0,0,5
Tom Wolf,,,,,4,0,0,0,5
Scott R Wagner,,,,,,1,0,0,5
Paul Glover,,,,,,,0,0,5
Ken V Krawchuk,,,,,,,,0,5
Total,340,14,2,0,332,14,1,0,5
,Governor And Lieutenant Governor,,,,United States Senator,,,,6
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Bob Casey Jr,Lou Barletta,Dale R Kerns Jr,Neal Gale,6
Tom Wolf,5,0,0,0,219,1,0,1,6
Scott R Wagner,,0,0,0,1,5,1,0,6
Ken V Krawchuk,,,0,0,0,1,0,0,6
Paul Glover,,,,0,0,0,0,0,6
Bob Casey Jr,,,,,2,0,0,0,6
Lou Barletta,,,,,,1,0,0,6
Dale R Kerns Jr,,,,,,,0,0,6
Neal Gale,,,,,,,,0,6
Total,226,7,1,0,222,8,1,1,6
,United States Senator,,,,Governor And Lieutenant Governor,,,,7
,Bob Casey Jr,Lou Barletta,Dale R Kerns Jr,Neal Gale,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,7
Bob Casey Jr,1,0,0,0,141,1,0,0,7
Lou Barletta,,0,0,0,0,1,0,0,7
Dale R Kerns Jr,,,0,0,0,0,0,0,7
Neal Gale,,,,0,0,0,0,0,7
Tom Wolf,,,,,1,0,0,0,7
Scott R Wagner,,,,,,0,0,0,7
Ken V Krawchuk,,,,,,,0,0,7
Paul Glover,,,,,,,,0,7
Total,143,1,0,0,142,2,0,0,7
,United States Senator,,,,Governor And Lieutenant Governor,,,,8
,Bob Casey Jr,Lou Barletta,Dale R Kerns Jr,Neal Gale,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,8
Bob Casey Jr,10,0,0,0,212,2,0,0,8
Lou Barletta,,0,0,0,0,7,0,0,8
Dale R Kerns Jr,,,0,0,0,0,0,0,8
Neal Gale,,,,0,0,0,0,0,8
Tom Wolf,,,,,6,0,0,0,8
Scott R Wagner,,,,,,0,0,0,8
Ken V Krawchuk,,,,,,,0,0,8
Paul Glover,,,,,,,,0,8
Total,224,7,0,0,218,9,0,0,8
,United States Senator,,,,Governor And Lieutenant Governor,,,,9
,Bob Casey Jr,Lou Barletta,Dale R Kerns Jr,Neal Gale,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,9
Bob Casey Jr,6,0,0,0,133,0,0,0,9
Lou Barletta,,0,0,0,0,7,0,0,9
Dale R Kerns Jr,,,0,0,0,0,0,0,9
Neal Gale,,,,0,0,0,0,0,9
Tom Wolf,,,,,5,0,0,0,9
Scott R Wagner,,,,,,0,0,0,9
Ken V Krawchuk,,,,,,,0,0,9
Paul Glover,,,,,,,,0,9
Total,139,7,0,0,138,7,0,0,9
,Governor And Lieutenant Governor,,,,United States Senator,,,,10
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Bob Casey Jr,Lou Barletta,Dale R Kerns Jr,Neal Gale,10
Tom Wolf,7,0,0,0,152,2,0,0,10
Scott R Wagner,,0,0,0,0,17,0,0,10
Ken V Krawchuk,,,0,0,0,0,0,0,10
Paul Glover,,,,0,0,0,0,0,10
Bob Casey Jr,,,,,6,0,0,0,10
Lou Barletta,,,,,,0,0,0,10
Dale R Kerns Jr,,,,,,,0,0,10
Neal Gale,,,,,,,,0,10
Total,161,17,0,0,158,19,0,0,10
,United States Senator,,,,Governor And Lieutenant Governor,,,,11
,Bob Casey Jr,Lou Barletta,Dale R Kerns Jr,Neal Gale,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,11
Bob Casey Jr,42,0,0,0,185,1,0,0,11
Lou Barletta,,1,0,0,1,10,0,0,11
Dale R Kerns Jr,,,0,0,0,1,1,0,11
Neal Gale,,,,0,0,0,0,0,11
Tom Wolf,,,,,8,0,0,0,11
Scott R Wagner,,,,,,0,0,0,11
Ken V Krawchuk,,,,,,,0,0,11
Paul Glover,,,,,,,,0,11
Total,228,12,2,0,194,12,1,0,11
,United States Senator,,,,Governor And Lieutenant Governor,,,,12
,Bob Casey Jr,Lou Barletta,Dale R Kerns Jr,Neal Gale,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,12
Bob Casey Jr,5,0,0,0,212,0,0,0,12
Lou Barletta,,1,0,0,0,17,0,0,12
Dale R Kerns Jr,,,0,0,0,0,0,0,12
Neal Gale,,,,0,0,0,0,0,12
Tom Wolf,,,,,4,0,0,0,12
Scott R Wagner,,,,,,0,0,0,12
Ken V Krawchuk,,,,,,,0,0,12
Paul Glover,,,,,,,,0,12
Total,217,18,0,0,216,17,0,0,12
,Governor And Lieutenant Governor,,,,United States Senator,,,,13
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Bob Casey Jr,Lou Barletta,Neal Gale,Dale R Kerns Jr,13
Tom Wolf,4,0,0,0,183,0,1,0,13
Scott R Wagner,,0,0,0,0,5,0,0,13
Ken V Krawchuk,,,0,0,0,0,0,0,13
Paul Glover,,,,0,0,0,0,0,13
Bob Casey Jr,,,,,2,0,0,0,13
Lou Barletta,,,,,,0,0,0,13
Neal Gale,,,,,,,0,0,13
Dale R Kerns Jr,,,,,,,,0,13
Total,188,5,0,0,185,5,1,0,13
,Governor And Lieutenant Governor,,,,United States Senator,,,,14
,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,Bob Casey Jr,Lou Barletta,Neal Gale,Dale R Kerns Jr,14
Tom Wolf,6,0,0,0,178,0,0,0,14
Scott R Wagner,,0,0,0,0,12,0,0,14
Paul Glover,,,0,0,0,0,1,0,14
Ken V Krawchuk,,,,0,0,0,0,0,14
Bob Casey Jr,,,,,3,0,0,0,14
Lou Barletta,,,,,,0,0,0,14
Neal Gale,,,,,,,0,0,14
Dale R Kerns Jr,,,,,,,,0,14
Total,184,12,1,0,181,12,1,0,14
,Governor And Lieutenant Governor,,,,United States Senator,,,,15
,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,Bob Casey Jr,Lou Barletta,Neal Gale,Dale R Kerns Jr,15
Tom Wolf,8,0,0,0,118,0,1,1,15
Scott R Wagner,,0,0,0,2,7,0,0,15
Paul Glover,,,0,0,0,0,1,0,15
Ken V Krawchuk,,,,0,0,0,0,0,15
Bob Casey Jr,,,,,2,0,0,0,15
Lou Barletta,,,,,,0,0,0,15
Neal Gale,,,,,,,0,0,15
Dale R Kerns Jr,,,,,,,,0,15
Total,128,9,1,0,122,7,2,1,15
,Governor And Lieutenant Governor,,,,United States Senator,,,,16
,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,Bob Casey Jr,Lou Barletta,Neal Gale,Dale R Kerns Jr,16
Tom Wolf,7,0,0,0,123,1,0,0,16
Scott R Wagner,,0,0,0,0,4,1,0,16
