col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,All
,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,Art Haywood,Ron Holt,All
Tom Wolf,134,0,0,0,"7,986",47,All
Scott R Wagner,,3,0,0,11,143,All
Paul Glover,,,4,0,31,5,All
Ken V Krawchuk,,,,3,14,1,All
Art Haywood,,,,,36,0,All
Ron Holt,,,,,,1,All
Total,"8,167",157,40,18,"8,078",197,All
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,1
,Tom Wolf,Paul Glover,Ken V Krawchuk,Scott R Wagner,Art Haywood,Ron Holt,1
Tom Wolf,6,0,0,0,283,3,1
Paul Glover,,0,0,0,2,0,1
Ken V Krawchuk,,,0,0,0,0,1
Scott R Wagner,,,,0,0,0,1
Art Haywood,,,,,1,0,1
Ron Holt,,,,,,0,1
Total,292,2,0,0,286,3,1
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,2
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,2
Tom Wolf,3,0,0,0,347,2,2
Scott R Wagner,,0,0,0,1,2,2
Ken V Krawchuk,,,0,0,1,0,2
Paul Glover,,,,0,1,0,2
Art Haywood,,,,,1,0,2
Ron Holt,,,,,,0,2
Total,352,3,1,1,351,4,2
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,3
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,3
Tom Wolf,9,0,0,0,276,3,3
Scott R Wagner,,1,0,0,0,5,3
Ken V Krawchuk,,,0,0,0,0,3
Paul Glover,,,,0,0,0,3
Art Haywood,,,,,0,0,3
Ron Holt,,,,,,0,3
Total,288,6,0,0,276,8,3
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,4
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,4
Tom Wolf,7,0,0,0,483,1,4
Scott R Wagner,,0,0,0,0,3,4
Ken V Krawchuk,,,0,0,1,0,4
Paul Glover,,,,0,1,0,4
Art Haywood,,,,,2,0,4
Ron Holt,,,,,,0,4
Total,491,3,1,1,487,4,4
,Senator In The General Assembly 4th District,,Governor And Lieutenant Governor,,,,5
,Art Haywood,Ron Holt,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,5
Art Haywood,2,0,380,0,3,0,5
Ron Holt,,0,1,8,0,0,5
Tom Wolf,,,4,0,0,0,5
Scott R Wagner,,,,0,0,0,5
Ken V Krawchuk,,,,,0,0,5
Paul Glover,,,,,,0,5
Total,385,9,385,8,3,0,5
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,6
,Tom Wolf,Ken V Krawchuk,Paul Glover,Scott R Wagner,Art Haywood,Ron Holt,6
Tom Wolf,4,0,0,0,219,0,6
Ken V Krawchuk,,0,0,0,0,0,6
Paul Glover,,,0,0,0,0,6
Scott R Wagner,,,,0,0,0,6
Art Haywood,,,,,0,0,6
Ron Holt,,,,,,0,6
Total,223,0,0,0,219,0,6
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,7
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,7
Tom Wolf,9,0,0,0,253,0,7
Scott R Wagner,,0,0,0,2,0,7
Ken V Krawchuk,,,0,0,1,0,7
Paul Glover,,,,0,1,0,7
Art Haywood,,,,,1,0,7
Ron Holt,,,,,,0,7
Total,262,2,1,1,258,0,7
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,8
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,8
Tom Wolf,8,0,0,0,293,4,8
Scott R Wagner,,0,0,0,0,5,8
Ken V Krawchuk,,,1,0,0,0,8
Paul Glover,,,,0,0,0,8
Art Haywood,,,,,2,0,8
Ron Holt,,,,,,0,8
Total,305,5,1,0,295,9,8
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,9
,Tom Wolf,Paul Glover,Scott R Wagner,Ken V Krawchuk,Art Haywood,Ron Holt,9
Tom Wolf,5,0,0,0,231,0,9
Paul Glover,,0,0,0,2,0,9
Scott R Wagner,,,0,0,0,2,9
Ken V Krawchuk,,,,0,0,0,9
Art Haywood,,,,,2,0,9
Ron Holt,,,,,,0,9
Total,236,2,2,0,235,2,9
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,10
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,10
Tom Wolf,10,0,0,0,475,3,10
Scott R Wagner,,0,0,0,1,3,10
Ken V Krawchuk,,,0,0,1,0,10
Paul Glover,,,,0,0,1,10
Art Haywood,,,,,2,0,10
Ron Holt,,,,,,0,10
Total,488,4,1,1,479,7,10
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,11
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,11
Tom Wolf,2,0,0,0,283,2,11
Scott R Wagner,,0,0,0,1,3,11
Ken V Krawchuk,,,1,0,0,0,11
Paul Glover,,,,1,0,0,11
Art Haywood,,,,,1,0,11
Ron Holt,,,,,,1,11
Total,287,4,1,1,285,6,11
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,12
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,12
Tom Wolf,6,0,0,0,309,1,12
Scott R Wagner,,0,0,0,0,3,12
Ken V Krawchuk,,,1,0,1,0,12
Paul Glover,,,,0,1,0,12
Art Haywood,,,,,4,0,12
Ron Holt,,,,,,0,12
Total,316,3,2,1,315,4,12
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,13
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,13
Tom Wolf,2,0,0,0,337,2,13
Scott R Wagner,,1,0,0,0,1,13
Ken V Krawchuk,,,0,0,0,0,13
Paul Glover,,,,0,0,0,13
Art Haywood,,,,,1,0,13
Ron Holt,,,,,,0,13
Total,341,2,0,0,338,3,13
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,14
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,14
Tom Wolf,7,0,0,0,211,0,14
Scott R Wagner,,0,0,0,0,1,14
Ken V Krawchuk,,,0,0,0,0,14
Paul Glover,,,,0,0,0,14
Art Haywood,,,,,1,0,14
Ron Holt,,,,,,0,14
Total,218,1,0,0,212,1,14
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,15
,Tom Wolf,Scott R Wagner,Paul Glover,Ken V Krawchuk,Art Haywood,Ron Holt,15
Tom Wolf,11,0,0,0,220,2,15
Scott R Wagner,,0,0,0,1,10,15
Paul Glover,,,0,0,1,2,15
Ken V Krawchuk,,,,0,1,0,15
Art Haywood,,,,,3,0,15
Ron Holt,,,,,,0,15
Total,233,11,3,1,226,14,15
,Governor And Lieutenant Governor,,,,Senator In The General Assembly 4th District,,16
,Tom Wolf,Scott R Wagner,Ken V Krawchuk,Paul Glover,Art Haywood,Ron Holt,16
Tom Wolf,8,0,0,0,264,3,16
