col_1,col_2,col_3,division
,Representative In Congress 2nd District,,1
,Chaka Fattah,Armond James,1
Chaka Fattah,275,0,1
Armond James,,4,1
Total,275,4,1
,Representative In Congress 2nd District,,2
,Chaka Fattah,Armond James,2
Chaka Fattah,249,0,2
Armond James,,4,2
Total,249,4,2
,Representative In Congress 2nd District,,3
,Chaka Fattah,Armond James,3
Chaka Fattah,166,0,3
Armond James,,0,3
Total,166,0,3
,Representative In Congress 2nd District,,4
,Chaka Fattah,Armond James,4
Chaka Fattah,160,0,4
Armond James,,3,4
Total,160,3,4
,Representative In Congress 2nd District,,5
,Chaka Fattah,Armond James,5
Chaka Fattah,301,0,5
Armond James,,11,5
Total,301,11,5
,Representative In Congress 2nd District,,6
,Chaka Fattah,Armond James,6
Chaka Fattah,190,0,6
Armond James,,20,6
Total,190,20,6
,Representative In Congress 2nd District,,7
,Chaka Fattah,Armond James,7
Chaka Fattah,267,0,7
Armond James,,17,7
Total,267,17,7
,Representative In Congress 2nd District,,8
,Chaka Fattah,Armond James,8
Chaka Fattah,260,0,8
Armond James,,13,8
Total,260,13,8
,Representative In Congress 2nd District,,9
,Chaka Fattah,Armond James,9
Chaka Fattah,205,0,9
Armond James,,9,9
Total,205,9,9
,Representative In Congress 2nd District,,10
,Chaka Fattah,Armond James,10
Chaka Fattah,249,0,10
Armond James,,3,10
Total,249,3,10
,Representative In Congress 2nd District,,11
,Chaka Fattah,Armond James,11
Chaka Fattah,164,0,11
Armond James,,5,11
Total,164,5,11
,Representative In Congress 2nd District,,12
,Chaka Fattah,Armond James,12
Chaka Fattah,253,0,12
Armond James,,12,12
Total,253,12,12
,Representative In Congress 2nd District,,13
,Chaka Fattah,Armond James,13
Chaka Fattah,223,0,13
Armond James,,6,13
Total,223,6,13
,Representative In Congress 2nd District,,14
,Chaka Fattah,Armond James,14
Chaka Fattah,230,0,14
Armond James,,12,14
Total,230,12,14
,Representative In Congress 2nd District,,15
,Chaka Fattah,Armond James,15
Chaka Fattah,273,0,15
Armond James,,16,15
Total,273,16,15
,Representative In Congress 2nd District,,16
,Chaka Fattah,Armond James,16
Chaka Fattah,117,0,16
Armond James,,15,16
Total,117,15,16
,Representative In Congress 2nd District,,17
,Chaka Fattah,Armond James,17
Chaka Fattah,278,0,17
Armond James,,13,17
Total,278,13,17
,Representative In Congress 2nd District,,18
,Chaka Fattah,Armond James,18
Chaka Fattah,197,0,18
Armond James,,6,18
Total,197,6,18
,Representative In Congress 2nd District,,19
,Chaka Fattah,Armond James,19
Chaka Fattah,167,0,19
Armond James,,11,19
Total,167,11,19
,Representative In Congress 2nd District,,20
,Chaka Fattah,Armond James,20
Chaka Fattah,193,0,20
Armond James,,11,20
Total,193,11,20
,Representative In Congress 2nd District,,21
,Chaka Fattah,Armond James,21
Chaka Fattah,174,0,21
Armond James,,2,21
Total,174,2,21
,Representative In Congress 2nd District,,22
,Chaka Fattah,Armond James,22
Chaka Fattah,249,0,22
Armond James,,37,22
Total,249,37,22
,Representative In Congress 2nd District,,23
,Chaka Fattah,Armond James,23
Chaka Fattah,312,0,23
Armond James,,36,23
Total,312,36,23
,Representative In Congress 2nd District,,24
,Chaka Fattah,Armond James,24
Chaka Fattah,156,0,24
Armond James,,3,24
Total,156,3,24
,Representative In Congress 2nd District,,All
,Chaka Fattah,Armond James,All
Chaka Fattah,"5,308",0,All
Armond James,,269,All
Total,"5,308",269,All
