col_1,col_2,col_3,col_4,col_5,division
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,All
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,All
Tom Wolf,87,0,"3,058",30,All
Tom Corbett,,5,11,28,All
James R Roebuck,,,17,0,All
Ernest Adkins,,,,1,All
Total,"3,175",44,"3,086",59,All
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,2
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,2
Tom Wolf,14,0,183,2,2
Tom Corbett,,1,0,4,2
James R Roebuck,,,0,0,2
Ernest Adkins,,,,0,2
Total,199,5,183,6,2
,Representative In The General Assembly 188th District,,Governor And Lieutenant Governor,,4
,James R Roebuck,Ernest Adkins,Tom Wolf,Tom Corbett,4
James R Roebuck,2,0,189,0,4
Ernest Adkins,,0,0,2,4
Tom Wolf,,,0,0,4
Tom Corbett,,,,0,4
Total,191,2,189,2,4
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,5
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,5
Tom Wolf,11,0,210,2,5
Tom Corbett,,0,0,0,5
James R Roebuck,,,1,0,5
Ernest Adkins,,,,0,5
Total,223,0,211,2,5
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,6
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,6
Tom Wolf,6,0,266,3,6
Tom Corbett,,0,3,1,6
James R Roebuck,,,0,0,6
Ernest Adkins,,,,1,6
Total,275,4,269,5,6
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,13
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,13
Tom Wolf,5,0,220,3,13
Tom Corbett,,1,1,4,13
James R Roebuck,,,2,0,13
Ernest Adkins,,,,0,13
Total,228,6,223,7,13
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,14
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,14
Tom Wolf,9,0,258,1,14
Tom Corbett,,1,0,2,14
James R Roebuck,,,2,0,14
Ernest Adkins,,,,0,14
Total,268,3,260,3,14
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,15
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,15
Tom Wolf,7,0,244,1,15
Tom Corbett,,0,1,0,15
James R Roebuck,,,2,0,15
Ernest Adkins,,,,0,15
Total,252,1,247,1,15
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,16
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,16
Tom Wolf,5,0,206,3,16
Tom Corbett,,0,2,2,16
James R Roebuck,,,1,0,16
Ernest Adkins,,,,0,16
Total,214,4,209,5,16
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,17
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,17
Tom Wolf,6,0,210,3,17
Tom Corbett,,0,0,4,17
James R Roebuck,,,1,0,17
Ernest Adkins,,,,0,17
Total,219,4,211,7,17
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,18
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,18
Tom Wolf,4,0,250,2,18
Tom Corbett,,1,1,1,18
James R Roebuck,,,0,0,18
Ernest Adkins,,,,0,18
Total,256,3,251,3,18
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,19
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,19
Tom Wolf,4,0,177,1,19
Tom Corbett,,0,0,3,19
James R Roebuck,,,1,0,19
Ernest Adkins,,,,0,19
Total,182,3,178,4,19
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,20
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,20
Tom Wolf,6,0,227,2,20
Tom Corbett,,0,1,3,20
James R Roebuck,,,2,0,20
Ernest Adkins,,,,0,20
Total,235,4,230,5,20
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,26
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,26
Tom Wolf,3,0,192,4,26
Tom Corbett,,1,1,1,26
James R Roebuck,,,2,0,26
Ernest Adkins,,,,0,26
Total,199,3,195,5,26
,Governor And Lieutenant Governor,,Representative In The General Assembly 188th District,,28
,Tom Wolf,Tom Corbett,James R Roebuck,Ernest Adkins,28
Tom Wolf,7,0,226,3,28
Tom Corbett,,0,1,1,28
James R Roebuck,,,1,0,28
Ernest Adkins,,,,0,28
Total,236,2,228,4,28
