col_1,col_2,division
,Representative In The General Assembly 191st District,All
,Ronald Granville Waters,All
Ronald Granville Waters,"3,929",All
Total,"3,929",All
,Representative In The General Assembly 191st District,2
,Ronald Granville Waters,2
Ronald Granville Waters,182,2
Total,182,2
,Representative In The General Assembly 191st District,3
,Ronald Granville Waters,3
Ronald Granville Waters,326,3
Total,326,3
,Representative In The General Assembly 191st District,4
,Ronald Granville Waters,4
Ronald Granville Waters,231,4
Total,231,4
,Representative In The General Assembly 191st District,5
,Ronald Granville Waters,5
Ronald Granville Waters,297,5
Total,297,5
,Representative In The General Assembly 191st District,6
,Ronald Granville Waters,6
Ronald Granville Waters,140,6
Total,140,6
,Representative In The General Assembly 191st District,7
,Ronald Granville Waters,7
Ronald Granville Waters,265,7
Total,265,7
,Representative In The General Assembly 191st District,8
,Ronald Granville Waters,8
Ronald Granville Waters,165,8
Total,165,8
,Representative In The General Assembly 191st District,9
,Ronald Granville Waters,9
Ronald Granville Waters,201,9
Total,201,9
,Representative In The General Assembly 191st District,10
,Ronald Granville Waters,10
Ronald Granville Waters,101,10
Total,101,10
,Representative In The General Assembly 191st District,11
,Ronald Granville Waters,11
Ronald Granville Waters,171,11
Total,171,11
,Representative In The General Assembly 191st District,12
,Ronald Granville Waters,12
Ronald Granville Waters,145,12
Total,145,12
,Representative In The General Assembly 191st District,13
,Ronald Granville Waters,13
Ronald Granville Waters,217,13
Total,217,13
,Representative In The General Assembly 191st District,14
,Ronald Granville Waters,14
Ronald Granville Waters,213,14
Total,213,14
,Representative In The General Assembly 191st District,19
,Ronald Granville Waters,19
Ronald Granville Waters,123,19
Total,123,19
,Representative In The General Assembly 191st District,20
,Ronald Granville Waters,20
Ronald Granville Waters,96,20
Total,96,20
,Representative In The General Assembly 191st District,21
,Ronald Granville Waters,21
Ronald Granville Waters,75,21
Total,75,21
,Representative In The General Assembly 191st District,23
,Ronald Granville Waters,23
Ronald Granville Waters,158,23
Total,158,23
,Representative In The General Assembly 191st District,24
,Ronald Granville Waters,24
Ronald Granville Waters,222,24
Total,222,24
,Representative In The General Assembly 191st District,25
,Ronald Granville Waters,25
Ronald Granville Waters,178,25
Total,178,25
,Representative In The General Assembly 191st District,26
,Ronald Granville Waters,26
Ronald Granville Waters,123,26
Total,123,26
,Representative In The General Assembly 191st District,33
,Ronald Granville Waters,33
Ronald Granville Waters,98,33
Total,98,33
,Representative In The General Assembly 191st District,34
,Ronald Granville Waters,34
Ronald Granville Waters,129,34
Total,129,34
,Representative In The General Assembly 191st District,47
,Ronald Granville Waters,47
Ronald Granville Waters,73,47
Total,73,47
