col_1,col_2,col_3,col_4,division
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,All
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,All
Tom Wolf,182,0,"5,480",All
Tom Corbett,,31,51,All
Anthony Hardy Williams,,,22,All
Total,"5,662",82,"5,553",All
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,1
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,1
Tom Wolf,8,0,211,1
Tom Corbett,,1,2,1
Anthony Hardy Williams,,,0,1
Total,219,3,213,1
,Senator In The General Assembly 8th District,Governor And Lieutenant Governor,,2
,Anthony Hardy Williams,Tom Wolf,Tom Corbett,2
Anthony Hardy Williams,1,230,5,2
Tom Wolf,,6,0,2
Tom Corbett,,,2,2
Total,236,236,7,2
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,3
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,3
Tom Wolf,12,0,275,3
Tom Corbett,,0,3,3
Anthony Hardy Williams,,,2,3
Total,287,3,280,3
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,4
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,4
Tom Wolf,7,0,270,4
Tom Corbett,,3,1,4
Anthony Hardy Williams,,,1,4
Total,277,4,272,4
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,5
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,5
Tom Wolf,9,0,187,5
Tom Corbett,,2,0,5
Anthony Hardy Williams,,,0,5
Total,196,2,187,5
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,6
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,6
Tom Wolf,8,0,245,6
Tom Corbett,,0,2,6
Anthony Hardy Williams,,,0,6
Total,253,2,247,6
,Senator In The General Assembly 8th District,Governor And Lieutenant Governor,,7
,Anthony Hardy Williams,Tom Wolf,Tom Corbett,7
Anthony Hardy Williams,1,215,6,7
Tom Wolf,,3,0,7
Tom Corbett,,,1,7
Total,222,218,7,7
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,8
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,8
Tom Wolf,13,0,224,8
Tom Corbett,,3,0,8
Anthony Hardy Williams,,,2,8
Total,237,3,226,8
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,9
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,9
Tom Wolf,8,0,300,9
Tom Corbett,,2,2,9
Anthony Hardy Williams,,,3,9
Total,308,4,305,9
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,10
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,10
Tom Wolf,9,0,254,10
Tom Corbett,,0,0,10
Anthony Hardy Williams,,,1,10
Total,263,0,255,10
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,11
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,11
Tom Wolf,9,0,294,11
Tom Corbett,,1,1,11
Anthony Hardy Williams,,,2,11
Total,303,2,297,11
,Senator In The General Assembly 8th District,Governor And Lieutenant Governor,,12
,Anthony Hardy Williams,Tom Wolf,Tom Corbett,12
Anthony Hardy Williams,1,254,3,12
Tom Wolf,,2,0,12
Tom Corbett,,,0,12
Total,258,256,3,12
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,13
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,13
Tom Wolf,14,0,205,13
Tom Corbett,,2,3,13
Anthony Hardy Williams,,,1,13
Total,219,5,209,13
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,14
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,14
Tom Wolf,5,0,291,14
Tom Corbett,,5,1,14
Anthony Hardy Williams,,,0,14
Total,296,6,292,14
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,15
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,15
Tom Wolf,7,0,259,15
Tom Corbett,,0,2,15
Anthony Hardy Williams,,,2,15
Total,266,2,263,15
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,16
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,16
Tom Wolf,15,0,286,16
Tom Corbett,,0,3,16
Anthony Hardy Williams,,,1,16
Total,301,3,290,16
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,17
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,17
Tom Wolf,12,0,284,17
Tom Corbett,,1,3,17
Anthony Hardy Williams,,,1,17
Total,296,4,288,17
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,18
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,18
Tom Wolf,4,0,292,18
Tom Corbett,,0,3,18
Anthony Hardy Williams,,,0,18
Total,296,3,295,18
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,19
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,19
Tom Wolf,11,0,336,19
Tom Corbett,,0,5,19
Anthony Hardy Williams,,,0,19
Total,347,5,341,19
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,20
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,20
Tom Wolf,9,0,201,20
Tom Corbett,,5,4,20
Anthony Hardy Williams,,,2,20
Total,210,9,207,20
,Governor And Lieutenant Governor,,Senator In The General Assembly 8th District,21
,Tom Wolf,Tom Corbett,Anthony Hardy Williams,21
Tom Wolf,8,0,174,21
Tom Corbett,,2,1,21
Anthony Hardy Williams,,,0,21
Total,182,3,175,21
