col_1,col_2,col_3,division
,Representative In The General Assembly 173rd District,,All
,Mike Driscoll,Mike Tomlinson,All
Mike Driscoll,"8,283",0,All
Mike Tomlinson,,"4,058",All
Total,"8,283","4,058",All
