col_1,col_2,col_3,col_4,col_5,division
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,All
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,All
Tom Wolf,135,0,"1,987",21,All
Tom Corbett,,14,16,65,All
Christine M Tartaglione,,,39,0,All
John Jenkins,,,,6,All
Total,"2,143",95,"2,042",92,All
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,1
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,1
Tom Wolf,5,0,112,1,1
Tom Corbett,,1,1,4,1
Christine M Tartaglione,,,0,0,1
John Jenkins,,,,0,1
Total,118,6,113,5,1
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,2
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,2
Tom Wolf,17,0,95,1,2
Tom Corbett,,0,0,2,2
Christine M Tartaglione,,,13,0,2
John Jenkins,,,,0,2
Total,113,2,108,3,2
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,3
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,3
Tom Wolf,8,0,70,0,3
Tom Corbett,,2,0,2,3
Christine M Tartaglione,,,2,0,3
John Jenkins,,,,0,3
Total,78,4,72,2,3
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,4
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,4
Tom Wolf,5,0,72,1,4
Tom Corbett,,0,0,1,4
Christine M Tartaglione,,,3,0,4
John Jenkins,,,,0,4
Total,78,1,75,2,4
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,5
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,5
Tom Wolf,8,0,80,0,5
Tom Corbett,,1,1,7,5
Christine M Tartaglione,,,1,0,5
John Jenkins,,,,1,5
Total,88,9,82,8,5
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,6
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,6
Tom Wolf,11,0,69,0,6
Tom Corbett,,0,0,3,6
Christine M Tartaglione,,,3,0,6
John Jenkins,,,,0,6
Total,80,3,72,3,6
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,7
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,7
Tom Wolf,6,0,96,1,7
Tom Corbett,,1,2,4,7
Christine M Tartaglione,,,1,0,7
John Jenkins,,,,1,7
Total,103,7,99,6,7
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,8
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,8
Tom Wolf,7,0,104,1,8
Tom Corbett,,1,0,5,8
Christine M Tartaglione,,,0,0,8
John Jenkins,,,,0,8
Total,112,6,104,6,8
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,9
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,9
Tom Wolf,8,0,126,3,9
Tom Corbett,,2,1,4,9
Christine M Tartaglione,,,4,0,9
John Jenkins,,,,2,9
Total,137,7,131,9,9
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,10
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,10
Tom Wolf,6,0,172,3,10
Tom Corbett,,2,2,9,10
Christine M Tartaglione,,,2,0,10
John Jenkins,,,,0,10
Total,181,13,176,12,10
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,11
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,11
Tom Wolf,5,0,147,0,11
Tom Corbett,,0,0,3,11
Christine M Tartaglione,,,0,0,11
John Jenkins,,,,1,11
Total,152,3,147,4,11
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,12
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,12
Tom Wolf,13,0,126,3,12
Tom Corbett,,0,4,5,12
Christine M Tartaglione,,,4,0,12
John Jenkins,,,,1,12
Total,142,9,134,9,12
,Governor And Lieutenant Governor,,Senator In The General Assembly 2nd District,,13
,Tom Wolf,Tom Corbett,Christine M Tartaglione,John Jenkins,13
Tom Wolf,10,0,117,2,13
Tom Corbett,,1,0,3,13
