col_1,col_2,col_3,col_4,division
,Tom Wolf,Tom Corbett,Cherelle L Parker,26
Tom Wolf,7,0,270,26
Tom Corbett,,4,1,26
Cherelle L Parker,,,3,26
Total,277,5,274,26
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,27
,Tom Wolf,Tom Corbett,Cherelle L Parker,27
Tom Wolf,8,0,348,27
Tom Corbett,,2,0,27
Cherelle L Parker,,,0,27
Total,356,2,348,27
,Representative In The General Assembly 200th District,Governor And Lieutenant Governor,,28
,Cherelle L Parker,Tom Wolf,Tom Corbett,28
Cherelle L Parker,5,272,4,28
Tom Wolf,,8,0,28
Tom Corbett,,,3,28
Total,281,280,7,28
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,29
,Tom Wolf,Tom Corbett,Cherelle L Parker,29
Tom Wolf,10,0,305,29
Tom Corbett,,3,6,29
Cherelle L Parker,,,3,29
Total,315,9,314,29
