col_1,col_2,division
,Representative In The General Assembly 174th District,All
,John Sabatina Jr,All
John Sabatina Jr,"1,174",All
Total,"1,174",All
,Representative In The General Assembly 174th District,19
,John Sabatina Jr,19
John Sabatina Jr,152,19
Total,152,19
,Representative In The General Assembly 174th District,21
,John Sabatina Jr,21
John Sabatina Jr,263,21
Total,263,21
,Representative In The General Assembly 174th District,25
,John Sabatina Jr,25
John Sabatina Jr,103,25
Total,103,25
,Representative In The General Assembly 174th District,26
,John Sabatina Jr,26
John Sabatina Jr,198,26
Total,198,26
,Representative In The General Assembly 174th District,27
,John Sabatina Jr,27
John Sabatina Jr,107,27
Total,107,27
,Representative In The General Assembly 174th District,28
,John Sabatina Jr,28
John Sabatina Jr,183,28
Total,183,28
,Representative In The General Assembly 174th District,46
,John Sabatina Jr,46
John Sabatina Jr,168,46
Total,168,46
