col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,All
,Brendan F Boyle,Michele Lawrence,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,2,All
Brendan F Boyle,256,0,280,282,229,237,223,208,215,172,150,3,All
Michele Lawrence,,49,87,79,68,58,70,66,52,52,41,4,All
Meagan Ingerson,,,5,228,232,200,226,202,188,161,125,5,All
James Harrity,,,,3,194,230,205,185,214,156,145,6,All
Mona Getzes Cohen,,,,,4,170,195,162,153,124,109,7,All
Richard Lombardo,,,,,,0,217,191,210,156,158,8,All
Erica Vanstone,,,,,,,1,211,197,174,146,9,All
Catherine Bartch,,,,,,,,0,173,169,139,10,All
Frank T Brzozowski,,,,,,,,,0,144,141,11,All
Marnie Aument Loughrey,,,,,,,,,,0,115,12,All
Billy Cortes,,,,,,,,,,,0,13,All
Total,725,189,381,375,311,308,305,283,281,232,198,14,All
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,1
,Brendan F Boyle,Michele Lawrence,Meagan Ingerson,James Harrity,Frank T Brzozowski,Catherine Bartch,Richard Lombardo,Erica Vanstone,Mona Getzes Cohen,Marnie Aument Loughrey,Billy Cortes,2,1
Brendan F Boyle,9,0,23,23,22,17,21,17,19,16,14,3,1
Michele Lawrence,,0,10,6,5,9,5,8,7,7,3,4,1
Meagan Ingerson,,,1,21,17,21,15,20,21,17,9,5,1
James Harrity,,,,0,22,22,20,21,19,19,16,6,1
Frank T Brzozowski,,,,,0,22,23,23,16,18,17,7,1
Catherine Bartch,,,,,,0,21,24,17,20,15,8,1
Richard Lombardo,,,,,,,0,21,13,18,16,9,1
Erica Vanstone,,,,,,,,0,15,21,15,10,1
Mona Getzes Cohen,,,,,,,,,1,15,10,11,1
Marnie Aument Loughrey,,,,,,,,,,0,15,12,1
Billy Cortes,,,,,,,,,,,0,13,1
Total,49,11,35,33,31,30,29,28,28,26,21,14,1
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,2
,Brendan F Boyle,Michele Lawrence,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Richard Lombardo,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2,2
Brendan F Boyle,19,0,33,26,26,27,23,20,22,20,17,3,2
Michele Lawrence,,4,15,14,12,10,11,12,9,7,10,4,2
James Harrity,,,1,24,21,29,23,22,26,22,19,5,2
Mona Getzes Cohen,,,,0,27,20,20,23,18,17,13,6,2
Meagan Ingerson,,,,,0,18,20,19,16,13,14,7,2
Richard Lombardo,,,,,,0,22,22,25,24,15,8,2
Catherine Bartch,,,,,,,0,24,20,18,20,9,2
Erica Vanstone,,,,,,,,0,20,18,18,10,2
Frank T Brzozowski,,,,,,,,,0,20,14,11,2
Billy Cortes,,,,,,,,,,0,13,12,2
Marnie Aument Loughrey,,,,,,,,,,,0,13,2
Total,72,29,49,40,38,37,34,32,31,27,27,14,2
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,3
,Brendan F Boyle,Michele Lawrence,Meagan Ingerson,Mona Getzes Cohen,James Harrity,Erica Vanstone,Billy Cortes,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,2,3
Brendan F Boyle,2,0,14,13,8,9,7,7,6,5,4,3,3
Michele Lawrence,,1,7,5,6,2,3,2,2,2,2,4,3
Meagan Ingerson,,,1,13,10,9,7,8,6,6,5,5,3
Mona Getzes Cohen,,,,0,8,9,6,7,5,4,4,6,3
James Harrity,,,,,0,3,3,5,3,2,4,7,3
Erica Vanstone,,,,,,0,9,8,6,6,6,8,3
Billy Cortes,,,,,,,0,7,5,6,5,9,3
Richard Lombardo,,,,,,,,0,7,7,7,10,3
Catherine Bartch,,,,,,,,,0,6,4,11,3
Marnie Aument Loughrey,,,,,,,,,,0,4,12,3
Frank T Brzozowski,,,,,,,,,,,0,13,3
Total,25,11,22,19,14,12,11,11,10,8,7,14,3
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,4
,Brendan F Boyle,Michele Lawrence,James Harrity,Meagan Ingerson,Richard Lombardo,Mona Getzes Cohen,Catherine Bartch,Erica Vanstone,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,2,4
Brendan F Boyle,9,0,19,17,19,12,11,12,13,14,11,3,4
Michele Lawrence,,1,3,4,1,3,4,3,2,0,2,4,4
James Harrity,,,0,14,14,11,10,10,12,11,10,5,4
Meagan Ingerson,,,,1,12,10,9,10,9,9,9,6,4
Richard Lombardo,,,,,0,10,11,11,10,13,11,7,4
Mona Getzes Cohen,,,,,,1,6,7,6,8,7,8,4
Catherine Bartch,,,,,,,0,9,10,8,8,9,4
Erica Vanstone,,,,,,,,0,9,8,9,10,4
Marnie Aument Loughrey,,,,,,,,,0,7,9,11,4
Frank T Brzozowski,,,,,,,,,,0,8,12,4
Billy Cortes,,,,,,,,,,,0,13,4
Total,38,9,22,22,20,16,15,15,15,14,13,14,4
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,5
,Brendan F Boyle,Michele Lawrence,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Catherine Bartch,Erica Vanstone,Richard Lombardo,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,2,5
Brendan F Boyle,10,0,19,15,16,14,11,12,11,12,6,3,5
Michele Lawrence,,0,10,8,7,9,10,8,8,6,6,4,5
James Harrity,,,0,19,17,19,17,20,18,17,12,5,5
Mona Getzes Cohen,,,,1,15,15,15,12,13,10,6,6,5
Meagan Ingerson,,,,,0,14,12,14,12,11,6,7,5
Catherine Bartch,,,,,,0,18,15,16,11,11,8,5
Erica Vanstone,,,,,,,0,14,14,10,9,9,5
Richard Lombardo,,,,,,,,0,15,12,9,10,5
Marnie Aument Loughrey,,,,,,,,,0,12,9,11,5
Frank T Brzozowski,,,,,,,,,,0,8,12,5
Billy Cortes,,,,,,,,,,,0,13,5
Total,38,11,30,25,24,23,21,20,19,18,12,14,5
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,6
,Brendan F Boyle,Michele Lawrence,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Frank T Brzozowski,Erica Vanstone,Richard Lombardo,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,2,6
Brendan F Boyle,16,0,24,23,20,19,20,18,16,12,7,3,6
Michele Lawrence,,1,3,2,5,4,2,3,3,1,1,4,6
James Harrity,,,0,20,19,17,18,17,15,10,5,5,6
Meagan Ingerson,,,,0,21,18,22,18,17,11,7,6,6
Mona Getzes Cohen,,,,,0,17,19,15,17,9,6,7,6
Frank T Brzozowski,,,,,,0,16,14,15,8,4,8,6
Erica Vanstone,,,,,,,0,16,15,9,7,9,6
Richard Lombardo,,,,,,,,0,14,10,3,10,6
Catherine Bartch,,,,,,,,,0,8,4,11,6
Billy Cortes,,,,,,,,,,0,4,12,6
Marnie Aument Loughrey,,,,,,,,,,,0,13,6
Total,54,9,29,26,26,25,23,22,20,13,8,14,6
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,7
,Brendan F Boyle,Michele Lawrence,Billy Cortes,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,James Harrity,Marnie Aument Loughrey,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,2,7
Brendan F Boyle,43,0,0,0,0,0,0,0,0,0,0,3,7
Michele Lawrence,,6,0,0,0,0,0,0,0,0,0,4,7
Billy Cortes,,,0,0,0,0,0,0,0,0,0,5,7
