col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,All
,James Harrity,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,All
James Harrity,6,282,361,351,281,293,297,278,266,348,84,90,47,3,3,All
Mona Getzes Cohen,,7,201,214,288,166,145,139,133,194,117,86,43,4,4,All
Richard Lombardo,,,5,368,206,301,319,286,273,287,41,74,41,3,5,All
Erica Vanstone,,,,0,219,311,310,276,277,261,40,83,41,2,6,All
Meagan Ingerson,,,,,4,171,143,134,136,180,94,68,47,4,7,All
Catherine Bartch,,,,,,0,245,237,262,227,33,67,32,0,8,All
Frank T Brzozowski,,,,,,,0,236,233,236,33,49,33,1,9,All
Billy Cortes,,,,,,,,0,225,219,20,56,23,2,10,All
Marnie Aument Loughrey,,,,,,,,,0,211,27,52,30,0,11,All
Mike Stack,,,,,,,,,,39,0,0,0,0,12,All
Kathi Cozzone,,,,,,,,,,,13,0,0,0,13,All
Nina Ahmad,,,,,,,,,,,,15,0,0,14,All
John Fetterman,,,,,,,,,,,,,18,0,15,All
Ray Sosa,,,,,,,,,,,,,,2,16,All
Total,588,458,457,431,402,363,357,326,324,532,168,145,99,9,17,All
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,1
,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,1
James Harrity,0,10,10,12,11,10,10,9,8,10,5,3,1,0,3,1
Meagan Ingerson,,0,10,6,5,6,3,2,3,9,4,1,1,0,4,1
Mona Getzes Cohen,,,1,7,6,7,4,2,3,7,5,2,0,1,5,1
Erica Vanstone,,,,0,10,10,9,7,8,6,4,1,0,0,6,1
Richard Lombardo,,,,,0,9,9,8,6,7,2,1,0,0,7,1
Billy Cortes,,,,,,0,7,6,7,4,4,1,0,0,8,1
Catherine Bartch,,,,,,,0,7,6,6,3,0,0,0,9,1
Frank T Brzozowski,,,,,,,,0,5,7,1,0,0,0,10,1
Marnie Aument Loughrey,,,,,,,,,0,4,2,1,0,0,11,1
Mike Stack,,,,,,,,,,0,0,0,0,0,12,1
Nina Ahmad,,,,,,,,,,,1,0,0,0,13,1
Kathi Cozzone,,,,,,,,,,,,0,0,0,14,1
John Fetterman,,,,,,,,,,,,,0,0,15,1
Ray Sosa,,,,,,,,,,,,,,0,16,1
Total,21,17,17,12,12,11,10,10,8,19,6,4,2,1,17,1
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,2
