col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,All
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Lou Barletta,Jim Christiana,2,All
Maria Digiorgio Mccolgan,2,66,67,55,39,41,3,All
Christopher M Vogler,,1,67,53,40,37,4,All
Michael A Cibik,,,0,54,38,39,5,All
Theresa A Dintino,,,,1,27,30,6,All
Lou Barletta,,,,,15,0,7,All
Jim Christiana,,,,,,8,8,All
Total,86,83,82,61,69,62,9,All
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,1
,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,Jim Christiana,Lou Barletta,2,1
Christopher M Vogler,0,2,1,1,2,1,3,1
Michael A Cibik,,0,1,1,1,1,4,1
Maria Digiorgio Mccolgan,,,0,1,1,0,5,1
Theresa A Dintino,,,,0,1,0,6,1
Jim Christiana,,,,,0,0,7,1
Lou Barletta,,,,,,0,8,1
Total,3,2,1,1,2,1,9,1
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,2
,Maria Digiorgio Mccolgan,Michael A Cibik,Christopher M Vogler,Theresa A Dintino,Jim Christiana,Lou Barletta,2,2
Maria Digiorgio Mccolgan,0,2,2,2,2,0,3,2
Michael A Cibik,,0,2,2,1,1,4,2
Christopher M Vogler,,,0,2,1,0,5,2
Theresa A Dintino,,,,0,1,0,6,2
Jim Christiana,,,,,0,0,7,2
Lou Barletta,,,,,,0,8,2
Total,3,3,2,2,2,1,9,2
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,3
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Jim Christiana,Lou Barletta,2,3
Christopher M Vogler,0,3,3,3,2,2,3,3
Maria Digiorgio Mccolgan,,0,3,2,1,2,4,3
Michael A Cibik,,,0,2,1,2,5,3
Theresa A Dintino,,,,0,2,1,6,3
Jim Christiana,,,,,0,0,7,3
Lou Barletta,,,,,,0,8,3
Total,4,3,3,3,2,2,9,3
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,4
,Theresa A Dintino,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Lou Barletta,Jim Christiana,2,4
Theresa A Dintino,0,2,2,1,2,1,3,4
Christopher M Vogler,,0,2,1,1,1,4,4
Michael A Cibik,,,0,1,1,1,5,4
Maria Digiorgio Mccolgan,,,,0,0,1,6,4
Lou Barletta,,,,,0,0,7,4
Jim Christiana,,,,,,0,8,4
Total,3,2,2,1,2,1,9,4
,United States Senator - Republican,,Member Of The - Republican State Committee 1st Congressional District,,,,1,5
,Jim Christiana,Lou Barletta,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,2,5
Jim Christiana,1,0,7,5,4,3,3,5
Lou Barletta,,0,2,1,1,1,4,5
Maria Digiorgio Mccolgan,,,0,5,5,4,5,5
Christopher M Vogler,,,,0,4,4,6,5
Michael A Cibik,,,,,0,4,7,5
Theresa A Dintino,,,,,,0,8,5
Total,9,2,9,6,5,4,9,5
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,6
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Lou Barletta,Jim Christiana,2,6
Maria Digiorgio Mccolgan,1,3,3,2,4,0,3,6
Christopher M Vogler,,0,2,2,3,0,4,6
Michael A Cibik,,,0,2,3,0,5,6
Theresa A Dintino,,,,0,2,0,6,6
Lou Barletta,,,,,0,0,7,6
Jim Christiana,,,,,,1,8,6
Total,5,3,3,2,4,1,9,6
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,8
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Lou Barletta,Jim Christiana,2,8
Christopher M Vogler,0,2,2,2,1,1,3,8
Maria Digiorgio Mccolgan,,0,2,2,1,1,4,8
Michael A Cibik,,,0,2,1,1,5,8
Theresa A Dintino,,,,0,1,1,6,8
Lou Barletta,,,,,1,0,7,8
Jim Christiana,,,,,,0,8,8
Total,2,2,2,2,2,1,9,8
,United States Senator - Republican,,Member Of The - Republican State Committee 1st Congressional District,,,,1,9
,Lou Barletta,Jim Christiana,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,9
Lou Barletta,4,0,0,0,0,0,3,9
Jim Christiana,,1,0,0,0,0,4,9
Christopher M Vogler,,,0,0,0,0,5,9
Maria Digiorgio Mccolgan,,,,0,0,0,6,9
Michael A Cibik,,,,,0,0,7,9
Theresa A Dintino,,,,,,0,8,9
Total,4,1,0,0,0,0,9,9
,United States Senator - Republican,,Member Of The - Republican State Committee 1st Congressional District,,,,1,10
,Lou Barletta,Jim Christiana,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,10
Lou Barletta,3,0,0,0,0,0,3,10
Jim Christiana,,1,0,0,0,0,4,10
Christopher M Vogler,,,0,0,0,0,5,10
Maria Digiorgio Mccolgan,,,,0,0,0,6,10
Michael A Cibik,,,,,0,0,7,10
Theresa A Dintino,,,,,,0,8,10
Total,3,1,0,0,0,0,9,10
,United States Senator - Republican,,Member Of The - Republican State Committee 1st Congressional District,,,,1,11
