col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,1
Dwight Evans,7,0,35,15,15,14,0,1
Kevin Johnson,,2,12,7,8,3,0,1
Nina Ahmad,,,2,0,0,0,0,1
Mike Stack,,,,3,0,0,0,1
John Fetterman,,,,,1,0,0,1
Kathi Cozzone,,,,,,1,0,1
Ray Sosa,,,,,,,0,1
Total,86,32,49,25,24,18,0,1
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,2
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2
Dwight Evans,16,0,27,20,13,4,1,2
Kevin Johnson,,1,1,2,3,1,0,2
Mike Stack,,,6,0,0,0,0,2
Kathi Cozzone,,,,2,0,0,0,2
Nina Ahmad,,,,,3,0,0,2
John Fetterman,,,,,,0,0,2
Ray Sosa,,,,,,,0,2
Total,81,8,34,24,19,5,1,2
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,3
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,3
Dwight Evans,4,0,25,20,9,10,0,3
Kevin Johnson,,1,8,13,11,2,1,3
Mike Stack,,,1,0,0,0,0,3
Nina Ahmad,,,,0,0,0,0,3
John Fetterman,,,,,2,0,0,3
Kathi Cozzone,,,,,,0,0,3
Ray Sosa,,,,,,,0,3
Total,68,36,34,33,22,12,1,3
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,4
,Dwight Evans,Kevin Johnson,Nina Ahmad,Kathi Cozzone,Mike Stack,John Fetterman,Ray Sosa,4
Dwight Evans,16,0,28,15,20,5,0,4
Kevin Johnson,,0,5,7,3,1,1,4
Nina Ahmad,,,10,0,0,0,0,4
Kathi Cozzone,,,,1,0,0,0,4
Mike Stack,,,,,0,0,0,4
John Fetterman,,,,,,0,0,4
Ray Sosa,,,,,,,0,4
Total,84,17,43,23,23,6,1,4
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,5
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,5
Dwight Evans,3,0,17,16,7,0,1,5
Kevin Johnson,,2,2,0,2,1,0,5
Nina Ahmad,,,0,0,0,0,0,5
Mike Stack,,,,0,0,0,0,5
Kathi Cozzone,,,,,0,0,0,5
John Fetterman,,,,,,0,0,5
Ray Sosa,,,,,,,0,5
Total,44,7,19,16,9,1,1,5
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,6
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,6
Dwight Evans,11,0,37,15,8,2,0,6
Kevin Johnson,,1,3,2,4,0,0,6
Mike Stack,,,1,0,0,0,0,6
Kathi Cozzone,,,,0,0,0,0,6
Nina Ahmad,,,,,0,0,0,6
John Fetterman,,,,,,0,0,6
Ray Sosa,,,,,,,1,6
Total,73,10,41,17,12,2,1,6
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,7
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,7
Dwight Evans,10,0,32,19,9,3,0,7
Kevin Johnson,,2,4,3,3,4,0,7
Mike Stack,,,5,0,0,0,0,7
Kathi Cozzone,,,,1,0,0,0,7
Nina Ahmad,,,,,1,0,0,7
John Fetterman,,,,,,0,0,7
Ray Sosa,,,,,,,0,7
Total,73,16,41,23,13,7,0,7
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,8
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,8
Dwight Evans,7,0,10,9,8,5,1,8
Kevin Johnson,,0,1,0,1,0,0,8
Mike Stack,,,0,0,0,0,0,8
Kathi Cozzone,,,,0,0,0,0,8
Nina Ahmad,,,,,0,0,0,8
John Fetterman,,,,,,0,0,8
Ray Sosa,,,,,,,0,8
Total,40,2,11,9,9,5,1,8
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,9
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,9
Dwight Evans,3,0,21,8,9,1,0,9
Kevin Johnson,,2,3,3,1,3,0,9
Mike Stack,,,0,0,0,0,0,9
Kathi Cozzone,,,,2,0,0,0,9
Nina Ahmad,,,,,0,0,0,9
John Fetterman,,,,,,1,0,9
Ray Sosa,,,,,,,0,9
Total,42,12,24,13,10,5,0,9
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,10
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,10
Dwight Evans,8,0,14,10,7,0,0,10
Kevin Johnson,,1,0,1,2,0,0,10
Mike Stack,,,0,0,0,0,0,10
Nina Ahmad,,,,0,0,0,0,10
Kathi Cozzone,,,,,1,0,0,10
John Fetterman,,,,,,0,0,10
Ray Sosa,,,,,,,0,10
Total,39,4,14,11,10,0,0,10
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,11
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,11
Dwight Evans,11,0,38,14,6,8,0,11
Kevin Johnson,,2,13,8,4,1,0,11
Mike Stack,,,0,0,0,0,0,11
Kathi Cozzone,,,,3,0,0,0,11
John Fetterman,,,,,0,0,0,11
Nina Ahmad,,,,,,0,0,11
Ray Sosa,,,,,,,0,11
Total,77,28,51,25,10,9,0,11
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,12
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,12
Dwight Evans,9,0,12,6,3,4,0,12
Kevin Johnson,,1,4,1,0,0,0,12
Mike Stack,,,0,0,0,0,0,12
Kathi Cozzone,,,,2,0,0,0,12
John Fetterman,,,,,1,0,0,12
Nina Ahmad,,,,,,0,0,12
Ray Sosa,,,,,,,0,12
Total,34,6,16,9,4,4,0,12
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,13
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,13
Dwight Evans,9,0,17,6,5,2,0,13
Kevin Johnson,,1,2,1,1,0,1,13
Mike Stack,,,0,0,0,0,0,13
Kathi Cozzone,,,,3,0,0,0,13
Nina Ahmad,,,,,1,0,0,13
John Fetterman,,,,,,2,0,13
Ray Sosa,,,,,,,0,13
Total,39,6,19,10,7,4,1,13
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,14
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,14
Dwight Evans,4,0,13,13,6,3,1,14
Kevin Johnson,,1,2,0,3,0,0,14
Mike Stack,,,1,0,0,0,0,14
Kathi Cozzone,,,,1,0,0,0,14
Nina Ahmad,,,,,0,0,0,14
John Fetterman,,,,,,0,0,14
Ray Sosa,,,,,,,0,14
Total,40,6,16,14,9,3,1,14
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,15
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,15
Dwight Evans,6,0,29,9,5,2,0,15
Kevin Johnson,,0,4,3,3,1,0,15
Mike Stack,,,1,0,0,0,0,15
Kathi Cozzone,,,,1,0,0,0,15
Nina Ahmad,,,,,0,0,0,15
John Fetterman,,,,,,0,0,15
Ray Sosa,,,,,,,0,15
Total,51,11,34,13,8,3,0,15
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,16
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,16
Dwight Evans,7,0,35,12,7,1,0,16
Kevin Johnson,,3,7,0,3,1,0,16
Mike Stack,,,1,0,0,0,0,16
Kathi Cozzone,,,,0,0,0,0,16
Nina Ahmad,,,,,1,0,0,16
Ray Sosa,,,,,,0,0,16
John Fetterman,,,,,,,0,16
Total,62,14,43,12,11,2,0,16
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,17
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,17
Dwight Evans,8,0,40,14,10,3,1,17
Kevin Johnson,,1,8,1,2,3,0,17
Mike Stack,,,2,0,0,0,0,17
Kathi Cozzone,,,,0,0,0,0,17
Nina Ahmad,,,,,1,0,0,17
John Fetterman,,,,,,0,0,17
Ray Sosa,,,,,,,0,17
Total,76,15,50,15,13,6,1,17
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,18
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,18
Dwight Evans,15,0,27,24,11,4,0,18
Kevin Johnson,,4,3,4,2,0,0,18
Mike Stack,,,1,0,0,0,0,18
Kathi Cozzone,,,,0,0,0,0,18
Nina Ahmad,,,,,2,0,0,18
