col_1,col_2,col_3,col_4,order,division
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,All
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,All
Bob Casey Jr,152,932,830,3,All
Brendan F Boyle,,56,0,4,All
Michele Lawrence,,,47,5,All
Total,"1,914",988,877,6,All
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,1
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,1
Bob Casey Jr,6,99,65,3,1
Brendan F Boyle,,6,0,4,1
Michele Lawrence,,,3,5,1
Total,170,105,68,6,1
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,2
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,2
Bob Casey Jr,9,96,72,3,2
Brendan F Boyle,,4,0,4,2
Michele Lawrence,,,3,5,2
Total,177,100,75,6,2
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,3
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,3
Bob Casey Jr,3,14,4,3,3
Brendan F Boyle,,0,0,4,3
Michele Lawrence,,,3,5,3
Total,21,14,7,6,3
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,4
,Bob Casey Jr,Michele Lawrence,Brendan F Boyle,2,4
Bob Casey Jr,10,71,54,3,4
Michele Lawrence,,4,0,4,4
Brendan F Boyle,,,2,5,4
Total,135,75,56,6,4
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,5
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,5
Bob Casey Jr,8,46,35,3,5
Brendan F Boyle,,1,0,4,5
Michele Lawrence,,,3,5,5
Total,89,47,38,6,5
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,6
,Bob Casey Jr,Michele Lawrence,Brendan F Boyle,2,6
Bob Casey Jr,5,61,57,3,6
Michele Lawrence,,2,0,4,6
Brendan F Boyle,,,3,5,6
Total,123,63,60,6,6
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,7
,Bob Casey Jr,Michele Lawrence,Brendan F Boyle,2,7
Bob Casey Jr,11,79,72,3,7
Michele Lawrence,,7,0,4,7
Brendan F Boyle,,,5,5,7
Total,162,86,77,6,7
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,8
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,8
Bob Casey Jr,6,10,10,3,8
Brendan F Boyle,,1,0,4,8
Michele Lawrence,,,1,5,8
Total,26,11,11,6,8
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,9
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,9
Bob Casey Jr,16,68,64,3,9
Brendan F Boyle,,4,0,4,9
Michele Lawrence,,,3,5,9
Total,148,72,67,6,9
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,10
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,10
Bob Casey Jr,10,87,50,3,10
Brendan F Boyle,,6,0,4,10
Michele Lawrence,,,1,5,10
Total,147,93,51,6,10
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,11
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,11
Bob Casey Jr,8,67,61,3,11
Brendan F Boyle,,7,0,4,11
Michele Lawrence,,,6,5,11
Total,136,74,67,6,11
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,12
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,12
Bob Casey Jr,7,90,67,3,12
Brendan F Boyle,,4,0,4,12
Michele Lawrence,,,5,5,12
Total,164,94,72,6,12
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,13
,Bob Casey Jr,Michele Lawrence,Brendan F Boyle,2,13
Bob Casey Jr,13,12,10,3,13
Michele Lawrence,,0,0,4,13
Brendan F Boyle,,,0,5,13
Total,35,12,10,6,13
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,14
,Bob Casey Jr,Michele Lawrence,Brendan F Boyle,2,14
Bob Casey Jr,9,39,34,3,14
Michele Lawrence,,1,0,4,14
Brendan F Boyle,,,3,5,14
Total,82,40,37,6,14
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,15
,Bob Casey Jr,Michele Lawrence,Brendan F Boyle,2,15
Bob Casey Jr,7,30,25,3,15
Michele Lawrence,,3,0,4,15
Brendan F Boyle,,,1,5,15
Total,62,33,26,6,15
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,16
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,16
Bob Casey Jr,13,49,36,3,16
Brendan F Boyle,,4,0,4,16
Michele Lawrence,,,0,5,16
Total,98,53,36,6,16
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,17
,Bob Casey Jr,Michele Lawrence,Brendan F Boyle,2,17
Bob Casey Jr,11,74,54,3,17
Michele Lawrence,,2,0,4,17
Brendan F Boyle,,,5,5,17
Total,139,76,59,6,17
