col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Bob Casey Jr,Rhea Powell,Marylouise Isaacson,Andi Perez,Amanda Mcillmurray,Micah Mahjoubian,Darrell L Clarke,Mariel J K Martin,Tom Young,Jon Geeting,Judi Golding Baker,Noam Kugelmass,Joe Celentano,Matthew D Myers,2,All
Bob Casey Jr,272,989,832,826,767,754,669,686,668,594,536,541,497,349,3,All
Rhea Powell,,4,604,590,608,536,377,502,438,375,440,445,381,197,4,All
Marylouise Isaacson,,,4,532,563,517,428,512,412,274,399,350,261,241,5,All
Andi Perez,,,,2,471,486,406,485,412,354,332,349,299,233,6,All
Amanda Mcillmurray,,,,,2,434,350,479,339,302,418,343,275,195,7,All
Micah Mahjoubian,,,,,,3,358,423,405,252,304,352,294,222,8,All
Darrell L Clarke,,,,,,,7,361,284,259,269,195,160,242,9,All
Mariel J K Martin,,,,,,,,1,341,215,347,280,219,240,10,All
Tom Young,,,,,,,,,11,246,204,305,296,224,11,All
Jon Geeting,,,,,,,,,,7,189,202,228,123,12,All
Judi Golding Baker,,,,,,,,,,,2,234,173,152,13,All
Noam Kugelmass,,,,,,,,,,,,1,270,116,14,All
Joe Celentano,,,,,,,,,,,,,2,100,15,All
Matthew D Myers,,,,,,,,,,,,,,3,16,All
Total,"1,914","1,015",870,849,787,769,706,703,688,611,553,552,510,360,17,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Bob Casey Jr,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Micah Mahjoubian,Andi Perez,Mariel J K Martin,Tom Young,Darrell L Clarke,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Joe Celentano,Matthew D Myers,2,1
Bob Casey Jr,24,101,81,81,74,68,61,58,59,50,49,46,44,30,3,1
Rhea Powell,,0,70,66,61,55,54,47,42,43,39,33,34,26,4,1
Amanda Mcillmurray,,,0,60,50,45,44,36,37,42,36,31,27,24,5,1
Marylouise Isaacson,,,,0,49,45,43,39,37,37,33,23,25,19,6,1
Micah Mahjoubian,,,,,0,43,37,34,32,31,34,23,28,20,7,1
Andi Perez,,,,,,0,33,34,26,24,30,25,28,14,8,1
