col_1,col_2,col_3,col_4,order,division
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,All
,Bryan E Leib,Jim Christiana,Lou Barletta,2,All
Bryan E Leib,1,14,8,3,All
Jim Christiana,,7,0,4,All
Lou Barletta,,,3,5,All
Total,23,21,11,6,All
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,1
,Bryan E Leib,Jim Christiana,Lou Barletta,2,1
Bryan E Leib,0,2,0,3,1
Jim Christiana,,0,0,4,1
Lou Barletta,,,1,5,1
Total,2,2,1,6,1
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,2
,Bryan E Leib,Jim Christiana,Lou Barletta,2,2
Bryan E Leib,0,1,0,3,2
Jim Christiana,,0,0,4,2
Lou Barletta,,,0,5,2
Total,1,1,0,6,2
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,7
,Bryan E Leib,Jim Christiana,Lou Barletta,2,7
Bryan E Leib,0,1,0,3,7
Jim Christiana,,0,0,4,7
Lou Barletta,,,0,5,7
Total,1,1,0,6,7
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,8
,Bryan E Leib,Jim Christiana,Lou Barletta,2,8
Bryan E Leib,0,1,1,3,8
Jim Christiana,,0,0,4,8
Lou Barletta,,,0,5,8
Total,2,1,1,6,8
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,9
,Bryan E Leib,Jim Christiana,Lou Barletta,2,9
Bryan E Leib,0,2,1,3,9
Jim Christiana,,0,0,4,9
Lou Barletta,,,0,5,9
Total,3,2,1,6,9
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,11
,Bryan E Leib,Jim Christiana,Lou Barletta,2,11
Bryan E Leib,0,1,0,3,11
Jim Christiana,,0,0,4,11
Lou Barletta,,,0,5,11
Total,1,1,0,6,11
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,12
,Bryan E Leib,Jim Christiana,Lou Barletta,2,12
Bryan E Leib,0,2,1,3,12
Jim Christiana,,1,0,4,12
Lou Barletta,,,0,5,12
Total,3,3,1,6,12
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,13
,Lou Barletta,Jim Christiana,Bryan E Leib,2,13
Lou Barletta,1,0,0,3,13
Jim Christiana,,0,0,4,13
Bryan E Leib,,,0,5,13
Total,1,0,0,6,13
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,15
,Bryan E Leib,Jim Christiana,Lou Barletta,2,15
Bryan E Leib,0,1,0,3,15
Jim Christiana,,0,0,4,15
Lou Barletta,,,0,5,15
Total,1,1,0,6,15
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,16
,Jim Christiana,Lou Barletta,Bryan E Leib,2,16
Jim Christiana,1,0,0,3,16
Lou Barletta,,0,0,4,16
Bryan E Leib,,,0,5,16
Total,1,0,0,6,16
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,18
,Bryan E Leib,Jim Christiana,Lou Barletta,2,18
Bryan E Leib,0,1,0,3,18
Jim Christiana,,0,0,4,18
Lou Barletta,,,0,5,18
Total,1,1,0,6,18
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,19
,Jim Christiana,Lou Barletta,Bryan E Leib,2,19
Jim Christiana,1,0,1,3,19
Lou Barletta,,1,0,4,19
Bryan E Leib,,,0,5,19
Total,2,1,1,6,19
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,20
,Bryan E Leib,Lou Barletta,Jim Christiana,2,20
Bryan E Leib,1,4,0,3,20
Lou Barletta,,0,0,4,20
Jim Christiana,,,1,5,20
Total,5,4,1,6,20
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,21
,Jim Christiana,Lou Barletta,Bryan E Leib,2,21
Jim Christiana,1,0,0,3,21
Lou Barletta,,0,0,4,21
Bryan E Leib,,,0,5,21
Total,1,0,0,6,21
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,23
,Jim Christiana,Lou Barletta,Bryan E Leib,2,23
Jim Christiana,2,0,1,3,23
Lou Barletta,,0,1,4,23
Bryan E Leib,,,0,5,23
Total,3,1,2,6,23
