To Remove,United States Senator - Republican,To Remove 2,To Remove 3,Lieutenant Governor - Republican,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,,All
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,All
Lou Barletta,795,0,0,"2,056","2,065","2,241",337,3,All
Jim Christiana,,705,0,"2,762","1,547",865,198,1,All
Write In,,,6,2,2,2,0,11,All
Kathy Coder,,,,276,0,0,0,0,All
Diana Irey Vaughan,,,,,203,0,0,0,All
Jeff Bartos,,,,,,214,0,0,All
Peg Luksik,,,,,,,51,0,All
Write In,,,,,,,,1,All
Total,"7,502","6,083",27,"5,099","3,820","3,325",588,19,All
