col_1,col_2,col_3,division
,Governor - Democrat,Representative In The General Assembly 202nd District - Democrat,All
,Tom Wolf,Jared Solomon,All
Tom Wolf,38,347,All
Jared Solomon,,32,All
Total,385,379,All
,Governor - Democrat,Representative In The General Assembly 202nd District - Democrat,13
,Tom Wolf,Jared Solomon,13
Tom Wolf,6,33,13
Jared Solomon,,2,13
Total,39,35,13
,Representative In The General Assembly 202nd District - Democrat,Governor - Democrat,15
,Jared Solomon,Tom Wolf,15
Jared Solomon,4,32,15
Tom Wolf,,3,15
Total,36,35,15
,Governor - Democrat,Representative In The General Assembly 202nd District - Democrat,16
,Tom Wolf,Jared Solomon,16
Tom Wolf,4,38,16
Jared Solomon,,3,16
Total,42,41,16
,Governor - Democrat,Representative In The General Assembly 202nd District - Democrat,17
,Tom Wolf,Jared Solomon,17
Tom Wolf,3,34,17
Jared Solomon,,1,17
Total,37,35,17
,Representative In The General Assembly 202nd District - Democrat,Governor - Democrat,18
,Jared Solomon,Tom Wolf,18
Jared Solomon,4,29,18
Tom Wolf,,4,18
Total,33,33,18
,Representative In The General Assembly 202nd District - Democrat,Governor - Democrat,20
,Jared Solomon,Tom Wolf,20
Jared Solomon,6,40,20
Tom Wolf,,2,20
Total,46,42,20
,Governor - Democrat,Representative In The General Assembly 202nd District - Democrat,21
,Tom Wolf,Jared Solomon,21
Tom Wolf,4,29,21
Jared Solomon,,3,21
Total,33,32,21
,Representative In The General Assembly 202nd District - Democrat,Governor - Democrat,22
,Jared Solomon,Tom Wolf,22
Jared Solomon,3,19,22
Tom Wolf,,3,22
Total,22,22,22
,Representative In The General Assembly 202nd District - Democrat,Governor - Democrat,23
,Jared Solomon,Tom Wolf,23
Jared Solomon,2,21,23
Tom Wolf,,1,23
Total,23,22,23
,Governor - Democrat,Representative In The General Assembly 202nd District - Democrat,24
,Tom Wolf,Jared Solomon,24
Tom Wolf,3,26,24
Jared Solomon,,1,24
Total,29,27,24
,Governor - Democrat,Representative In The General Assembly 202nd District - Democrat,25
,Tom Wolf,Jared Solomon,25
Tom Wolf,2,19,25
Jared Solomon,,1,25
Total,21,20,25
,Governor - Democrat,Representative In The General Assembly 202nd District - Democrat,26
,Tom Wolf,Jared Solomon,26
Tom Wolf,3,27,26
Jared Solomon,,2,26
Total,30,29,26
