col_1,col_2,order,division
,Governor - Democrat,1,All
,Tom Wolf,2,All
Tom Wolf,"1,208",3,All
Total,"1,208",4,All
,Governor - Democrat,1,1
,Tom Wolf,2,1
Tom Wolf,50,3,1
Total,50,4,1
,Governor - Democrat,1,2
,Tom Wolf,2,2
Tom Wolf,71,3,2
Total,71,4,2
,Governor - Democrat,1,3
,Tom Wolf,2,3
Tom Wolf,39,3,3
Total,39,4,3
,Governor - Democrat,1,4
,Tom Wolf,2,4
Tom Wolf,56,3,4
Total,56,4,4
,Governor - Democrat,1,5
,Tom Wolf,2,5
Tom Wolf,43,3,5
Total,43,4,5
,Governor - Democrat,1,6
,Tom Wolf,2,6
Tom Wolf,101,3,6
Total,101,4,6
,Governor - Democrat,1,7
,Tom Wolf,2,7
Tom Wolf,63,3,7
Total,63,4,7
,Governor - Democrat,1,8
,Tom Wolf,2,8
Tom Wolf,52,3,8
Total,52,4,8
,Governor - Democrat,1,9
,Tom Wolf,2,9
Tom Wolf,64,3,9
Total,64,4,9
,Governor - Democrat,1,10
,Tom Wolf,2,10
Tom Wolf,64,3,10
Total,64,4,10
,Governor - Democrat,1,11
,Tom Wolf,2,11
Tom Wolf,99,3,11
Total,99,4,11
,Governor - Democrat,1,12
,Tom Wolf,2,12
Tom Wolf,56,3,12
Total,56,4,12
,Governor - Democrat,1,13
,Tom Wolf,2,13
Tom Wolf,67,3,13
Total,67,4,13
,Governor - Democrat,1,14
,Tom Wolf,2,14
Tom Wolf,67,3,14
Total,67,4,14
,Governor - Democrat,1,15
,Tom Wolf,2,15
Tom Wolf,60,3,15
Total,60,4,15
,Governor - Democrat,1,16
,Tom Wolf,2,16
Tom Wolf,55,3,16
Total,55,4,16
,Governor - Democrat,1,17
,Tom Wolf,2,17
Tom Wolf,60,3,17
Total,60,4,17
,Governor - Democrat,1,18
,Tom Wolf,2,18
Tom Wolf,62,3,18
Total,62,4,18
,Governor - Democrat,1,19
,Tom Wolf,2,19
Tom Wolf,79,3,19
Total,79,4,19
