col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,All
,Bob Casey Jr,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,John Brady,Joe Khan,Nat Lownes,Jacque Whaumbush,All
Bob Casey Jr,391,"2,292","1,961","1,814","1,582","1,223","1,183","1,124",820,520,457,337,328,314,All
Kathryn S Huggins,,30,"1,656","1,623","1,433","1,068","1,050",998,701,476,357,260,279,262,All
Ken Washington,,,22,"1,569","1,402",938,937,869,672,315,315,219,266,179,All
Dewayne Drummond,,,,16,"1,351",930,906,849,639,308,285,211,243,172,All
Liam G Boyle,,,,,6,791,766,774,514,244,206,162,179,118,All
Lisa Rhodes,,,,,,5,"1,022",882,280,288,222,166,126,238,All
Linda Norris,,,,,,,6,858,254,261,220,144,115,204,All
Monica Maria Djerassi,,,,,,,,1,222,300,157,156,107,178,All
Kevin Bundy,,,,,,,,,11,229,256,157,206,124,All
Rebecca Poyourow,,,,,,,,,,0,145,115,137,152,All
John Brady,,,,,,,,,,,3,125,112,77,All
Joe Khan,,,,,,,,,,,,0,107,76,All
Nat Lownes,,,,,,,,,,,,,0,62,All
Jacque Whaumbush,,,,,,,,,,,,,,0,All
Total,"3,317","2,408","2,063","1,906","1,650","1,286","1,237","1,160",876,545,489,358,351,336,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1
,Bob Casey Jr,Kathryn S Huggins,Liam G Boyle,Dewayne Drummond,Ken Washington,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,Jacque Whaumbush,John Brady,Nat Lownes,Joe Khan,1
Bob Casey Jr,2,64,58,57,56,34,33,22,7,2,2,1,2,1,1
Kathryn S Huggins,,1,57,55,54,32,30,22,5,3,1,1,1,1,1
Liam G Boyle,,,0,57,55,32,30,22,6,2,2,1,1,0,1
Dewayne Drummond,,,,0,56,31,30,21,6,1,1,1,2,1,1
Ken Washington,,,,,0,29,28,20,5,1,1,1,2,1,1
