col_1,col_2,col_3,col_4,division
,Governor - Republican,,,All
,Scott R Wagner,Laura Ellsworth,Paul Mango,All
Scott R Wagner,17,0,0,All
Laura Ellsworth,,9,0,All
Paul Mango,,,5,All
Total,17,9,5,All
,Governor - Republican,,,1
,Scott R Wagner,Laura Ellsworth,Paul Mango,1
Scott R Wagner,2,0,0,1
Laura Ellsworth,,1,0,1
Paul Mango,,,0,1
Total,2,1,0,1
,Governor - Republican,,,2
,Laura Ellsworth,Scott R Wagner,Paul Mango,2
Laura Ellsworth,1,0,0,2
Scott R Wagner,,1,0,2
Paul Mango,,,0,2
Total,1,1,0,2
,Governor - Republican,,,4
,Scott R Wagner,Laura Ellsworth,Paul Mango,4
Scott R Wagner,1,0,0,4
Laura Ellsworth,,0,0,4
Paul Mango,,,0,4
Total,1,0,0,4
,Governor - Republican,,,5
,Paul Mango,Laura Ellsworth,Scott R Wagner,5
Paul Mango,1,0,0,5
Laura Ellsworth,,0,0,5
Scott R Wagner,,,0,5
Total,1,0,0,5
,Governor - Republican,,,10
,Scott R Wagner,Laura Ellsworth,Paul Mango,10
Scott R Wagner,5,0,0,10
Laura Ellsworth,,2,0,10
Paul Mango,,,2,10
Total,5,2,2,10
,Governor - Republican,,,11
,Laura Ellsworth,Paul Mango,Scott R Wagner,11
Laura Ellsworth,1,0,0,11
Paul Mango,,0,0,11
Scott R Wagner,,,0,11
Total,1,0,0,11
,Governor - Republican,,,16
,Scott R Wagner,Laura Ellsworth,Paul Mango,16
Scott R Wagner,2,0,0,16
Laura Ellsworth,,0,0,16
Paul Mango,,,0,16
Total,2,0,0,16
,Governor - Republican,,,17
,Paul Mango,Scott R Wagner,Laura Ellsworth,17
Paul Mango,1,0,0,17
Scott R Wagner,,1,0,17
Laura Ellsworth,,,0,17
Total,1,1,0,17
,Governor - Republican,,,20
,Scott R Wagner,Laura Ellsworth,Paul Mango,20
Scott R Wagner,2,0,0,20
Laura Ellsworth,,0,0,20
Paul Mango,,,0,20
Total,2,0,0,20
,Governor - Republican,,,24
,Scott R Wagner,Laura Ellsworth,Paul Mango,24
Scott R Wagner,2,0,0,24
Laura Ellsworth,,1,0,24
Paul Mango,,,0,24
Total,2,1,0,24
,Governor - Republican,,,25
,Laura Ellsworth,Scott R Wagner,Paul Mango,25
Laura Ellsworth,2,0,0,25
Scott R Wagner,,1,0,25
Paul Mango,,,0,25
Total,2,1,0,25
,Governor - Republican,,,26
,Laura Ellsworth,Paul Mango,Scott R Wagner,26
Laura Ellsworth,1,0,0,26
Paul Mango,,1,0,26
Scott R Wagner,,,0,26
Total,1,1,0,26
