col_1,col_2,col_3,col_4,order,division
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,All
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,All
Tom Wolf,60,217,180,3,All
Brendan F Boyle,,21,0,4,All
Michele Lawrence,,,20,5,All
Total,457,238,200,6,All
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,1
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,1
Tom Wolf,1,8,8,3,1
Brendan F Boyle,,2,0,4,1
Michele Lawrence,,,0,5,1
Total,17,10,8,6,1
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,2
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,2
Tom Wolf,5,4,5,3,2
Brendan F Boyle,,2,0,4,2
Michele Lawrence,,,0,5,2
Total,14,6,5,6,2
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,3
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,3
Tom Wolf,3,9,3,3,3
Brendan F Boyle,,2,0,4,3
Michele Lawrence,,,0,5,3
Total,15,11,3,6,3
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,4
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,4
Tom Wolf,4,9,8,3,4
Michele Lawrence,,2,0,4,4
Brendan F Boyle,,,1,5,4
Total,21,11,9,6,4
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,5
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,5
Tom Wolf,7,16,11,3,5
Michele Lawrence,,0,0,4,5
Brendan F Boyle,,,1,5,5
Total,34,16,12,6,5
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,6
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,6
Tom Wolf,3,9,4,3,6
Michele Lawrence,,3,0,4,6
Brendan F Boyle,,,1,5,6
Total,16,12,5,6,6
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,7
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,7
Tom Wolf,1,11,6,3,7
Brendan F Boyle,,2,0,4,7
Michele Lawrence,,,1,5,7
Total,18,13,7,6,7
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,8
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,8
Tom Wolf,2,17,10,3,8
Brendan F Boyle,,1,0,4,8
Michele Lawrence,,,1,5,8
Total,29,18,11,6,8
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,9
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,9
Tom Wolf,3,14,14,3,9
Michele Lawrence,,2,0,4,9
Brendan F Boyle,,,1,5,9
Total,31,16,15,6,9
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,10
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,10
Tom Wolf,4,12,8,3,10
Brendan F Boyle,,1,0,4,10
Michele Lawrence,,,2,5,10
Total,24,13,10,6,10
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,11
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,11
Tom Wolf,2,12,10,3,11
