col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,John Brady,Joe Khan,Nat Lownes,Jacque Whaumbush,2,All
Dwight Evans,370,0,"1,883","1,617","1,497","1,293",990,967,888,659,388,369,245,261,247,3,All
Kevin Johnson,,89,413,357,327,287,244,219,219,183,137,104,100,77,79,4,All
Kathryn S Huggins,,,22,"1,656","1,623","1,433","1,068","1,050",998,701,476,357,260,279,262,5,All
Ken Washington,,,,10,"1,569","1,402",938,937,869,672,315,315,219,266,179,6,All
Dewayne Drummond,,,,,7,"1,351",930,906,849,639,308,285,211,243,172,7,All
Liam G Boyle,,,,,,2,791,766,774,514,244,206,162,179,118,8,All
Lisa Rhodes,,,,,,,4,"1,022",882,280,288,222,166,126,238,9,All
Linda Norris,,,,,,,,3,858,254,261,220,144,115,204,10,All
Monica Maria Djerassi,,,,,,,,,0,222,300,157,156,107,178,11,All
Kevin Bundy,,,,,,,,,,6,229,256,157,206,124,12,All
Rebecca Poyourow,,,,,,,,,,,1,145,115,137,152,13,All
John Brady,,,,,,,,,,,,0,125,112,77,14,All
Joe Khan,,,,,,,,,,,,,0,107,76,15,All
Nat Lownes,,,,,,,,,,,,,,0,62,16,All
Jacque Whaumbush,,,,,,,,,,,,,,,0,17,All
Total,"2,798",655,"2,408","2,063","1,906","1,650","1,286","1,237","1,160",876,545,489,358,351,336,18,All
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Liam G Boyle,Dewayne Drummond,Ken Washington,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,Jacque Whaumbush,John Brady,Nat Lownes,Joe Khan,2,1
Dwight Evans,4,0,62,57,56,56,35,32,21,6,3,2,1,2,1,3,1
Kevin Johnson,,0,3,3,3,2,0,0,0,1,0,0,1,0,0,4,1
Kathryn S Huggins,,,1,57,55,54,32,30,22,5,3,1,1,1,1,5,1
Liam G Boyle,,,,0,57,55,32,30,22,6,2,2,1,1,0,6,1
Dewayne Drummond,,,,,0,56,31,30,21,6,1,1,1,2,1,7,1
Ken Washington,,,,,,0,29,28,20,5,1,1,1,2,1,8,1
Linda Norris,,,,,,,0,33,20,2,3,2,1,2,1,9,1
Lisa Rhodes,,,,,,,,0,20,2,2,2,0,2,1,10,1
Monica Maria Djerassi,,,,,,,,,0,0,1,1,0,0,0,11,1
Kevin Bundy,,,,,,,,,,0,0,0,0,1,0,12,1
Rebecca Poyourow,,,,,,,,,,,0,1,1,0,0,13,1
Jacque Whaumbush,,,,,,,,,,,,0,0,0,0,14,1
John Brady,,,,,,,,,,,,,0,0,0,15,1
Nat Lownes,,,,,,,,,,,,,,0,1,16,1
Joe Khan,,,,,,,,,,,,,,,0,17,1
Total,74,4,67,61,60,59,36,33,22,7,3,2,2,2,1,18,1
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Lisa Rhodes,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,2,2
Dwight Evans,26,0,83,70,59,52,46,49,49,33,22,20,15,15,13,3,2
Kevin Johnson,,2,20,17,14,13,16,11,11,4,5,4,6,4,4,4,2
Kathryn S Huggins,,,3,70,64,48,56,47,48,28,21,17,14,15,12,5,2
Ken Washington,,,,0,67,44,52,46,46,30,14,17,12,16,13,6,2
Dewayne Drummond,,,,,0,43,48,41,40,25,13,15,7,17,11,7,2
Lisa Rhodes,,,,,,1,34,50,39,20,17,12,15,11,6,8,2
Liam G Boyle,,,,,,,0,30,38,20,8,8,7,8,6,9,2
Linda Norris,,,,,,,,3,39,16,15,13,13,9,5,10,2
Monica Maria Djerassi,,,,,,,,,0,14,22,7,11,12,8,11,2
Kevin Bundy,,,,,,,,,,1,5,12,4,10,10,12,2
Rebecca Poyourow,,,,,,,,,,,0,6,8,4,6,13,2
John Brady,,,,,,,,,,,,0,3,5,8,14,2
Jacque Whaumbush,,,,,,,,,,,,,0,1,3,15,2
Joe Khan,,,,,,,,,,,,,,0,3,16,2
Nat Lownes,,,,,,,,,,,,,,,0,17,2
Total,143,28,109,91,77,68,66,65,62,39,27,25,21,20,18,18,2
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,3
