col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In The General Assembly 198th District - Democrat,,All
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,Kevin Bundy,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,John Brady,Rosita C Youngblood,Bernard A Williams,All
Kathryn S Huggins,5,381,381,375,325,317,299,204,141,88,76,78,74,414,210,All
Ken Washington,,4,353,337,223,224,212,179,68,63,49,41,45,320,132,All
Dewayne Drummond,,,1,330,230,221,215,171,58,60,52,42,44,304,126,All
Liam G Boyle,,,,1,227,220,203,157,75,51,41,44,44,285,127,All
Monica Maria Djerassi,,,,,5,296,268,108,120,66,81,66,46,295,102,All
Linda Norris,,,,,,0,281,105,96,69,55,76,45,262,100,All
Lisa Rhodes,,,,,,,0,89,96,50,53,75,44,259,75,All
Kevin Bundy,,,,,,,,5,67,83,53,41,50,143,132,All
Rebecca Poyourow,,,,,,,,,1,48,40,59,30,101,62,All
Nat Lownes,,,,,,,,,,0,31,20,28,56,63,All
Joe Khan,,,,,,,,,,,3,34,27,67,47,All
Jacque Whaumbush,,,,,,,,,,,,0,13,57,45,All
John Brady,,,,,,,,,,,,,3,54,38,All
Rosita C Youngblood,,,,,,,,,,,,,,62,0,All
Bernard A Williams,,,,,,,,,,,,,,,36,All
Total,649,470,443,429,418,375,350,290,168,124,123,106,100,615,321,All
