col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Member Of The Democratic State Committee 8th Senatorial District,,,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,All
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Kathryn S Huggins,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Dewayne Drummond,Linda Norris,Ken Washington,Liam G Boyle,Joe Khan,Kevin Bundy,Nat Lownes,Jacque Whaumbush,John Brady,All
Marisa Piccarreto,103,703,642,639,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Torri Douglas,,98,644,642,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Kyle Shenandoah,,,42,636,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Kyle J Sampson,,,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Kathryn S Huggins,,,,,11,69,62,66,57,56,45,39,30,34,32,22,16,All
Monica Maria Djerassi,,,,,,2,61,62,38,51,29,27,32,22,23,25,14,All
Lisa Rhodes,,,,,,,3,54,37,58,29,22,29,18,23,24,15,All
Rebecca Poyourow,,,,,,,,2,37,48,26,18,25,15,23,25,11,All
Dewayne Drummond,,,,,,,,,1,28,38,34,22,26,18,15,12,All
Linda Norris,,,,,,,,,,0,23,17,22,13,20,20,11,All
Ken Washington,,,,,,,,,,,4,32,13,29,15,11,7,All
Liam G Boyle,,,,,,,,,,,,2,13,26,11,5,9,All
Joe Khan,,,,,,,,,,,,,1,14,10,11,9,All
Kevin Bundy,,,,,,,,,,,,,,3,12,4,9,All
Nat Lownes,,,,,,,,,,,,,,,0,9,4,All
Jacque Whaumbush,,,,,,,,,,,,,,,,1,5,All
John Brady,,,,,,,,,,,,,,,,,1,All
Total,817,817,697,685,109,85,80,79,68,66,60,51,43,43,34,32,23,All
,Member Of The Democratic State Committee 8th Senatorial District,,,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,1
Marisa Piccarreto,13,43,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Torri Douglas,,7,41,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kyle Shenandoah,,,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kyle J Sampson,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dewayne Drummond,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
