col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Member Of The Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,All
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,All
Torri Douglas,10,408,381,387,190,184,122,52,1,All
Marisa Piccarreto,,8,390,383,181,149,112,55,2,All
Kyle Shenandoah,,,4,379,176,122,100,45,1,All
Kyle J Sampson,,,,6,157,129,95,46,1,All
Mike Stack,,,,,98,0,0,0,0,All
Kathi Cozzone,,,,,,15,0,0,0,All
Nina Ahmad,,,,,,,31,0,0,All
John Fetterman,,,,,,,,24,0,All
Ray Sosa,,,,,,,,,0,All
Total,569,518,457,444,382,244,181,92,3,All
,Member Of The Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,3
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,3
Torri Douglas,1,24,24,23,15,11,8,3,0,3
Kyle J Sampson,,2,23,23,16,7,5,2,0,3
Marisa Piccarreto,,,0,21,13,9,7,2,0,3
Kyle Shenandoah,,,,1,14,7,5,1,0,3
Mike Stack,,,,,13,0,0,0,0,3
Kathi Cozzone,,,,,,6,0,0,0,3
Nina Ahmad,,,,,,,4,0,0,3
John Fetterman,,,,,,,,2,0,3
Ray Sosa,,,,,,,,,0,3
Total,39,33,32,28,38,21,14,6,0,3
,Member Of The Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,4
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,4
Torri Douglas,0,28,28,28,16,15,8,3,0,4
Kyle Shenandoah,,1,29,28,15,11,7,4,0,4
Marisa Piccarreto,,,0,26,14,11,7,4,0,4
Kyle J Sampson,,,,1,11,11,7,3,0,4
Mike Stack,,,,,5,0,0,0,0,4
Nina Ahmad,,,,,,3,0,0,0,4
Kathi Cozzone,,,,,,,0,0,0,4
John Fetterman,,,,,,,,0,0,4
Ray Sosa,,,,,,,,,0,4
Total,42,38,36,33,28,21,13,4,0,4
,Member Of The Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,6
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,6
Torri Douglas,1,27,28,26,14,13,9,4,0,6
Kyle Shenandoah,,0,31,27,13,14,7,4,0,6
Marisa Piccarreto,,,1,27,14,11,9,4,0,6
Kyle J Sampson,,,,1,12,10,5,4,0,6
Kathi Cozzone,,,,,1,0,0,0,0,6
Mike Stack,,,,,,2,0,0,0,6
Nina Ahmad,,,,,,,1,0,0,6
John Fetterman,,,,,,,,1,0,6
Ray Sosa,,,,,,,,,0,6
Total,41,39,39,33,22,22,15,5,0,6
,Member Of The Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,7
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,7
Torri Douglas,3,34,34,32,13,19,8,4,1,7
Marisa Piccarreto,,0,34,33,14,19,7,3,1,7
Kyle J Sampson,,,1,33,10,14,8,4,0,7
Kyle Shenandoah,,,,0,14,11,8,2,1,7
Mike Stack,,,,,8,0,0,0,0,7
Kathi Cozzone,,,,,,2,0,0,0,7
Nina Ahmad,,,,,,,1,0,0,7
John Fetterman,,,,,,,,2,0,7
Ray Sosa,,,,,,,,,0,7
Total,51,48,40,39,30,28,10,7,1,7
,Member Of The Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,8
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,8
Torri Douglas,0,43,40,39,24,12,9,4,0,8
Marisa Piccarreto,,2,40,39,24,11,9,2,0,8
Kyle Shenandoah,,,0,39,25,9,9,3,0,8
Kyle J Sampson,,,,0,23,9,7,2,0,8
Mike Stack,,,,,12,0,0,0,0,8
Nina Ahmad,,,,,,6,0,0,0,8
Kathi Cozzone,,,,,,,0,0,0,8
John Fetterman,,,,,,,,4,0,8
Ray Sosa,,,,,,,,,0,8
