col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Lieutenant Governor - Democrat,,,,,1,All
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,All
Mike Stack,759,0,0,0,0,3,All
Kathi Cozzone,,309,0,0,0,4,All
Nina Ahmad,,,256,0,0,5,All
John Fetterman,,,,149,0,6,All
Ray Sosa,,,,,19,7,All
Total,759,309,256,149,19,8,All
,Lieutenant Governor - Democrat,,,,,1,1
,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,1
Mike Stack,25,0,0,0,0,3,1
Kathi Cozzone,,16,0,0,0,4,1
John Fetterman,,,12,0,0,5,1
Nina Ahmad,,,,7,0,6,1
Ray Sosa,,,,,0,7,1
Total,25,16,12,7,0,8,1
,Lieutenant Governor - Democrat,,,,,1,2
,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,2
Nina Ahmad,20,0,0,0,0,3,2
Mike Stack,,18,0,0,0,4,2
Kathi Cozzone,,,9,0,0,5,2
John Fetterman,,,,6,0,6,2
Ray Sosa,,,,,0,7,2
Total,20,18,9,6,0,8,2
,Lieutenant Governor - Democrat,,,,,1,3
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Mike Stack,25,0,0,0,0,3,3
Kathi Cozzone,,17,0,0,0,4,3
Nina Ahmad,,,6,0,0,5,3
John Fetterman,,,,3,0,6,3
Ray Sosa,,,,,3,7,3
Total,25,17,6,3,3,8,3
,Lieutenant Governor - Democrat,,,,,1,4
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Mike Stack,15,0,0,0,0,3,4
Kathi Cozzone,,7,0,0,0,4,4
Nina Ahmad,,,3,0,0,5,4
John Fetterman,,,,2,0,6,4
Ray Sosa,,,,,0,7,4
Total,15,7,3,2,0,8,4
,Lieutenant Governor - Democrat,,,,,1,5
,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,5
Mike Stack,52,0,0,0,0,3,5
John Fetterman,,18,0,0,0,4,5
Kathi Cozzone,,,18,0,0,5,5
Nina Ahmad,,,,13,0,6,5
Ray Sosa,,,,,2,7,5
Total,52,18,18,13,2,8,5
,Lieutenant Governor - Democrat,,,,,1,6
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,6
Mike Stack,29,0,0,0,0,3,6
Nina Ahmad,,13,0,0,0,4,6
Kathi Cozzone,,,7,0,0,5,6
John Fetterman,,,,3,0,6,6
Ray Sosa,,,,,1,7,6
Total,29,13,7,3,1,8,6
,Lieutenant Governor - Democrat,,,,,1,7
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,7
Mike Stack,42,0,0,0,0,3,7
John Fetterman,,11,0,0,0,4,7
Nina Ahmad,,,11,0,0,5,7
Kathi Cozzone,,,,4,0,6,7
Ray Sosa,,,,,1,7,7
Total,42,11,11,4,1,8,7
,Lieutenant Governor - Democrat,,,,,1,8
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,8
Mike Stack,33,0,0,0,0,3,8
Nina Ahmad,,14,0,0,0,4,8
Kathi Cozzone,,,11,0,0,5,8
John Fetterman,,,,6,0,6,8
Ray Sosa,,,,,0,7,8
Total,33,14,11,6,0,8,8
,Lieutenant Governor - Democrat,,,,,1,9
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,9
Mike Stack,31,0,0,0,0,3,9
Kathi Cozzone,,14,0,0,0,4,9
Nina Ahmad,,,13,0,0,5,9
John Fetterman,,,,5,0,6,9
Ray Sosa,,,,,0,7,9
Total,31,14,13,5,0,8,9
,Lieutenant Governor - Democrat,,,,,1,10
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,10
Mike Stack,31,0,0,0,0,3,10
Kathi Cozzone,,16,0,0,0,4,10
Nina Ahmad,,,16,0,0,5,10
John Fetterman,,,,8,0,6,10
Ray Sosa,,,,,1,7,10
Total,31,16,16,8,1,8,10
,Lieutenant Governor - Democrat,,,,,1,11
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,11
Mike Stack,34,0,0,0,0,3,11
Kathi Cozzone,,9,0,0,0,4,11
Nina Ahmad,,,8,0,0,5,11
John Fetterman,,,,0,0,6,11
Ray Sosa,,,,,0,7,11
Total,34,9,8,0,0,8,11
,Lieutenant Governor - Democrat,,,,,1,12
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,12
Mike Stack,21,0,0,0,0,3,12
Kathi Cozzone,,7,0,0,0,4,12
Nina Ahmad,,,6,0,0,5,12
John Fetterman,,,,4,0,6,12
Ray Sosa,,,,,3,7,12
Total,21,7,6,4,3,8,12
,Lieutenant Governor - Democrat,,,,,1,13
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,13
Mike Stack,35,0,0,0,0,3,13
Kathi Cozzone,,10,0,0,0,4,13
Nina Ahmad,,,8,0,0,5,13
John Fetterman,,,,7,0,6,13
Ray Sosa,,,,,1,7,13
Total,35,10,8,7,1,8,13
,Lieutenant Governor - Democrat,,,,,1,14
,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,14
Mike Stack,17,0,0,0,0,3,14
Kathi Cozzone,,12,0,0,0,4,14
John Fetterman,,,2,0,0,5,14
Nina Ahmad,,,,1,0,6,14
Ray Sosa,,,,,0,7,14
Total,17,12,2,1,0,8,14
,Lieutenant Governor - Democrat,,,,,1,15
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,15
Mike Stack,15,0,0,0,0,3,15
Kathi Cozzone,,11,0,0,0,4,15
Nina Ahmad,,,3,0,0,5,15
John Fetterman,,,,1,0,6,15
Ray Sosa,,,,,1,7,15
Total,15,11,3,1,1,8,15
,Lieutenant Governor - Democrat,,,,,1,16
