col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Lieutenant Governor - Democrat,,,,,1,All
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,All
Nina Ahmad,"1,511",0,0,0,0,3,All
John Fetterman,,598,0,0,0,4,All
Mike Stack,,,317,0,0,5,All
Kathi Cozzone,,,,220,0,6,All
Ray Sosa,,,,,26,7,All
Total,"1,511",598,317,220,26,8,All
,Lieutenant Governor - Democrat,,,,,1,1
,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,1
Nina Ahmad,103,0,0,0,0,3,1
Mike Stack,,40,0,0,0,4,1
Kathi Cozzone,,,36,0,0,5,1
John Fetterman,,,,35,0,6,1
Ray Sosa,,,,,9,7,1
Total,103,40,36,35,9,8,1
,Lieutenant Governor - Democrat,,,,,1,2
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,2
Nina Ahmad,71,0,0,0,0,3,2
John Fetterman,,28,0,0,0,4,2
Mike Stack,,,25,0,0,5,2
Kathi Cozzone,,,,16,0,6,2
Ray Sosa,,,,,0,7,2
Total,71,28,25,16,0,8,2
,Lieutenant Governor - Democrat,,,,,1,3
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,3
Nina Ahmad,58,0,0,0,0,3,3
John Fetterman,,47,0,0,0,4,3
Mike Stack,,,8,0,0,5,3
Kathi Cozzone,,,,6,0,6,3
Ray Sosa,,,,,2,7,3
Total,58,47,8,6,2,8,3
,Lieutenant Governor - Democrat,,,,,1,4
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,4
Nina Ahmad,40,0,0,0,0,3,4
John Fetterman,,18,0,0,0,4,4
Mike Stack,,,11,0,0,5,4
Kathi Cozzone,,,,6,0,6,4
Ray Sosa,,,,,0,7,4
Total,40,18,11,6,0,8,4
,Lieutenant Governor - Democrat,,,,,1,5
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,5
Nina Ahmad,57,0,0,0,0,3,5
John Fetterman,,23,0,0,0,4,5
Mike Stack,,,19,0,0,5,5
Kathi Cozzone,,,,8,0,6,5
Ray Sosa,,,,,2,7,5
Total,57,23,19,8,2,8,5
,Lieutenant Governor - Democrat,,,,,1,6
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,6
Nina Ahmad,98,0,0,0,0,3,6
John Fetterman,,44,0,0,0,4,6
Mike Stack,,,25,0,0,5,6
Kathi Cozzone,,,,16,0,6,6
Ray Sosa,,,,,2,7,6
Total,98,44,25,16,2,8,6
,Lieutenant Governor - Democrat,,,,,1,7
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,7
Nina Ahmad,172,0,0,0,0,3,7
John Fetterman,,50,0,0,0,4,7
Mike Stack,,,19,0,0,5,7
Kathi Cozzone,,,,16,0,6,7
Ray Sosa,,,,,2,7,7
Total,172,50,19,16,2,8,7
,Lieutenant Governor - Democrat,,,,,1,8
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,8
Nina Ahmad,161,0,0,0,0,3,8
John Fetterman,,28,0,0,0,4,8
Mike Stack,,,15,0,0,5,8
Kathi Cozzone,,,,8,0,6,8
Ray Sosa,,,,,0,7,8
Total,161,28,15,8,0,8,8
,Lieutenant Governor - Democrat,,,,,1,9
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,9
Nina Ahmad,130,0,0,0,0,3,9
John Fetterman,,36,0,0,0,4,9
Mike Stack,,,18,0,0,5,9
Kathi Cozzone,,,,11,0,6,9
Ray Sosa,,,,,4,7,9
Total,130,36,18,11,4,8,9
,Lieutenant Governor - Democrat,,,,,1,10
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,10
Nina Ahmad,51,0,0,0,0,3,10
John Fetterman,,38,0,0,0,4,10
Mike Stack,,,16,0,0,5,10
Kathi Cozzone,,,,6,0,6,10
Ray Sosa,,,,,0,7,10
Total,51,38,16,6,0,8,10
,Lieutenant Governor - Democrat,,,,,1,11
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,11
Nina Ahmad,54,0,0,0,0,3,11
John Fetterman,,36,0,0,0,4,11
Mike Stack,,,13,0,0,5,11
Kathi Cozzone,,,,8,0,6,11
