col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,All
,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,Mary Ann Quartullo,John Dellricci,Kathy Enggasser,Patrick Parkinson,James G Donnelly Sr,2,All
Meagan Ingerson,54,228,232,200,226,202,188,161,125,0,0,0,0,0,3,All
James Harrity,,59,194,230,205,185,214,156,145,0,0,0,0,0,4,All
Mona Getzes Cohen,,,36,170,195,162,153,124,109,0,0,0,0,0,5,All
Richard Lombardo,,,,13,217,191,210,156,158,0,0,0,0,0,6,All
Erica Vanstone,,,,,7,211,197,174,146,0,0,0,0,0,7,All
Catherine Bartch,,,,,,3,173,169,139,0,0,0,0,0,8,All
Frank T Brzozowski,,,,,,,11,144,141,0,0,0,0,0,9,All
Marnie Aument Loughrey,,,,,,,,4,115,0,0,0,0,0,10,All
Billy Cortes,,,,,,,,,1,0,0,0,0,0,11,All
Mary Ann Quartullo,,,,,,,,,,4,56,55,54,46,12,All
John Dellricci,,,,,,,,,,,8,51,50,44,13,All
Kathy Enggasser,,,,,,,,,,,,6,49,44,14,All
Patrick Parkinson,,,,,,,,,,,,,3,41,15,All
James G Donnelly Sr,,,,,,,,,,,,,,6,16,All
Total,381,375,311,308,305,283,281,232,198,69,67,64,59,55,17,All
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,1
,Meagan Ingerson,James Harrity,Frank T Brzozowski,Catherine Bartch,Richard Lombardo,Erica Vanstone,Mona Getzes Cohen,Marnie Aument Loughrey,Billy Cortes,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,1
Meagan Ingerson,6,21,17,21,15,20,21,17,9,0,0,0,0,0,3,1
James Harrity,,2,22,22,20,21,19,19,16,0,0,0,0,0,4,1
Frank T Brzozowski,,,2,22,23,23,16,18,17,0,0,0,0,0,5,1
Catherine Bartch,,,,0,21,24,17,20,15,0,0,0,0,0,6,1
Richard Lombardo,,,,,2,21,13,18,16,0,0,0,0,0,7,1
Erica Vanstone,,,,,,0,15,21,15,0,0,0,0,0,8,1
Mona Getzes Cohen,,,,,,,3,15,10,0,0,0,0,0,9,1
Marnie Aument Loughrey,,,,,,,,0,15,0,0,0,0,0,10,1
Billy Cortes,,,,,,,,,0,0,0,0,0,0,11,1
James G Donnelly Sr,,,,,,,,,,0,0,0,0,0,12,1
John Dellricci,,,,,,,,,,,0,0,0,0,13,1
Kathy Enggasser,,,,,,,,,,,,0,0,0,14,1
Mary Ann Quartullo,,,,,,,,,,,,,0,0,15,1
Patrick Parkinson,,,,,,,,,,,,,,0,16,1
