col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Representative In The General Assembly 184th District - Democrat,,,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,All
,Elizabeth Fiedler,Jonathan Rowan,Tom Wyatt,Nicholas Didonato Jr,Amanda Mcillmurray,Rhea Powell,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Noam Kugelmass,Micah Mahjoubian,Judi Golding Baker,Tom Young,Joe Celentano,Matthew D Myers,Darrell L Clarke,Jon Geeting,All
Elizabeth Fiedler,33,0,0,0,91,86,72,65,56,50,46,49,45,39,30,30,33,All
Jonathan Rowan,,4,0,0,4,2,5,6,6,4,6,2,6,5,4,4,3,All
Tom Wyatt,,,1,0,2,3,1,3,0,1,1,2,2,2,2,2,1,All
Nicholas Didonato Jr,,,,1,1,1,3,3,3,2,3,2,2,2,4,2,2,All
Amanda Mcillmurray,,,,,0,67,66,62,52,43,41,49,42,34,26,24,32,All
Rhea Powell,,,,,,0,58,50,45,40,40,46,35,28,24,24,26,All
Marylouise Isaacson,,,,,,,0,53,49,36,39,45,36,21,32,27,25,All
Andi Perez,,,,,,,,0,47,35,41,37,35,27,25,26,25,All
Mariel J K Martin,,,,,,,,,0,31,33,36,28,20,23,21,17,All
Noam Kugelmass,,,,,,,,,,0,30,25,36,25,20,13,23,All
Micah Mahjoubian,,,,,,,,,,,0,23,33,23,17,20,19,All
Judi Golding Baker,,,,,,,,,,,,0,22,14,22,18,15,All
Tom Young,,,,,,,,,,,,,0,27,20,16,22,All
Joe Celentano,,,,,,,,,,,,,,0,10,7,21,All
Matthew D Myers,,,,,,,,,,,,,,,0,20,12,All
Darrell L Clarke,,,,,,,,,,,,,,,,1,10,All
Jon Geeting,,,,,,,,,,,,,,,,,0,All
Total,164,14,6,5,98,92,81,77,65,57,56,55,55,48,40,39,39,All
,Representative In The General Assembly 184th District - Democrat,,,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,14
,Elizabeth Fiedler,Jonathan Rowan,Nicholas Didonato Jr,Tom Wyatt,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Micah Mahjoubian,Judi Golding Baker,Tom Young,Noam Kugelmass,Joe Celentano,Darrell L Clarke,Matthew D Myers,Jon Geeting,14
Elizabeth Fiedler,11,0,0,0,37,35,30,27,24,21,24,21,18,17,15,10,11,14
Jonathan Rowan,,2,0,0,0,2,3,4,4,4,1,4,2,2,3,3,0,14
Nicholas Didonato Jr,,,0,0,1,1,3,3,3,3,2,2,2,2,2,4,2,14
Tom Wyatt,,,,0,2,1,1,1,0,1,1,1,1,1,1,1,0,14
Rhea Powell,,,,,0,31,26,24,20,19,24,16,15,14,12,9,9,14
Amanda Mcillmurray,,,,,,0,29,27,23,20,26,18,16,16,13,10,10,14
Marylouise Isaacson,,,,,,,0,27,25,21,23,19,13,9,16,14,8,14
Andi Perez,,,,,,,,0,25,20,21,18,11,14,16,13,8,14
Mariel J K Martin,,,,,,,,,0,18,19,14,11,11,11,10,5,14
Micah Mahjoubian,,,,,,,,,,0,14,18,12,11,13,10,7,14
Judi Golding Baker,,,,,,,,,,,0,10,11,10,10,10,5,14
Tom Young,,,,,,,,,,,,0,16,13,13,12,9,14
Noam Kugelmass,,,,,,,,,,,,,0,12,4,5,9,14
Joe Celentano,,,,,,,,,,,,,,0,4,4,8,14
Darrell L Clarke,,,,,,,,,,,,,,,0,12,3,14
Matthew D Myers,,,,,,,,,,,,,,,,0,2,14
Jon Geeting,,,,,,,,,,,,,,,,,0,14
Total,61,8,4,2,40,39,37,35,31,29,28,28,23,22,21,18,13,14
,Representative In The General Assembly 184th District - Democrat,,,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,20
,Elizabeth Fiedler,Jonathan Rowan,Tom Wyatt,Nicholas Didonato Jr,Amanda Mcillmurray,Rhea Powell,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Noam Kugelmass,Judi Golding Baker,Micah Mahjoubian,Tom Young,Joe Celentano,Jon Geeting,Matthew D Myers,Darrell L Clarke,20
Elizabeth Fiedler,22,0,0,0,56,49,42,38,32,32,25,25,24,22,22,20,15,20
Jonathan Rowan,,2,0,0,2,2,2,2,2,2,1,2,2,3,3,1,1,20
Tom Wyatt,,,1,0,1,1,0,2,0,0,1,0,1,1,1,1,1,20
Nicholas Didonato Jr,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Amanda Mcillmurray,,,,,0,36,37,35,29,27,23,21,24,18,22,16,11,20
Rhea Powell,,,,,,0,32,26,25,25,22,21,19,14,17,15,12,20
Marylouise Isaacson,,,,,,,0,26,24,23,22,18,17,12,17,18,11,20
Andi Perez,,,,,,,,0,22,24,16,21,17,13,17,12,10,20
Mariel J K Martin,,,,,,,,,0,20,17,15,14,9,12,13,10,20
Noam Kugelmass,,,,,,,,,,0,14,18,20,13,14,15,9,20
Judi Golding Baker,,,,,,,,,,,0,9,12,4,10,12,8,20
Micah Mahjoubian,,,,,,,,,,,,0,15,12,12,7,7,20
Tom Young,,,,,,,,,,,,,0,14,13,8,3,20
Joe Celentano,,,,,,,,,,,,,,0,13,6,3,20
Jon Geeting,,,,,,,,,,,,,,,0,10,7,20
Matthew D Myers,,,,,,,,,,,,,,,,0,8,20
Darrell L Clarke,,,,,,,,,,,,,,,,,1,20
Total,103,6,4,1,59,52,44,42,34,34,27,27,27,26,26,22,18,20
