col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,All
,Maria Digiorgio Mccolgan,Michael A Cibik,Christopher M Vogler,Theresa A Dintino,Scott R Wagner,Paul Mango,Laura Ellsworth,2,All
Maria Digiorgio Mccolgan,0,29,30,30,20,15,8,3,All
Michael A Cibik,,0,29,28,20,8,9,4,All
Christopher M Vogler,,,0,27,17,10,9,5,All
Theresa A Dintino,,,,0,13,10,11,6,All
Scott R Wagner,,,,,5,0,0,7,All
Paul Mango,,,,,,4,0,8,All
Laura Ellsworth,,,,,,,2,9,All
Total,43,37,36,34,32,21,16,10,All
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,1
,Michael A Cibik,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Scott R Wagner,Laura Ellsworth,Paul Mango,2,1
Michael A Cibik,0,2,2,2,3,2,1,3,1
Christopher M Vogler,,0,2,2,0,1,1,4,1
Maria Digiorgio Mccolgan,,,0,2,0,1,1,5,1
Theresa A Dintino,,,,0,0,1,1,6,1
Scott R Wagner,,,,,0,0,0,7,1
Laura Ellsworth,,,,,,0,0,8,1
Paul Mango,,,,,,,0,9,1
Total,6,2,2,2,3,2,1,10,1
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,2
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Paul Mango,Scott R Wagner,Laura Ellsworth,2,2
Christopher M Vogler,0,2,2,2,1,2,0,3,2
Maria Digiorgio Mccolgan,,0,2,2,1,2,0,4,2
Michael A Cibik,,,0,2,0,2,0,5,2
Theresa A Dintino,,,,0,0,2,0,6,2
Paul Mango,,,,,1,0,0,7,2
Scott R Wagner,,,,,,0,0,8,2
Laura Ellsworth,,,,,,,0,9,2
Total,3,3,2,2,3,2,0,10,2
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,3
,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Christopher M Vogler,Paul Mango,Laura Ellsworth,Scott R Wagner,2,3
Maria Digiorgio Mccolgan,0,1,1,0,2,0,0,3,3
Michael A Cibik,,0,1,0,1,0,0,4,3
Theresa A Dintino,,,0,0,1,0,0,5,3
Christopher M Vogler,,,,0,0,0,0,6,3
Paul Mango,,,,,0,0,0,7,3
Laura Ellsworth,,,,,,1,0,8,3
Scott R Wagner,,,,,,,1,9,3
Total,2,1,1,0,2,1,1,10,3
,Governor - Republican,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,4
,Laura Ellsworth,Scott R Wagner,Paul Mango,Theresa A Dintino,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,2,4
Laura Ellsworth,1,0,0,2,1,0,0,3,4
Scott R Wagner,,0,0,1,1,1,1,4,4
Paul Mango,,,0,0,0,0,0,5,4
Theresa A Dintino,,,,0,2,1,1,6,4
Maria Digiorgio Mccolgan,,,,,0,1,1,7,4
Christopher M Vogler,,,,,,0,1,8,4
Michael A Cibik,,,,,,,0,9,4
Total,3,1,0,3,2,1,1,10,4
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,6
,Theresa A Dintino,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Laura Ellsworth,Scott R Wagner,Paul Mango,2,6
Theresa A Dintino,0,2,2,2,2,1,0,3,6
Christopher M Vogler,,0,2,2,1,1,0,4,6
Maria Digiorgio Mccolgan,,,0,2,1,1,0,5,6
Michael A Cibik,,,,0,1,1,0,6,6
Laura Ellsworth,,,,,0,0,0,7,6
Scott R Wagner,,,,,,0,0,8,6
Paul Mango,,,,,,,0,9,6
Total,3,2,2,2,2,1,0,10,6
,Governor - Republican,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,7
,Scott R Wagner,Laura Ellsworth,Paul Mango,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,7
Scott R Wagner,1,0,0,0,0,0,0,3,7
Laura Ellsworth,,0,0,0,0,0,0,4,7
Paul Mango,,,0,0,0,0,0,5,7
Christopher M Vogler,,,,0,0,0,0,6,7
Maria Digiorgio Mccolgan,,,,,0,0,0,7,7
Michael A Cibik,,,,,,0,0,8,7
Theresa A Dintino,,,,,,,0,9,7
Total,1,0,0,0,0,0,0,10,7
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,8
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Scott R Wagner,Laura Ellsworth,Paul Mango,2,8
Christopher M Vogler,0,2,2,2,2,0,0,3,8
Maria Digiorgio Mccolgan,,0,2,2,2,0,0,4,8
Michael A Cibik,,,0,2,2,0,0,5,8
Theresa A Dintino,,,,0,2,0,0,6,8
Scott R Wagner,,,,,0,0,0,7,8
Laura Ellsworth,,,,,,0,0,8,8
Paul Mango,,,,,,,0,9,8
Total,2,2,2,2,2,0,0,10,8
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,9
,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Michael A Cibik,Paul Mango,Laura Ellsworth,Scott R Wagner,2,9
Maria Digiorgio Mccolgan,0,4,3,2,3,2,1,3,9
Theresa A Dintino,,0,2,2,2,2,1,4,9
Christopher M Vogler,,,0,2,1,1,1,5,9
Michael A Cibik,,,,0,0,1,1,6,9
Paul Mango,,,,,0,0,0,7,9
Laura Ellsworth,,,,,,0,0,8,9
Scott R Wagner,,,,,,,0,9,9
Total,6,5,3,2,4,2,1,10,9
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,10
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Paul Mango,Scott R Wagner,Laura Ellsworth,2,10
Christopher M Vogler,0,3,3,3,2,1,0,3,10
Maria Digiorgio Mccolgan,,0,3,3,2,1,0,4,10
Michael A Cibik,,,0,3,2,1,0,5,10
Theresa A Dintino,,,,0,2,1,0,6,10
Paul Mango,,,,,1,0,0,7,10
Scott R Wagner,,,,,,0,0,8,10
Laura Ellsworth,,,,,,,0,9,10
Total,3,3,3,3,3,1,0,10,10
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,11
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Laura Ellsworth,Scott R Wagner,Paul Mango,2,11
Christopher M Vogler,0,1,1,1,1,1,0,3,11
Maria Digiorgio Mccolgan,,0,1,1,1,0,0,4,11
Michael A Cibik,,,0,1,1,0,0,5,11
Theresa A Dintino,,,,0,1,0,0,6,11
Laura Ellsworth,,,,,0,0,0,7,11
Scott R Wagner,,,,,,0,0,8,11
Paul Mango,,,,,,,0,9,11
Total,2,1,1,1,1,1,0,10,11
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,12
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Laura Ellsworth,Paul Mango,Scott R Wagner,2,12
Maria Digiorgio Mccolgan,0,3,2,2,2,1,1,3,12
Christopher M Vogler,,0,2,2,2,1,0,4,12
Michael A Cibik,,,0,2,2,0,0,5,12
Theresa A Dintino,,,,0,2,0,0,6,12
Laura Ellsworth,,,,,0,0,0,7,12
Paul Mango,,,,,,0,0,8,12
Scott R Wagner,,,,,,,0,9,12
Total,4,3,2,2,2,1,1,10,12
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,13
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Scott R Wagner,Laura Ellsworth,Paul Mango,2,13
Christopher M Vogler,0,2,2,2,2,1,0,3,13
Maria Digiorgio Mccolgan,,0,2,2,2,0,0,4,13
Michael A Cibik,,,0,2,2,0,0,5,13
Theresa A Dintino,,,,0,2,0,0,6,13
Scott R Wagner,,,,,0,0,0,7,13
Laura Ellsworth,,,,,,0,0,8,13
Paul Mango,,,,,,,0,9,13
Total,3,2,2,2,2,1,0,10,13
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,14
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Scott R Wagner,Laura Ellsworth,Paul Mango,2,14
Christopher M Vogler,0,3,3,3,3,1,0,3,14
Maria Digiorgio Mccolgan,,0,2,2,3,0,0,4,14
Michael A Cibik,,,0,3,2,1,0,5,14
Theresa A Dintino,,,,0,2,1,0,6,14
Scott R Wagner,,,,,0,0,0,7,14
Laura Ellsworth,,,,,,0,0,8,14
Paul Mango,,,,,,,1,9,14
Total,4,3,3,3,3,1,1,10,14
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,15
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Paul Mango,Scott R Wagner,Laura Ellsworth,2,15
Maria Digiorgio Mccolgan,0,0,0,0,1,1,0,3,15
Christopher M Vogler,,0,0,0,0,0,0,4,15
Michael A Cibik,,,0,0,0,0,0,5,15
Theresa A Dintino,,,,0,0,0,0,6,15
Paul Mango,,,,,0,0,0,7,15
Scott R Wagner,,,,,,0,0,8,15
Laura Ellsworth,,,,,,,0,9,15
Total,2,0,0,0,1,1,0,10,15
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,16
,Maria Digiorgio Mccolgan,Michael A Cibik,Christopher M Vogler,Theresa A Dintino,Scott R Wagner,Paul Mango,Laura Ellsworth,2,16
Maria Digiorgio Mccolgan,0,1,1,1,2,1,0,3,16
Michael A Cibik,,0,1,1,1,1,0,4,16
Christopher M Vogler,,,0,1,0,1,0,5,16
Theresa A Dintino,,,,0,0,1,0,6,16
Scott R Wagner,,,,,0,0,0,7,16
Paul Mango,,,,,,0,0,8,16
Laura Ellsworth,,,,,,,0,9,16
Total,3,2,1,1,3,1,0,10,16
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,18
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Paul Mango,Laura Ellsworth,Scott R Wagner,2,18
Christopher M Vogler,0,1,1,1,1,0,0,3,18
Maria Digiorgio Mccolgan,,0,1,1,1,0,0,4,18
Michael A Cibik,,,0,1,1,0,0,5,18
Theresa A Dintino,,,,0,1,0,0,6,18
Paul Mango,,,,,0,0,0,7,18
Laura Ellsworth,,,,,,0,0,8,18
Scott R Wagner,,,,,,,0,9,18
Total,1,1,1,1,1,0,0,10,18
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,19
,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,Laura Ellsworth,Paul Mango,Scott R Wagner,2,19
Christopher M Vogler,0,1,0,0,1,0,0,3,19
Michael A Cibik,,0,0,0,1,0,0,4,19
Maria Digiorgio Mccolgan,,,0,0,0,0,0,5,19
Theresa A Dintino,,,,0,0,0,0,6,19
Laura Ellsworth,,,,,0,0,0,7,19
Paul Mango,,,,,,0,0,8,19
Scott R Wagner,,,,,,,0,9,19
Total,1,1,0,0,1,0,0,10,19
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,20
,Maria Digiorgio Mccolgan,Michael A Cibik,Christopher M Vogler,Theresa A Dintino,Scott R Wagner,Laura Ellsworth,Paul Mango,2,20
Maria Digiorgio Mccolgan,0,2,1,1,2,0,0,3,20
Michael A Cibik,,0,1,1,2,0,0,4,20
Christopher M Vogler,,,0,1,1,0,0,5,20
Theresa A Dintino,,,,0,1,0,0,6,20
Scott R Wagner,,,,,0,0,0,7,20
Laura Ellsworth,,,,,,0,0,8,20
Paul Mango,,,,,,,0,9,20
Total,2,2,1,1,2,0,0,10,20
,Governor - Republican,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,21
,Scott R Wagner,Laura Ellsworth,Paul Mango,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,21
Scott R Wagner,1,0,0,0,0,0,0,3,21
Laura Ellsworth,,0,0,0,0,0,0,4,21
Paul Mango,,,0,0,0,0,0,5,21
Christopher M Vogler,,,,0,0,0,0,6,21
Maria Digiorgio Mccolgan,,,,,0,0,0,7,21
Michael A Cibik,,,,,,0,0,8,21
Theresa A Dintino,,,,,,,0,9,21
Total,1,0,0,0,0,0,0,10,21
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,22
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Scott R Wagner,Laura Ellsworth,Paul Mango,2,22
Christopher M Vogler,0,0,0,0,1,0,0,3,22
Maria Digiorgio Mccolgan,,0,0,0,0,0,0,4,22
Michael A Cibik,,,0,0,0,0,0,5,22
Theresa A Dintino,,,,0,0,0,0,6,22
Scott R Wagner,,,,,0,0,0,7,22
Laura Ellsworth,,,,,,0,0,8,22
Paul Mango,,,,,,,0,9,22
Total,1,0,0,0,1,0,0,10,22
,Governor - Republican,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,23
,Scott R Wagner,Paul Mango,Laura Ellsworth,Michael A Cibik,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,2,23
Scott R Wagner,2,0,0,2,1,1,0,3,23
Paul Mango,,1,0,1,1,1,1,4,23
Laura Ellsworth,,,0,0,0,0,0,5,23
Michael A Cibik,,,,0,2,2,1,6,23
Christopher M Vogler,,,,,0,2,1,7,23
Maria Digiorgio Mccolgan,,,,,,0,1,8,23
Theresa A Dintino,,,,,,,0,9,23
Total,4,2,0,3,2,2,1,10,23
,Member Of The - Republican State Committee 1st Congressional District,,,,Governor - Republican,,,1,24
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Paul Mango,Laura Ellsworth,Scott R Wagner,2,24
Christopher M Vogler,0,1,1,1,1,0,0,3,24
Maria Digiorgio Mccolgan,,0,1,1,1,0,0,4,24
Michael A Cibik,,,0,1,1,0,0,5,24
Theresa A Dintino,,,,0,1,0,0,6,24
Paul Mango,,,,,0,0,0,7,24
Laura Ellsworth,,,,,,0,0,8,24
Scott R Wagner,,,,,,,0,9,24
Total,1,1,1,1,1,0,0,10,24
