col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,All
,Denise Furey,Walt Vogler,Calvin R Tucker,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,All
Denise Furey,1,51,49,32,17,11,5,3,All
Walt Vogler,,0,51,32,18,8,4,4,All
Calvin R Tucker,,,1,26,17,10,4,5,All
Kathy Coder,,,,0,0,0,0,6,All
Jeff Bartos,,,,,5,0,0,7,All
Diana Irey Vaughan,,,,,,1,0,8,All
Peg Luksik,,,,,,,2,9,All
Total,70,66,60,42,26,19,8,10,All
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,2
,Denise Furey,Calvin R Tucker,Walt Vogler,Peg Luksik,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,2,2
Denise Furey,0,0,0,1,0,0,0,3,2
Calvin R Tucker,,0,0,0,0,0,0,4,2
Walt Vogler,,,0,0,0,0,0,5,2
Peg Luksik,,,,0,0,0,0,6,2
Diana Irey Vaughan,,,,,0,0,0,7,2
Jeff Bartos,,,,,,0,0,8,2
Kathy Coder,,,,,,,0,9,2
Total,1,0,0,1,0,0,0,10,2
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,9
,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,Calvin R Tucker,Denise Furey,Walt Vogler,2,9
Diana Irey Vaughan,0,0,0,0,2,1,1,3,9
Kathy Coder,,0,0,0,1,1,1,4,9
Jeff Bartos,,,0,0,0,0,0,5,9
Peg Luksik,,,,0,0,0,0,6,9
Calvin R Tucker,,,,,0,1,1,7,9
Denise Furey,,,,,,0,1,8,9
Walt Vogler,,,,,,,0,9,9
Total,4,1,0,0,3,2,2,10,9
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,10
,Calvin R Tucker,Denise Furey,Walt Vogler,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,10
Calvin R Tucker,0,1,1,1,0,0,0,3,10
Denise Furey,,0,1,1,0,0,0,4,10
Walt Vogler,,,0,1,0,0,0,5,10
Jeff Bartos,,,,0,0,0,0,6,10
Diana Irey Vaughan,,,,,0,0,0,7,10
Kathy Coder,,,,,,0,0,8,10
Peg Luksik,,,,,,,0,9,10
Total,1,1,1,1,0,0,0,10,10
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,11
,Denise Furey,Walt Vogler,Calvin R Tucker,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,11
Denise Furey,0,5,4,3,1,1,1,3,11
Walt Vogler,,0,4,3,1,0,1,4,11
Calvin R Tucker,,,0,1,1,1,1,5,11
Kathy Coder,,,,0,0,0,0,6,11
Jeff Bartos,,,,,2,0,0,7,11
Diana Irey Vaughan,,,,,,0,0,8,11
Peg Luksik,,,,,,,0,9,11
Total,7,6,5,4,3,2,1,10,11
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,12
,Calvin R Tucker,Walt Vogler,Denise Furey,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,12
Calvin R Tucker,0,7,7,5,3,0,0,3,12
Walt Vogler,,0,7,5,3,0,0,4,12
Denise Furey,,,0,4,3,0,0,5,12
Kathy Coder,,,,0,0,0,0,6,12
Jeff Bartos,,,,,0,0,0,7,12
Diana Irey Vaughan,,,,,,0,0,8,12
Peg Luksik,,,,,,,0,9,12
Total,8,8,7,6,3,0,0,10,12
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,13
,Denise Furey,Calvin R Tucker,Walt Vogler,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,13
Denise Furey,1,9,9,9,3,1,0,3,13
Calvin R Tucker,,1,10,7,3,1,0,4,13
Walt Vogler,,,0,9,2,1,0,5,13
Kathy Coder,,,,0,0,0,0,6,13
Jeff Bartos,,,,,0,0,0,7,13
Diana Irey Vaughan,,,,,,0,0,8,13
Peg Luksik,,,,,,,0,9,13
Total,14,12,12,11,4,2,0,10,13
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,14
,Walt Vogler,Denise Furey,Calvin R Tucker,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,14
Walt Vogler,0,7,6,2,3,2,0,3,14
Denise Furey,,0,6,2,2,2,0,4,14
Calvin R Tucker,,,0,2,2,2,0,5,14
Diana Irey Vaughan,,,,1,0,0,0,6,14
Jeff Bartos,,,,,0,0,0,7,14
Kathy Coder,,,,,,0,0,8,14
Peg Luksik,,,,,,,0,9,14
Total,8,7,6,3,3,2,0,10,14
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,15
,Calvin R Tucker,Denise Furey,Walt Vogler,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,15
Calvin R Tucker,0,4,5,3,2,0,0,3,15
Denise Furey,,0,4,3,1,1,0,4,15
Walt Vogler,,,0,3,2,0,0,5,15
Kathy Coder,,,,0,0,0,0,6,15
Jeff Bartos,,,,,0,0,0,7,15
Diana Irey Vaughan,,,,,,0,0,8,15
Peg Luksik,,,,,,,1,9,15
Total,5,5,5,3,2,1,1,10,15
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,16
,Denise Furey,Calvin R Tucker,Walt Vogler,Kathy Coder,Jeff Bartos,Peg Luksik,Diana Irey Vaughan,2,16
Denise Furey,0,3,2,3,1,1,0,3,16
Calvin R Tucker,,0,3,2,1,1,0,4,16
Walt Vogler,,,0,3,1,0,0,5,16
Kathy Coder,,,,0,0,0,0,6,16
Jeff Bartos,,,,,1,0,0,7,16
Peg Luksik,,,,,,0,0,8,16
Diana Irey Vaughan,,,,,,,0,9,16
Total,5,4,4,5,2,1,0,10,16
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,17
,Denise Furey,Calvin R Tucker,Walt Vogler,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,17
Denise Furey,0,0,0,1,0,0,0,3,17
Calvin R Tucker,,0,0,0,0,0,0,4,17
Walt Vogler,,,0,0,0,0,0,5,17
Kathy Coder,,,,0,0,0,0,6,17
Diana Irey Vaughan,,,,,0,0,0,7,17
Jeff Bartos,,,,,,0,0,8,17
Peg Luksik,,,,,,,0,9,17
Total,1,0,0,1,0,0,0,10,17
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,18
,Denise Furey,Walt Vogler,Calvin R Tucker,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,18
Denise Furey,0,8,8,4,4,3,1,3,18
Walt Vogler,,0,8,3,4,3,1,4,18
Calvin R Tucker,,,0,2,3,3,1,5,18
Diana Irey Vaughan,,,,0,0,0,0,6,18
Jeff Bartos,,,,,0,0,0,7,18
Kathy Coder,,,,,,0,0,8,18
Peg Luksik,,,,,,,1,9,18
Total,12,11,9,5,5,5,2,10,18
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,19
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Walt Vogler,Calvin R Tucker,Denise Furey,2,19
Kathy Coder,0,0,0,0,1,0,0,3,19
Diana Irey Vaughan,,0,0,0,0,0,0,4,19
Jeff Bartos,,,0,0,0,0,0,5,19
Peg Luksik,,,,0,0,0,0,6,19
Walt Vogler,,,,,0,0,0,7,19
