To Remove,United States Senator - Republican,To Remove 2,To Remove 3,Governor - Republican,To Remove 4,To Remove 5,To Remove 6,division
,United States Senator - Republican,,,Governor - Republican,,,,All
,Jim Christiana,Paul Mango,Laura Ellsworth,Scott R Wagner,Write In,Lou Barletta,Write In,All
Scott R Wagner,6,0,0,4,0,8,0,All
Paul Mango,4,3,0,,0,5,1,All
Laura Ellsworth,5,,1,,0,3,0,All
Write In,0,,,,0,0,0,All
Jim Christiana,1,,,,,0,0,All
Lou Barletta,,,,,,0,0,All
Write In,,,,,,,0,All
Total,16,13,9,18,0,16,1,All
1,6,3,4,2,5,7,8,All
,United States Senator - Republican,,,Governor - Republican,,,,2
,Lou Barletta,Jim Christiana,Write In,Laura Ellsworth,Paul Mango,Scott R Wagner,Write In,2
Lou Barletta,0,0,0,1,1,0,0,2
Jim Christiana,,0,0,0,0,0,0,2
Write In,,,0,0,0,0,0,2
Laura Ellsworth,,,,0,0,0,0,2
Paul Mango,,,,,0,0,0,2
Scott R Wagner,,,,,,1,0,2
Write In,,,,,,,0,2
Total,2,0,0,1,1,1,0,2
1,2,3,4,5,6,7,8,2
,United States Senator - Republican,,,Governor - Republican,,,,3
,Jim Christiana,Lou Barletta,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,Write In,3
Jim Christiana,0,0,0,1,0,0,0,3
Lou Barletta,,0,0,0,0,0,0,3
Write In,,,0,0,0,0,0,3
Scott R Wagner,,,,0,0,0,0,3
Laura Ellsworth,,,,,0,0,0,3
Paul Mango,,,,,,0,0,3
Write In,,,,,,,0,3
Total,1,0,0,1,0,0,0,3
1,2,3,4,5,6,7,8,3
,United States Senator - Republican,,,Governor - Republican,,,,5
,Lou Barletta,Jim Christiana,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,Write In,5
Lou Barletta,0,0,0,2,0,0,0,5
Jim Christiana,,0,0,0,0,0,0,5
Write In,,,0,0,0,0,0,5
Scott R Wagner,,,,0,0,0,0,5
Laura Ellsworth,,,,,0,0,0,5
Paul Mango,,,,,,0,0,5
Write In,,,,,,,0,5
Total,2,0,0,2,0,0,0,5
1,2,3,4,5,6,7,8,5
,United States Senator - Republican,,,Governor - Republican,,,,8
,Jim Christiana,Lou Barletta,Write In,Laura Ellsworth,Paul Mango,Scott R Wagner,Write In,8
Jim Christiana,0,0,0,0,0,1,0,8
Lou Barletta,,0,0,0,1,0,0,8
Write In,,,0,0,0,0,0,8
Laura Ellsworth,,,,1,0,0,0,8
Paul Mango,,,,,0,0,0,8
Scott R Wagner,,,,,,0,0,8
Write In,,,,,,,0,8
Total,1,1,0,1,1,1,0,8
1,2,3,4,5,6,7,8,8
,United States Senator - Republican,,,Governor - Republican,,,,9
,Jim Christiana,Laura Ellsworth,Paul Mango,Scott R Wagner,Write In,Lou Barletta,Write In,9
Scott R Wagner,1,0,0,1,0,1,0,9
Laura Ellsworth,1,0,0,,0,0,0,9
Paul Mango,0,,0,,0,0,0,9
Write In,0,,,,0,0,0,9
Jim Christiana,0,,,,,0,0,9
Lou Barletta,,,,,,0,0,9
Write In,,,,,,,0,9
Total,2,1,0,3,0,1,0,9
1,6,3,4,2,5,7,8,9
,United States Senator - Republican,,,Governor - Republican,,,,10
,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,Write In,Jim Christiana,Write In,10
Scott R Wagner,1,0,0,1,0,0,0,10
Laura Ellsworth,0,0,0,,0,0,0,10
Paul Mango,0,,0,,0,0,0,10
Write In,0,,,,0,0,0,10
Lou Barletta,0,,,,,0,0,10
Jim Christiana,,,,,,0,0,10
Write In,,,,,,,0,10
Total,1,0,0,2,0,0,0,10
1,6,3,4,2,5,7,8,10
,United States Senator - Republican,,,Governor - Republican,,,,11
,Jim Christiana,Lou Barletta,Write In,Laura Ellsworth,Paul Mango,Scott R Wagner,Write In,11
Jim Christiana,0,0,0,1,0,0,0,11
Lou Barletta,,0,0,0,0,0,0,11
Write In,,,0,0,0,0,0,11
Laura Ellsworth,,,,0,0,0,0,11
Paul Mango,,,,,0,0,0,11
Scott R Wagner,,,,,,0,0,11
Write In,,,,,,,0,11
Total,1,0,0,1,0,0,0,11
1,2,3,4,5,6,7,8,11
,United States Senator - Republican,,,Governor - Republican,,,,12
,Jim Christiana,Lou Barletta,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,Write In,12
Jim Christiana,0,0,0,2,1,0,0,12
Lou Barletta,,0,0,0,0,0,0,12
Write In,,,0,0,0,0,0,12
Scott R Wagner,,,,0,0,0,0,12
Laura Ellsworth,,,,,0,0,0,12
Paul Mango,,,,,,0,0,12
Write In,,,,,,,0,12
Total,3,0,0,2,1,0,0,12
1,2,3,4,5,6,7,8,12
,United States Senator - Republican,,,Governor - Republican,,,,13
,Jim Christiana,Lou Barletta,Write In,Paul Mango,Laura Ellsworth,Scott R Wagner,Write In,13
Jim Christiana,0,0,0,1,0,0,0,13
Lou Barletta,,0,0,0,0,0,0,13
Write In,,,0,0,0,0,0,13
Paul Mango,,,,0,0,0,0,13
Laura Ellsworth,,,,,0,0,0,13
Scott R Wagner,,,,,,0,0,13
Write In,,,,,,,0,13
Total,1,0,0,1,0,0,0,13
1,2,3,4,5,6,7,8,13
,United States Senator - Republican,,,Governor - Republican,,,,16
,Lou Barletta,Paul Mango,Laura Ellsworth,Scott R Wagner,Write In,Jim Christiana,Write In,16
Scott R Wagner,1,0,0,1,0,0,0,16
Paul Mango,0,1,0,,0,0,0,16
Laura Ellsworth,0,,0,,0,0,0,16
Write In,0,,,,0,0,0,16
Lou Barletta,0,,,,,0,0,16
Jim Christiana,,,,,,0,0,16
Write In,,,,,,,0,16
Total,1,1,0,2,0,0,0,16
1,6,3,4,2,5,7,8,16
,United States Senator - Republican,,,Governor - Republican,,,,19
,Jim Christiana,Lou Barletta,Write In,Laura Ellsworth,Paul Mango,Scott R Wagner,Write In,19
Jim Christiana,0,0,0,1,0,0,0,19
Lou Barletta,,0,0,0,1,0,0,19
