col_1,col_2,col_3,col_4,order,division
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,All
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,All
Bob Casey Jr,52,476,107,3,All
Dwight Evans,,57,0,4,All
Kevin Johnson,,,12,5,All
Total,635,533,119,6,All
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,1
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,1
Bob Casey Jr,2,46,13,3,1
Dwight Evans,,0,0,4,1
Kevin Johnson,,,3,5,1
Total,61,46,16,6,1
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,2
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,2
Bob Casey Jr,3,51,9,3,2
Dwight Evans,,4,0,4,2
Kevin Johnson,,,3,5,2
Total,63,55,12,6,2
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,3
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,3
Bob Casey Jr,2,40,15,3,3
Dwight Evans,,0,0,4,3
Kevin Johnson,,,0,5,3
Total,57,40,15,6,3
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,4
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,4
Bob Casey Jr,5,21,7,3,4
Dwight Evans,,5,0,4,4
Kevin Johnson,,,1,5,4
Total,33,26,8,6,4
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,5
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,5
Bob Casey Jr,12,38,9,3,5
Dwight Evans,,6,0,4,5
Kevin Johnson,,,2,5,5
Total,59,44,11,6,5
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,6
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,6
Bob Casey Jr,1,24,8,3,6
Dwight Evans,,7,0,4,6
Kevin Johnson,,,0,5,6
Total,33,31,8,6,6
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,7
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,7
Bob Casey Jr,4,50,7,3,7
Dwight Evans,,7,0,4,7
Kevin Johnson,,,0,5,7
Total,61,57,7,6,7
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,8
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,8
Bob Casey Jr,5,40,11,3,8
Dwight Evans,,4,0,4,8
Kevin Johnson,,,0,5,8
Total,56,44,11,6,8
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,9
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,9
Bob Casey Jr,1,17,4,3,9
Dwight Evans,,1,0,4,9
Kevin Johnson,,,0,5,9
Total,22,18,4,6,9
,Representative In Congress 3rd District - Democrat,,United States Senator - Democrat,1,10
,Dwight Evans,Kevin Johnson,Bob Casey Jr,2,10
Dwight Evans,4,0,21,3,10
Kevin Johnson,,0,2,4,10
Bob Casey Jr,,,1,5,10
Total,25,2,24,6,10
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,11
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,11
Bob Casey Jr,6,44,4,3,11
Dwight Evans,,9,0,4,11
Kevin Johnson,,,0,5,11
Total,54,53,4,6,11
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,12
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,12
Bob Casey Jr,1,11,2,3,12
Dwight Evans,,3,0,4,12
Kevin Johnson,,,1,5,12
Total,14,14,3,6,12
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,13
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,13
Bob Casey Jr,7,51,11,3,13
Dwight Evans,,5,0,4,13
Kevin Johnson,,,1,5,13
Total,69,56,12,6,13
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,14
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,14
Bob Casey Jr,2,22,5,3,14
Dwight Evans,,2,0,4,14
Kevin Johnson,,,1,5,14
Total,29,24,6,6,14
