col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,All
,Morgan Cephas,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Kevin Bundy,John Brady,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,All
Morgan Cephas,92,840,686,683,545,444,409,381,351,182,154,134,113,104,All
Kathryn S Huggins,,12,595,583,494,375,349,337,308,136,134,103,92,81,All
Dewayne Drummond,,,5,563,477,335,321,306,276,112,101,90,75,67,All
Ken Washington,,,,3,492,337,322,302,282,116,93,98,81,62,All
Liam G Boyle,,,,,2,257,255,249,218,64,59,66,39,33,All
Lisa Rhodes,,,,,,6,352,297,107,90,73,45,57,72,All
Linda Norris,,,,,,,0,293,97,76,73,46,52,64,All
Monica Maria Djerassi,,,,,,,,0,81,64,81,46,54,48,All
Kevin Bundy,,,,,,,,,0,96,75,85,51,41,All
John Brady,,,,,,,,,,1,57,51,41,39,All
Rebecca Poyourow,,,,,,,,,,,0,57,39,34,All
Nat Lownes,,,,,,,,,,,,0,36,21,All
Joe Khan,,,,,,,,,,,,,0,34,All
Jacque Whaumbush,,,,,,,,,,,,,,0,All
Total,"1,162",878,714,707,564,462,421,395,365,191,157,137,120,108,All
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,2
,Morgan Cephas,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Kevin Bundy,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,John Brady,Joe Khan,Nat Lownes,Rebecca Poyourow,Jacque Whaumbush,2
Morgan Cephas,10,68,61,54,49,33,28,27,23,15,13,15,13,10,2
Kathryn S Huggins,,1,54,50,44,31,27,24,19,14,11,12,11,8,2
Dewayne Drummond,,,0,47,41,30,23,22,17,12,10,10,8,7,2
Ken Washington,,,,1,47,27,23,21,20,11,9,12,6,4,2
Liam G Boyle,,,,,0,22,17,16,16,6,3,9,7,4,2
Kevin Bundy,,,,,,0,9,9,7,8,5,11,7,2,2
Lisa Rhodes,,,,,,,0,22,15,9,10,7,6,7,2
Linda Norris,,,,,,,,0,15,8,9,6,8,8,2
Monica Maria Djerassi,,,,,,,,,0,7,5,5,4,2,2
John Brady,,,,,,,,,,0,6,1,6,5,2
Joe Khan,,,,,,,,,,,0,4,3,4,2
Nat Lownes,,,,,,,,,,,,0,6,3,2
Rebecca Poyourow,,,,,,,,,,,,,0,6,2
Jacque Whaumbush,,,,,,,,,,,,,,0,2
Total,97,72,64,59,51,34,30,29,24,16,15,15,13,10,2
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,3
,Morgan Cephas,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,John Brady,Joe Khan,Jacque Whaumbush,3
Morgan Cephas,10,74,60,54,46,38,36,34,32,20,15,13,12,6,3
Kathryn S Huggins,,1,50,49,40,31,28,28,27,16,12,11,12,5,3
Ken Washington,,,0,49,42,31,32,30,28,18,14,9,9,3,3
Dewayne Drummond,,,,0,36,30,27,26,26,14,11,7,10,3,3
Liam G Boyle,,,,,0,23,22,22,24,13,9,6,3,2,3
Kevin Bundy,,,,,,0,12,9,11,16,10,7,7,4,3
Lisa Rhodes,,,,,,,0,28,27,7,6,6,5,4,3
Linda Norris,,,,,,,,0,26,7,6,5,4,2,3
Monica Maria Djerassi,,,,,,,,,0,8,5,3,4,1,3
Nat Lownes,,,,,,,,,,0,10,7,4,2,3
Rebecca Poyourow,,,,,,,,,,,0,3,4,0,3
John Brady,,,,,,,,,,,,0,5,5,3
Joe Khan,,,,,,,,,,,,,0,3,3
Jacque Whaumbush,,,,,,,,,,,,,,0,3
Total,105,79,62,56,48,40,37,35,33,21,16,14,12,6,3
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,4
,Morgan Cephas,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Lisa Rhodes,Linda Norris,Liam G Boyle,Kevin Bundy,Monica Maria Djerassi,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,John Brady,Nat Lownes,4
Morgan Cephas,0,34,27,24,21,19,16,16,16,10,8,7,6,4,4
Kathryn S Huggins,,0,24,20,18,16,14,14,13,9,7,7,5,3,4
Dewayne Drummond,,,0,20,15,15,14,13,12,8,5,4,6,2,4
Ken Washington,,,,1,13,12,12,10,9,5,4,4,4,3,4
Lisa Rhodes,,,,,0,17,7,6,15,8,6,4,3,4,4
Linda Norris,,,,,,0,8,5,12,6,5,5,3,4,4
Liam G Boyle,,,,,,,1,7,7,2,3,2,3,1,4
Kevin Bundy,,,,,,,,0,5,5,3,3,5,1,4
Monica Maria Djerassi,,,,,,,,,0,8,6,4,2,2,4
Rebecca Poyourow,,,,,,,,,,0,3,1,3,1,4
Jacque Whaumbush,,,,,,,,,,,0,3,1,0,4
Joe Khan,,,,,,,,,,,,0,1,2,4
John Brady,,,,,,,,,,,,,0,0,4
Nat Lownes,,,,,,,,,,,,,,0,4
Total,40,34,27,25,21,19,17,16,16,10,8,7,6,4,4
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,5
,Morgan Cephas,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Kevin Bundy,John Brady,Nat Lownes,Rebecca Poyourow,Joe Khan,Jacque Whaumbush,5
Morgan Cephas,6,70,59,58,52,31,29,25,25,12,9,8,5,3,5
Kathryn S Huggins,,1,55,56,50,31,28,26,21,8,8,8,2,1,5
Ken Washington,,,0,56,50,24,26,21,22,7,8,6,5,3,5
Dewayne Drummond,,,,0,49,24,24,21,20,5,8,6,3,3,5
Liam G Boyle,,,,,0,20,23,18,18,3,7,5,2,0,5
Lisa Rhodes,,,,,,0,26,24,7,5,1,2,2,1,5
Monica Maria Djerassi,,,,,,,0,20,8,5,3,3,5,1,5
Linda Norris,,,,,,,,0,2,4,2,2,0,1,5
Kevin Bundy,,,,,,,,,0,5,8,5,5,1,5
John Brady,,,,,,,,,,0,4,3,2,0,5
Nat Lownes,,,,,,,,,,,0,6,2,1,5
Rebecca Poyourow,,,,,,,,,,,,0,1,1,5
Joe Khan,,,,,,,,,,,,,0,1,5
Jacque Whaumbush,,,,,,,,,,,,,,0,5
Total,87,72,60,59,53,32,31,26,25,13,10,9,6,3,5
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,6
,Morgan Cephas,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Kevin Bundy,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,Jacque Whaumbush,6
Morgan Cephas,5,57,50,42,40,32,32,31,25,10,9,8,7,4,6
Kathryn S Huggins,,0,44,35,35,30,30,29,22,10,6,6,5,3,6
Dewayne Drummond,,,0,35,39,25,26,28,23,8,7,5,4,1,6
Ken Washington,,,,0,34,19,22,19,15,3,4,5,4,2,6
Liam G Boyle,,,,,0,19,22,20,18,3,4,3,2,0,6
Lisa Rhodes,,,,,,0,27,28,4,7,4,3,3,2,6
Monica Maria Djerassi,,,,,,,0,26,5,6,2,3,5,2,6
Linda Norris,,,,,,,,0,7,6,5,4,3,2,6
Kevin Bundy,,,,,,,,,0,5,7,5,3,1,6
Rebecca Poyourow,,,,,,,,,,0,3,3,4,2,6
John Brady,,,,,,,,,,,0,3,1,1,6
Nat Lownes,,,,,,,,,,,,0,3,2,6
Joe Khan,,,,,,,,,,,,,0,2,6
Jacque Whaumbush,,,,,,,,,,,,,,0,6
Total,72,57,50,42,40,32,32,31,25,10,9,8,7,4,6
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,9
,Morgan Cephas,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Kevin Bundy,John Brady,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,Nat Lownes,9
Morgan Cephas,7,79,64,63,50,42,39,37,26,20,12,11,11,11,9
Kathryn S Huggins,,1,57,55,48,36,37,32,21,16,11,7,10,10,9
Ken Washington,,,0,52,45,35,35,33,20,14,6,8,7,9,9
Dewayne Drummond,,,,0,44,31,31,27,17,12,4,5,6,8,9
Liam G Boyle,,,,,0,27,28,27,13,9,2,4,4,4,9
Lisa Rhodes,,,,,,0,30,33,9,8,6,7,7,4,9
Monica Maria Djerassi,,,,,,,0,29,5,7,7,4,4,3,9
Linda Norris,,,,,,,,0,7,7,4,4,5,4,9
Kevin Bundy,,,,,,,,,0,9,4,6,5,6,9
John Brady,,,,,,,,,,1,6,6,3,7,9
Rebecca Poyourow,,,,,,,,,,,0,4,4,4,9
Jacque Whaumbush,,,,,,,,,,,,0,3,2,9
Joe Khan,,,,,,,,,,,,,0,3,9
Nat Lownes,,,,,,,,,,,,,,0,9
Total,101,80,65,64,51,43,40,38,26,21,12,11,11,11,9
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,10
,Morgan Cephas,Kathryn S Huggins,Lisa Rhodes,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Monica Maria Djerassi,Linda Norris,John Brady,Rebecca Poyourow,Jacque Whaumbush,Nat Lownes,Joe Khan,10
Morgan Cephas,6,54,42,43,36,29,30,19,17,14,12,8,8,7,10
Kathryn S Huggins,,1,29,36,29,28,27,14,12,11,10,7,7,3,10
Lisa Rhodes,,,6,24,19,15,17,16,15,9,8,7,2,6,10
Ken Washington,,,,0,30,27,24,11,14,10,7,3,7,3,10
Dewayne Drummond,,,,,0,20,19,12,11,6,6,2,5,4,10
Kevin Bundy,,,,,,0,18,4,6,8,5,2,5,3,10
Liam G Boyle,,,,,,,0,10,8,5,6,3,5,3,10
Monica Maria Djerassi,,,,,,,,0,12,4,4,5,2,6,10
Linda Norris,,,,,,,,,0,3,3,4,2,4,10
John Brady,,,,,,,,,,0,1,3,4,2,10
Rebecca Poyourow,,,,,,,,,,,0,3,4,0,10
Jacque Whaumbush,,,,,,,,,,,,0,1,2,10
Nat Lownes,,,,,,,,,,,,,0,0,10
Joe Khan,,,,,,,,,,,,,,0,10
Total,85,57,49,45,37,31,31,19,18,14,12,8,8,7,10
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,11
,Morgan Cephas,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Kevin Bundy,John Brady,Joe Khan,Jacque Whaumbush,Rebecca Poyourow,Nat Lownes,11
Morgan Cephas,3,47,44,42,32,28,26,26,20,12,10,8,8,4,11
Kathryn S Huggins,,1,37,34,28,23,25,22,15,7,5,3,7,1,11
Dewayne Drummond,,,0,32,29,23,22,21,11,5,5,7,4,1,11
Ken Washington,,,,0,27,22,20,21,11,9,9,4,5,2,11
Liam G Boyle,,,,,0,18,17,17,7,4,5,2,3,2,11
Linda Norris,,,,,,0,21,21,6,7,6,6,6,1,11
Monica Maria Djerassi,,,,,,,0,17,6,5,4,4,8,0,11
Lisa Rhodes,,,,,,,,0,7,6,4,5,2,2,11
Kevin Bundy,,,,,,,,,0,8,3,3,4,1,11
John Brady,,,,,,,,,,0,4,3,4,1,11
Joe Khan,,,,,,,,,,,0,4,2,3,11
Jacque Whaumbush,,,,,,,,,,,,0,1,1,11
Rebecca Poyourow,,,,,,,,,,,,,0,0,11
Nat Lownes,,,,,,,,,,,,,,0,11
Total,69,50,47,42,33,28,27,26,21,12,10,8,8,4,11
,Representative In The General Assembly 192nd District - Democrat,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,14
