col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Bob Casey Jr,Rhea Powell,Marylouise Isaacson,Tom Young,Andi Perez,Micah Mahjoubian,Darrell L Clarke,Mariel J K Martin,Amanda Mcillmurray,Noam Kugelmass,Judi Golding Baker,Joe Celentano,Matthew D Myers,Jon Geeting,2,All
Bob Casey Jr,977,66,61,61,59,56,54,49,48,41,39,32,29,25,3,All
Rhea Powell,,0,44,38,39,34,26,36,41,34,28,25,12,17,4,All
Marylouise Isaacson,,,0,36,41,36,32,38,38,26,25,20,19,20,5,All
Tom Young,,,,0,37,37,32,31,25,31,19,29,23,18,6,All
Andi Perez,,,,,0,35,33,38,29,22,25,22,24,19,7,All
Micah Mahjoubian,,,,,,0,25,27,27,25,19,20,20,14,8,All
Darrell L Clarke,,,,,,,0,30,26,14,23,13,25,12,9,All
Mariel J K Martin,,,,,,,,1,30,20,22,14,21,12,10,All
Amanda Mcillmurray,,,,,,,,,0,24,26,13,13,14,11,All
Noam Kugelmass,,,,,,,,,,0,17,19,8,13,12,All
Judi Golding Baker,,,,,,,,,,,0,12,14,7,13,All
Joe Celentano,,,,,,,,,,,,0,9,10,14,All
Matthew D Myers,,,,,,,,,,,,,0,7,15,All
Jon Geeting,,,,,,,,,,,,,,0,16,All
Total,"1,088",67,62,61,60,56,55,51,49,41,39,32,30,26,17,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Bob Casey Jr,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,1
Bob Casey Jr,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Amanda Mcillmurray,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Andi Perez,,,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Darrell L Clarke,,,,0,0,0,0,0,0,0,0,0,0,0,6,1
Joe Celentano,,,,,0,0,0,0,0,0,0,0,0,0,7,1
Jon Geeting,,,,,,0,0,0,0,0,0,0,0,0,8,1
Judi Golding Baker,,,,,,,0,0,0,0,0,0,0,0,9,1
Mariel J K Martin,,,,,,,,0,0,0,0,0,0,0,10,1
Marylouise Isaacson,,,,,,,,,0,0,0,0,0,0,11,1
Matthew D Myers,,,,,,,,,,0,0,0,0,0,12,1
Micah Mahjoubian,,,,,,,,,,,0,0,0,0,13,1
Noam Kugelmass,,,,,,,,,,,,0,0,0,14,1
Rhea Powell,,,,,,,,,,,,,0,0,15,1
Tom Young,,,,,,,,,,,,,,0,16,1
Total,60,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,2
,Bob Casey Jr,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,2
Bob Casey Jr,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Amanda Mcillmurray,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Andi Perez,,,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Darrell L Clarke,,,,0,0,0,0,0,0,0,0,0,0,0,6,2
Joe Celentano,,,,,0,0,0,0,0,0,0,0,0,0,7,2
Jon Geeting,,,,,,0,0,0,0,0,0,0,0,0,8,2
