col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Representative In The General Assembly 179th District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,All
,Jason T Dawkins,Abu Vicente Edwards,James Harrity,Erica Vanstone,Mona Getzes Cohen,Richard Lombardo,Meagan Ingerson,Catherine Bartch,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,All
Jason T Dawkins,49,0,275,216,176,214,180,181,173,161,163,All
Abu Vicente Edwards,,5,62,31,75,32,55,28,21,26,20,All
James Harrity,,,2,213,160,210,160,179,171,169,158,All
Erica Vanstone,,,,1,122,220,125,192,174,179,169,All
Mona Getzes Cohen,,,,,3,111,166,91,86,71,75,All
Richard Lombardo,,,,,,1,114,181,173,180,163,All
Meagan Ingerson,,,,,,,0,98,82,67,73,All
Catherine Bartch,,,,,,,,0,147,144,160,All
Billy Cortes,,,,,,,,,0,143,141,All
Frank T Brzozowski,,,,,,,,,,0,135,All
Marnie Aument Loughrey,,,,,,,,,,,0,All
Total,451,114,349,258,258,257,238,216,202,200,189,All
,Representative In The General Assembly 179th District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,1
,Jason T Dawkins,Abu Vicente Edwards,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,1
Jason T Dawkins,2,0,17,15,14,11,10,10,8,7,7,1
Abu Vicente Edwards,,0,2,2,3,0,0,0,0,1,0,1
James Harrity,,,0,10,10,12,11,10,10,9,8,1
Meagan Ingerson,,,,0,10,6,5,6,3,2,3,1
Mona Getzes Cohen,,,,,0,7,6,7,4,2,3,1
Erica Vanstone,,,,,,0,10,10,9,7,8,1
Richard Lombardo,,,,,,,0,9,9,8,6,1
Billy Cortes,,,,,,,,0,7,6,7,1
Catherine Bartch,,,,,,,,,0,7,6,1
Frank T Brzozowski,,,,,,,,,,0,5,1
Marnie Aument Loughrey,,,,,,,,,,,0,1
Total,29,6,21,17,17,12,12,11,10,10,8,1
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In The General Assembly 179th District - Democrat,,2
,James Harrity,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Catherine Bartch,Billy Cortes,Frank T Brzozowski,Meagan Ingerson,Marnie Aument Loughrey,Jason T Dawkins,Abu Vicente Edwards,2
James Harrity,1,13,14,14,13,11,11,12,9,12,10,2
Mona Getzes Cohen,,0,10,9,8,6,8,11,5,11,5,2
Erica Vanstone,,,0,14,12,11,11,8,10,11,5,2
Richard Lombardo,,,,0,13,10,10,7,9,10,6,2
Catherine Bartch,,,,,0,9,10,7,8,9,5,2
Billy Cortes,,,,,,0,9,5,7,7,4,2
Frank T Brzozowski,,,,,,,0,4,9,7,4,2
Meagan Ingerson,,,,,,,,0,2,8,5,2
Marnie Aument Loughrey,,,,,,,,,0,6,3,2
Jason T Dawkins,,,,,,,,,,2,0,2
Abu Vicente Edwards,,,,,,,,,,,1,2
Total,25,18,17,16,15,14,14,14,10,20,11,2
,Representative In The General Assembly 179th District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,3
,Jason T Dawkins,Abu Vicente Edwards,James Harrity,Mona Getzes Cohen,Richard Lombardo,Meagan Ingerson,Erica Vanstone,Frank T Brzozowski,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,3
Jason T Dawkins,1,0,13,11,13,11,11,12,10,8,6,3
Abu Vicente Edwards,,0,3,5,3,3,2,1,1,2,1,3
James Harrity,,,0,8,12,9,11,10,9,7,4,3
Mona Getzes Cohen,,,,0,12,9,9,10,8,6,5,3
Richard Lombardo,,,,,0,10,13,13,11,10,7,3
Meagan Ingerson,,,,,,0,9,8,5,6,3,3
Erica Vanstone,,,,,,,0,11,8,8,6,3
Frank T Brzozowski,,,,,,,,0,9,9,6,3
Billy Cortes,,,,,,,,,0,6,5,3
Catherine Bartch,,,,,,,,,,0,5,3
Marnie Aument Loughrey,,,,,,,,,,,0,3
Total,19,8,16,16,16,14,13,13,11,10,7,3
,Representative In The General Assembly 179th District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,4
,Jason T Dawkins,Abu Vicente Edwards,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Billy Cortes,Richard Lombardo,Erica Vanstone,Marnie Aument Loughrey,Frank T Brzozowski,Catherine Bartch,4
Jason T Dawkins,2,0,21,14,15,13,12,11,11,9,6,4
Abu Vicente Edwards,,0,4,5,4,0,0,0,0,0,0,4
James Harrity,,,0,13,13,11,11,10,10,8,6,4
Mona Getzes Cohen,,,,1,9,6,6,5,5,3,3,4
Meagan Ingerson,,,,,0,7,8,6,6,5,3,4
Billy Cortes,,,,,,0,10,10,8,8,4,4
Richard Lombardo,,,,,,,0,9,9,8,5,4
Erica Vanstone,,,,,,,,0,7,8,3,4
Marnie Aument Loughrey,,,,,,,,,0,6,5,4
Frank T Brzozowski,,,,,,,,,,0,4,4
Catherine Bartch,,,,,,,,,,,0,4
Total,35,6,25,20,19,13,12,11,11,9,6,4
,Representative In The General Assembly 179th District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,5
,Jason T Dawkins,Abu Vicente Edwards,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Mona Getzes Cohen,Frank T Brzozowski,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,5
Jason T Dawkins,0,0,12,13,11,11,10,7,6,5,2,5
Abu Vicente Edwards,,0,3,1,2,2,1,2,2,1,2,5
James Harrity,,,0,9,10,9,9,7,6,6,4,5
Meagan Ingerson,,,,0,8,7,7,5,5,4,1,5
Erica Vanstone,,,,,0,10,8,7,7,5,3,5
Richard Lombardo,,,,,,0,6,8,6,6,4,5
Mona Getzes Cohen,,,,,,,0,4,3,4,1,5
Frank T Brzozowski,,,,,,,,0,4,5,3,5
Catherine Bartch,,,,,,,,,0,3,4,5
Billy Cortes,,,,,,,,,,0,3,5
Marnie Aument Loughrey,,,,,,,,,,,0,5
Total,21,4,15,14,13,13,11,9,8,6,4,5
,Representative In The General Assembly 179th District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,6
,Jason T Dawkins,Abu Vicente Edwards,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Catherine Bartch,Erica Vanstone,Richard Lombardo,Marnie Aument Loughrey,Billy Cortes,Frank T Brzozowski,6
Jason T Dawkins,8,0,21,23,17,15,15,13,11,11,4,6
Abu Vicente Edwards,,0,6,5,6,2,1,3,3,2,0,6
James Harrity,,,0,16,15,15,14,16,11,12,5,6
Meagan Ingerson,,,,0,19,12,12,11,9,6,1,6
Mona Getzes Cohen,,,,,0,10,10,11,9,6,1,6
Catherine Bartch,,,,,,0,15,14,13,10,4,6
Erica Vanstone,,,,,,,0,14,11,9,5,6
Richard Lombardo,,,,,,,,0,12,11,5,6
Marnie Aument Loughrey,,,,,,,,,0,7,4,6
Billy Cortes,,,,,,,,,,0,5,6
Frank T Brzozowski,,,,,,,,,,,0,6
Total,43,10,28,28,23,18,17,17,15,14,5,6
,Representative In The General Assembly 179th District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,7
,Jason T Dawkins,Abu Vicente Edwards,James Harrity,Erica Vanstone,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,7
Jason T Dawkins,4,0,19,16,13,9,15,15,15,9,14,7
Abu Vicente Edwards,,0,8,4,8,11,4,4,0,4,0,7
James Harrity,,,0,17,14,15,16,16,12,13,12,7
Erica Vanstone,,,,0,13,13,19,18,14,15,13,7
Meagan Ingerson,,,,,0,15,11,10,7,7,6,7
Mona Getzes Cohen,,,,,,0,11,10,6,7,6,7
Richard Lombardo,,,,,,,0,16,11,15,11,7
Billy Cortes,,,,,,,,0,12,13,12,7
Catherine Bartch,,,,,,,,,0,8,13,7
Frank T Brzozowski,,,,,,,,,,0,8,7
Marnie Aument Loughrey,,,,,,,,,,,0,7
Total,33,12,28,22,22,21,21,20,15,15,14,7
,Representative In The General Assembly 179th District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,8
,Jason T Dawkins,Abu Vicente Edwards,James Harrity,Richard Lombardo,Erica Vanstone,Mona Getzes Cohen,Catherine Bartch,Meagan Ingerson,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,8
