V1,Lou Barletta,Jim Christiana,Write In,division
,Lou Barletta,Jim Christiana,Write In,All
Jim Christiana,0,54,0,All
Lou Barletta,48,,0,All
Write In,,,1,All
Total,48,54,1,All
,Lou Barletta,Jim Christiana,Write In,1
Lou Barletta,7,0,0,1
Jim Christiana,,2,0,1
Write In,,,1,1
Total,7,2,1,1
,Lou Barletta,Jim Christiana,Write In,3
Jim Christiana,0,2,0,3
Lou Barletta,1,,0,3
Write In,,,1,3
Total,1,2,1,3
,Lou Barletta,Jim Christiana,Write In,4
Lou Barletta,2,0,0,4
Jim Christiana,,1,0,4
Write In,,,1,4
Total,2,1,1,4
,Lou Barletta,Jim Christiana,Write In,7
Jim Christiana,0,2,0,7
Lou Barletta,2,,0,7
Write In,,,1,7
Total,2,2,1,7
,Lou Barletta,Jim Christiana,Write In,9
Jim Christiana,0,2,0,9
Lou Barletta,2,,0,9
Write In,,,1,9
Total,2,2,1,9
,Lou Barletta,Jim Christiana,Write In,11
Jim Christiana,0,4,0,11
Lou Barletta,2,,0,11
Write In,,,1,11
Total,2,4,1,11
,Lou Barletta,Jim Christiana,Write In,14
Jim Christiana,0,3,0,14
Lou Barletta,1,,0,14
Write In,,,1,14
Total,1,3,1,14
,Lou Barletta,Jim Christiana,Write In,15
Jim Christiana,0,2,0,15
Lou Barletta,1,,0,15
Write In,,,1,15
Total,1,2,1,15
,Lou Barletta,Jim Christiana,Write In,16
Jim Christiana,0,2,0,16
Lou Barletta,2,,0,16
Write In,,,1,16
Total,2,2,1,16
,Lou Barletta,Jim Christiana,Write In,17
Jim Christiana,0,3,0,17
Lou Barletta,1,,0,17
Write In,,,1,17
Total,1,3,1,17
,Lou Barletta,Jim Christiana,Write In,18
Jim Christiana,0,2,0,18
Lou Barletta,1,,0,18
Write In,,,1,18
Total,1,2,1,18
,Lou Barletta,Jim Christiana,Write In,19
Jim Christiana,0,3,0,19
Lou Barletta,1,,0,19
Write In,,,1,19
Total,1,3,1,19
,Lou Barletta,Jim Christiana,Write In,20
Jim Christiana,0,3,0,20
Lou Barletta,3,,0,20
Write In,,,1,20
Total,3,3,1,20
,Lou Barletta,Jim Christiana,Write In,21
Jim Christiana,0,2,0,21
Lou Barletta,2,,0,21
Write In,,,1,21
Total,2,2,1,21
,Lou Barletta,Jim Christiana,Write In,22
Jim Christiana,0,2,0,22
Lou Barletta,2,,0,22
Write In,,,1,22
Total,2,2,1,22
,Lou Barletta,Jim Christiana,Write In,23
Jim Christiana,0,2,0,23
Lou Barletta,1,,0,23
Write In,,,1,23
Total,1,2,1,23
,Lou Barletta,Jim Christiana,Write In,24
Jim Christiana,0,3,0,24
Lou Barletta,3,,0,24
Write In,,,1,24
Total,3,3,1,24
,Lou Barletta,Jim Christiana,Write In,25
Jim Christiana,0,4,0,25
Lou Barletta,4,,0,25
Write In,,,1,25
Total,4,4,1,25
,Lou Barletta,Jim Christiana,Write In,28
Jim Christiana,0,7,0,28
Lou Barletta,5,,0,28
Write In,,,1,28
Total,5,7,1,28
,Lou Barletta,Jim Christiana,Write In,32
Jim Christiana,0,2,0,32
Lou Barletta,2,,0,32
Write In,,,1,32
Total,2,2,1,32
,Lou Barletta,Jim Christiana,Write In,33
Jim Christiana,0,2,0,33
Lou Barletta,2,,0,33
Write In,,,1,33
Total,2,2,1,33
,Lou Barletta,Jim Christiana,Write In,35
Jim Christiana,0,3,0,35
Lou Barletta,2,,0,35
Write In,,,1,35
Total,2,3,1,35
,Lou Barletta,Jim Christiana,Write In,36
Jim Christiana,0,2,0,36
Lou Barletta,2,,0,36
Write In,,,1,36
Total,2,2,1,36
,Lou Barletta,Jim Christiana,Write In,37
Jim Christiana,0,5,0,37
Lou Barletta,4,,0,37
Write In,,,1,37
Total,4,5,1,37
,Lou Barletta,Jim Christiana,Write In,38
Lou Barletta,3,0,0,38
Jim Christiana,,1,0,38
Write In,,,1,38
Total,3,1,1,38
,Lou Barletta,Jim Christiana,Write In,40
Lou Barletta,4,0,0,40
Jim Christiana,,2,0,40
Write In,,,1,40
Total,4,2,1,40
,Lou Barletta,Jim Christiana,Write In,41
Jim Christiana,0,2,0,41
Lou Barletta,1,,0,41
Write In,,,1,41
Total,1,2,1,41
,Lou Barletta,Jim Christiana,Write In,42
Lou Barletta,2,0,0,42
Jim Christiana,,1,0,42
Write In,,,1,42
Total,2,1,1,42
,Lou Barletta,Jim Christiana,Write In,43
Lou Barletta,2,0,0,43
Jim Christiana,,1,0,43
Write In,,,1,43
Total,2,1,1,43
,Lou Barletta,Jim Christiana,Write In,45
Jim Christiana,0,2,0,45
Lou Barletta,2,,0,45
Write In,,,1,45
Total,2,2,1,45
,Lou Barletta,Jim Christiana,Write In,46
Lou Barletta,4,0,0,46
Jim Christiana,,2,0,46
Write In,,,1,46
Total,4,2,1,46
,Lou Barletta,Jim Christiana,Write In,48
Jim Christiana,0,2,0,48
Lou Barletta,2,,0,48
Write In,,,1,48
Total,2,2,1,48
,Lou Barletta,Jim Christiana,Write In,49
Jim Christiana,0,5,0,49
Lou Barletta,4,,0,49
Write In,,,1,49
Total,4,5,1,49
,Lou Barletta,Jim Christiana,Write In,50
Jim Christiana,0,2,0,50
Lou Barletta,2,,0,50
Write In,,,1,50
Total,2,2,1,50
,Lou Barletta,Jim Christiana,Write In,51
Jim Christiana,0,3,0,51
Lou Barletta,1,,0,51
Write In,,,1,51
Total,1,3,1,51
