col_1,col_2,col_3,col_4,order,division
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,All
,Bryan E Leib,Lou Barletta,Jim Christiana,2,All
Bryan E Leib,32,456,286,3,All
Lou Barletta,,40,0,4,All
Jim Christiana,,,29,5,All
Total,774,496,315,6,All
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,1
,Bryan E Leib,Lou Barletta,Jim Christiana,2,1
Bryan E Leib,1,8,6,3,1
Lou Barletta,,1,0,4,1
Jim Christiana,,,0,5,1
Total,15,9,6,6,1
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,2
,Bryan E Leib,Lou Barletta,Jim Christiana,2,2
Bryan E Leib,1,13,9,3,2
Lou Barletta,,1,0,4,2
Jim Christiana,,,1,5,2
Total,23,14,10,6,2
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,3
,Bryan E Leib,Jim Christiana,Lou Barletta,2,3
Bryan E Leib,1,2,1,3,3
Jim Christiana,,0,0,4,3
Lou Barletta,,,0,5,3
Total,4,2,1,6,3
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,4
,Bryan E Leib,Lou Barletta,Jim Christiana,2,4
Bryan E Leib,0,4,2,3,4
Lou Barletta,,0,0,4,4
Jim Christiana,,,1,5,4
Total,6,4,3,6,4
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,5
,Bryan E Leib,Lou Barletta,Jim Christiana,2,5
Bryan E Leib,2,17,10,3,5
Lou Barletta,,0,0,4,5
Jim Christiana,,,0,5,5
Total,29,17,10,6,5
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,6
,Bryan E Leib,Lou Barletta,Jim Christiana,2,6
Bryan E Leib,1,6,2,3,6
Lou Barletta,,1,0,4,6
Jim Christiana,,,0,5,6
Total,9,7,2,6,6
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,7
,Bryan E Leib,Jim Christiana,Lou Barletta,2,7
Bryan E Leib,0,2,3,3,7
Jim Christiana,,1,0,4,7
Lou Barletta,,,0,5,7
Total,5,3,3,6,7
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,8
,Bryan E Leib,Lou Barletta,Jim Christiana,2,8
Bryan E Leib,0,2,2,3,8
Lou Barletta,,1,0,4,8
Jim Christiana,,,0,5,8
Total,4,3,2,6,8
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,9
,Bryan E Leib,Lou Barletta,Jim Christiana,2,9
Bryan E Leib,0,6,6,3,9
Lou Barletta,,1,0,4,9
