col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Member Of The Republican State Committee 1st Congressional District,,,,Governor - Republican,,,All
,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,Christopher M Vogler,Scott R Wagner,Paul Mango,Laura Ellsworth,All
Maria Digiorgio Mccolgan,25,"2,311","2,293","2,294","1,351","1,117",619,All
Theresa A Dintino,,24,"2,235","2,202","1,150","1,086",619,All
Michael A Cibik,,,15,"2,263","1,185","1,029",536,All
Christopher M Vogler,,,,16,"1,198","1,012",518,All
Scott R Wagner,,,,,318,0,0,All
Paul Mango,,,,,,381,0,All
Laura Ellsworth,,,,,,,206,All
Total,"3,151","2,913","2,802","2,781","2,127","2,026","1,114",All
