col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,All
,Brendan F Boyle,Michele Lawrence,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,All
Brendan F Boyle,41,0,287,386,216,61,7,3,All
Michele Lawrence,,18,240,142,281,102,5,4,All
John Fetterman,,,35,0,0,0,0,5,All
Mike Stack,,,,32,0,0,0,6,All
Nina Ahmad,,,,,25,0,0,7,All
Kathi Cozzone,,,,,,10,0,8,All
Ray Sosa,,,,,,,3,9,All
Total,998,788,562,560,522,173,15,10,All
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,1
,Michele Lawrence,Brendan F Boyle,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,1
Michele Lawrence,0,0,27,17,9,10,0,3,1
Brendan F Boyle,,0,19,27,7,2,0,4,1
Nina Ahmad,,,1,0,0,0,0,5,1
John Fetterman,,,,2,0,0,0,6,1
Mike Stack,,,,,0,0,0,7,1
Kathi Cozzone,,,,,,0,0,8,1
Ray Sosa,,,,,,,0,9,1
Total,63,55,47,46,16,12,0,10,1
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,2
,Brendan F Boyle,Michele Lawrence,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,2
Brendan F Boyle,0,0,8,2,3,1,0,3,2
Michele Lawrence,,0,0,2,0,1,0,4,2
Mike Stack,,,3,0,0,0,0,5,2
Nina Ahmad,,,,0,0,0,0,6,2
John Fetterman,,,,,0,0,0,7,2
Kathi Cozzone,,,,,,0,0,8,2
Ray Sosa,,,,,,,0,9,2
Total,14,3,11,4,3,2,0,10,2
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,3
,Brendan F Boyle,Michele Lawrence,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,3
Brendan F Boyle,2,0,20,12,11,6,1,3,3
Michele Lawrence,,0,15,10,10,6,2,4,3
John Fetterman,,,0,0,0,0,0,5,3
Nina Ahmad,,,,2,0,0,0,6,3
Mike Stack,,,,,0,0,0,7,3
Kathi Cozzone,,,,,,1,0,8,3
Ray Sosa,,,,,,,1,9,3
Total,52,43,35,24,21,13,4,10,3
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,4
,Brendan F Boyle,Michele Lawrence,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,4
Brendan F Boyle,4,0,32,21,13,5,0,3,4
Michele Lawrence,,1,12,10,12,7,0,4,4
John Fetterman,,,3,0,0,0,0,5,4
Mike Stack,,,,3,0,0,0,6,4
Nina Ahmad,,,,,2,0,0,7,4
Kathi Cozzone,,,,,,1,0,8,4
