col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In The General Assembly 203rd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,All
,Isabella Fitzgerald,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Catherine Bartch,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,All
Isabella Fitzgerald,33,412,354,302,292,276,246,238,232,212,All
James Harrity,,15,233,226,268,260,223,223,229,197,All
Mona Getzes Cohen,,,7,238,164,151,124,118,106,93,All
Meagan Ingerson,,,,8,168,140,115,113,107,90,All
Erica Vanstone,,,,,2,254,232,222,220,206,All
Richard Lombardo,,,,,,1,216,212,223,189,All
Catherine Bartch,,,,,,,2,203,176,191,All
Billy Cortes,,,,,,,,2,188,174,All
Frank T Brzozowski,,,,,,,,,0,163,All
Marnie Aument Loughrey,,,,,,,,,,0,All
Total,649,448,371,323,316,298,268,257,250,229,All
,Representative In The General Assembly 203rd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,9
,Isabella Fitzgerald,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,Frank T Brzozowski,9
Isabella Fitzgerald,3,38,33,33,24,22,18,17,17,16,9
Meagan Ingerson,,1,25,26,19,16,12,13,12,12,9
James Harrity,,,0,23,22,20,16,17,15,15,9
Mona Getzes Cohen,,,,1,18,16,12,12,11,10,9
Erica Vanstone,,,,,0,19,17,17,18,16,9
Richard Lombardo,,,,,,0,16,15,14,15,9
Catherine Bartch,,,,,,,0,14,13,12,9
Billy Cortes,,,,,,,,0,13,11,9
Marnie Aument Loughrey,,,,,,,,,0,13,9
Frank T Brzozowski,,,,,,,,,,0,9
Total,55,39,35,34,26,25,21,19,19,18,9
,Representative In The General Assembly 203rd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,10
,Isabella Fitzgerald,James Harrity,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Meagan Ingerson,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Frank T Brzozowski,10
Isabella Fitzgerald,5,42,41,34,32,29,27,26,26,25,10
James Harrity,,1,27,31,31,27,25,25,25,24,10
Mona Getzes Cohen,,,1,20,20,27,14,14,13,12,10
Erica Vanstone,,,,0,29,20,24,24,23,23,10
Richard Lombardo,,,,,0,18,22,23,23,24,10
Meagan Ingerson,,,,,,1,13,13,12,11,10
Catherine Bartch,,,,,,,0,21,21,17,10
Marnie Aument Loughrey,,,,,,,,0,18,19,10
Billy Cortes,,,,,,,,,0,18,10
Frank T Brzozowski,,,,,,,,,,0,10
Total,66,44,43,35,33,31,27,27,26,26,10
,Representative In The General Assembly 203rd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,11
,Isabella Fitzgerald,James Harrity,Frank T Brzozowski,Catherine Bartch,Erica Vanstone,Richard Lombardo,Billy Cortes,Mona Getzes Cohen,Marnie Aument Loughrey,Meagan Ingerson,11
Isabella Fitzgerald,0,42,29,26,27,27,24,23,19,18,11
James Harrity,,0,28,25,26,26,23,16,19,13,11
Frank T Brzozowski,,,0,25,27,27,23,12,19,8,11
Catherine Bartch,,,,1,23,23,21,8,18,5,11
Erica Vanstone,,,,,0,26,21,12,18,8,11
Richard Lombardo,,,,,,0,21,11,18,8,11
Billy Cortes,,,,,,,0,7,16,5,11
Mona Getzes Cohen,,,,,,,,1,3,13,11
Marnie Aument Loughrey,,,,,,,,,0,1,11
Meagan Ingerson,,,,,,,,,,0,11
Total,53,42,29,27,27,27,24,24,19,18,11
,Representative In The General Assembly 203rd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,13
,Isabella Fitzgerald,James Harrity,Richard Lombardo,Mona Getzes Cohen,Billy Cortes,Frank T Brzozowski,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Marnie Aument Loughrey,13
Isabella Fitzgerald,2,36,25,25,24,24,22,20,19,18,13
James Harrity,,0,25,18,23,25,23,17,20,18,13
Richard Lombardo,,,1,9,22,25,23,9,19,17,13
Mona Getzes Cohen,,,,0,9,9,8,17,6,4,13
Billy Cortes,,,,,0,22,20,10,20,19,13
Frank T Brzozowski,,,,,,0,22,9,20,17,13
Erica Vanstone,,,,,,,0,8,17,17,13
Meagan Ingerson,,,,,,,,1,6,4,13
Catherine Bartch,,,,,,,,,0,19,13
Marnie Aument Loughrey,,,,,,,,,,0,13
Total,54,38,28,27,26,26,24,24,22,20,13
,Representative In The General Assembly 203rd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,14
,Isabella Fitzgerald,Mona Getzes Cohen,Meagan Ingerson,James Harrity,Billy Cortes,Catherine Bartch,Erica Vanstone,Richard Lombardo,Frank T Brzozowski,Marnie Aument Loughrey,14
Isabella Fitzgerald,2,22,17,11,9,9,9,9,8,8,14
Mona Getzes Cohen,,1,14,9,8,7,8,6,7,7,14
Meagan Ingerson,,,0,9,9,9,9,8,8,8,14
James Harrity,,,,2,5,5,5,4,4,5,14
Billy Cortes,,,,,1,6,7,6,6,7,14
Catherine Bartch,,,,,,0,7,5,5,6,14
Erica Vanstone,,,,,,,0,5,7,6,14
Richard Lombardo,,,,,,,,0,6,4,14
Frank T Brzozowski,,,,,,,,,0,5,14
Marnie Aument Loughrey,,,,,,,,,,0,14
Total,30,23,17,13,10,9,9,9,8,8,14
,Representative In The General Assembly 203rd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,16
