col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
Total,7,7,4,4,4,6,5,10,9
,Member Of The - Republican State Committee 13th Congressional District,,,,,United States Senator - Republican,,1,10
,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Linwood Holland,Lou Barletta,Jim Christiana,2,10
Camille G Mccolgan,1,11,8,8,5,9,5,3,10
Margaret L Recupido,,0,8,8,4,8,4,4,10
Dan Tinney,,,0,8,1,6,3,5,10
Joseph Giedemann,,,,0,1,6,3,6,10
Linwood Holland,,,,,0,5,1,7,10
Lou Barletta,,,,,,1,0,8,10
Jim Christiana,,,,,,,1,9,10
Total,15,12,9,9,6,11,8,10,10
,United States Senator - Republican,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,11
,Jim Christiana,Lou Barletta,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,11
Jim Christiana,0,0,2,0,0,0,0,3,11
Lou Barletta,,0,0,1,0,0,0,4,11
Linwood Holland,,,0,0,0,0,0,5,11
Camille G Mccolgan,,,,0,0,0,0,6,11
Dan Tinney,,,,,0,0,0,7,11
Joseph Giedemann,,,,,,0,0,8,11
Margaret L Recupido,,,,,,,0,9,11
Total,2,1,2,1,0,0,0,10,11
,United States Senator - Republican,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,12
,Jim Christiana,Lou Barletta,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,12
Jim Christiana,1,0,0,0,0,0,0,3,12
Lou Barletta,,0,0,0,0,0,0,4,12
Camille G Mccolgan,,,0,0,0,0,0,5,12
Dan Tinney,,,,0,0,0,0,6,12
Joseph Giedemann,,,,,0,0,0,7,12
Linwood Holland,,,,,,0,0,8,12
Margaret L Recupido,,,,,,,0,9,12
Total,1,0,0,0,0,0,0,10,12
,Member Of The - Republican State Committee 13th Congressional District,,,,,United States Senator - Republican,,1,13
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Lou Barletta,Jim Christiana,2,13
Margaret L Recupido,0,6,5,2,0,5,4,3,13
Camille G Mccolgan,,0,4,2,0,5,2,4,13
Dan Tinney,,,1,2,0,2,3,5,13
Joseph Giedemann,,,,0,0,1,1,6,13
Linwood Holland,,,,,0,0,0,7,13
Lou Barletta,,,,,,1,0,8,13
Jim Christiana,,,,,,,2,9,13
Total,9,7,6,2,0,7,6,10,13
,United States Senator - Republican,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,14
,Jim Christiana,Lou Barletta,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,2,14
Jim Christiana,1,0,5,6,5,3,1,3,14
Lou Barletta,,0,3,1,1,1,2,4,14
