col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,All
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,All
Brendan F Boyle,61,0,544,106,126,98,3,3,All
Michele Lawrence,,23,168,167,109,37,10,4,All
Mike Stack,,,47,0,0,0,0,5,All
Kathi Cozzone,,,,36,0,0,0,6,All
Nina Ahmad,,,,,21,0,0,7,All
John Fetterman,,,,,,14,0,8,All
Ray Sosa,,,,,,,6,9,All
Total,938,514,759,309,256,149,19,10,All
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,1
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,1
Brendan F Boyle,5,0,16,5,11,4,0,3,1
Michele Lawrence,,1,8,10,0,2,0,4,1
Mike Stack,,,1,0,0,0,0,5,1
Kathi Cozzone,,,,1,0,0,0,6,1
John Fetterman,,,,,1,0,0,7,1
Nina Ahmad,,,,,,1,0,8,1
Ray Sosa,,,,,,,0,9,1
Total,41,21,25,16,12,7,0,10,1
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,2
,Brendan F Boyle,Michele Lawrence,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,2
Brendan F Boyle,2,0,13,15,5,3,0,3,2
Michele Lawrence,,0,5,3,4,3,0,4,2
Nina Ahmad,,,2,0,0,0,0,5,2
Mike Stack,,,,0,0,0,0,6,2
Kathi Cozzone,,,,,0,0,0,7,2
John Fetterman,,,,,,0,0,8,2
Ray Sosa,,,,,,,0,9,2
Total,38,15,20,18,9,6,0,10,2
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,3
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Brendan F Boyle,4,0,22,10,5,2,1,3,3
Michele Lawrence,,1,2,6,1,1,1,4,3
Mike Stack,,,1,0,0,0,0,5,3
Kathi Cozzone,,,,1,0,0,0,6,3
Nina Ahmad,,,,,0,0,0,7,3
John Fetterman,,,,,,0,0,8,3
Ray Sosa,,,,,,,1,9,3
Total,44,12,25,17,6,3,3,10,3
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,4
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Brendan F Boyle,3,0,10,3,2,1,0,3,4
Michele Lawrence,,0,5,2,1,1,0,4,4
Mike Stack,,,0,0,0,0,0,5,4
Kathi Cozzone,,,,2,0,0,0,6,4
Nina Ahmad,,,,,0,0,0,7,4
John Fetterman,,,,,,0,0,8,4
Ray Sosa,,,,,,,0,9,4
Total,19,9,15,7,3,2,0,10,4
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,5
,Brendan F Boyle,Michele Lawrence,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,5
Brendan F Boyle,3,0,48,16,11,6,0,3,5
Michele Lawrence,,2,3,0,7,5,1,4,5
Mike Stack,,,1,0,0,0,0,5,5
John Fetterman,,,,2,0,0,0,6,5
Kathi Cozzone,,,,,0,0,0,7,5
Nina Ahmad,,,,,,2,0,8,5
Ray Sosa,,,,,,,1,9,5
Total,84,18,52,18,18,13,2,10,5
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,6
,Brendan F Boyle,Michele Lawrence,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,6
Brendan F Boyle,3,0,23,8,2,3,0,3,6
Michele Lawrence,,0,4,4,5,0,0,4,6
Mike Stack,,,2,0,0,0,0,5,6
