col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,All
,Scott R Wagner,Laura Ellsworth,Paul Mango,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,All
Scott R Wagner,22,0,0,74,84,29,6,3,All
Laura Ellsworth,,20,0,56,44,48,7,4,All
Paul Mango,,,19,41,25,30,4,5,All
Kathy Coder,,,,1,0,0,0,6,All
Jeff Bartos,,,,,5,0,0,7,All
Diana Irey Vaughan,,,,,,0,0,8,All
Peg Luksik,,,,,,,0,9,All
Total,215,175,119,172,158,107,17,10,All
