col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Member Of The Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,All
,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,Christopher M Vogler,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,All
Maria Digiorgio Mccolgan,81,"2,309","2,292","2,292","1,288",726,738,126,All
Theresa A Dintino,,100,"2,234","2,201","1,078",730,719,114,All
Michael A Cibik,,,57,"2,262","1,068",672,716,109,All
Christopher M Vogler,,,,56,"1,084",653,732,95,All
Kathy Coder,,,,,169,0,0,0,All
Diana Irey Vaughan,,,,,,177,0,0,All
Jeff Bartos,,,,,,,143,0,All
Peg Luksik,,,,,,,,44,All
Total,"3,148","2,909","2,799","2,777","1,923","1,255","1,125",207,All
