col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,10
,Jaime Bouldin,David Rodriguez,Barbara Carroll,Sharon Vaughn,Humberto Perez,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,2,10
Jaime Bouldin,7,16,15,15,13,14,12,12,12,3,10
David Rodriguez,,3,15,14,13,14,12,12,12,4,10
Barbara Carroll,,,0,14,12,14,13,12,12,5,10
Sharon Vaughn,,,,1,12,14,11,12,12,6,10
Humberto Perez,,,,,1,12,11,12,12,7,10
Latrice Y Bryant,,,,,,0,11,12,12,8,10
Robert Taylor,,,,,,,1,11,11,9,10
Dustin Morris,,,,,,,,0,12,10,10
Jonathan M Gary,,,,,,,,,0,11,10
Total,25,20,16,16,14,14,14,12,12,12,10
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,11
,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Latrice Y Bryant,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Robert Taylor,2,11
Jaime Bouldin,21,12,14,13,11,11,11,12,11,3,11
Humberto Perez,,7,14,13,13,11,11,12,12,4,11
David Rodriguez,,,5,13,13,11,12,13,12,5,11
Barbara Carroll,,,,1,14,13,14,13,11,6,11
Latrice Y Bryant,,,,,1,10,11,13,12,7,11
Sharon Vaughn,,,,,,2,13,10,11,8,11
Dustin Morris,,,,,,,0,11,11,9,11
Jonathan M Gary,,,,,,,,0,12,10,11
Robert Taylor,,,,,,,,,0,11,11
Total,37,23,21,20,16,16,14,14,13,12,11
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,12
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Dustin Morris,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,Sharon Vaughn,2,12
Jaime Bouldin,14,15,15,12,10,10,10,10,10,3,12
David Rodriguez,,5,15,11,10,10,10,10,10,4,12
Humberto Perez,,,2,11,10,10,10,10,10,5,12
Barbara Carroll,,,,1,10,10,10,10,10,6,12
Dustin Morris,,,,,0,11,9,9,9,7,12
Latrice Y Bryant,,,,,,0,10,10,9,8,12
Jonathan M Gary,,,,,,,0,10,9,9,12
Robert Taylor,,,,,,,,0,9,10,12
Sharon Vaughn,,,,,,,,,0,11,12
Total,30,20,17,13,12,12,10,10,10,12,12
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,13
,Jaime Bouldin,David Rodriguez,Barbara Carroll,Humberto Perez,Jonathan M Gary,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Dustin Morris,2,13
Jaime Bouldin,15,14,10,12,10,9,10,9,9,3,13
David Rodriguez,,3,14,13,13,11,12,10,9,4,13
Barbara Carroll,,,0,8,13,13,12,11,12,5,13
Humberto Perez,,,,4,8,8,8,7,8,6,13
Jonathan M Gary,,,,,1,13,15,12,11,7,13
Sharon Vaughn,,,,,,2,14,12,13,8,13
Latrice Y Bryant,,,,,,,0,13,12,9,13
Robert Taylor,,,,,,,,1,11,10,13
Dustin Morris,,,,,,,,,0,11,13
Total,31,25,18,17,17,17,16,15,13,12,13
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,14
,David Rodriguez,Jaime Bouldin,Humberto Perez,Robert Taylor,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,2,14
David Rodriguez,5,21,24,17,18,15,14,15,14,3,14
Jaime Bouldin,,6,20,14,17,16,11,14,12,4,14
Humberto Perez,,,2,15,17,15,14,15,14,5,14
Robert Taylor,,,,2,17,16,14,13,13,6,14
Sharon Vaughn,,,,,0,17,13,16,14,7,14
Barbara Carroll,,,,,,1,14,14,13,8,14
Latrice Y Bryant,,,,,,,1,13,13,9,14
Dustin Morris,,,,,,,,0,14,10,14
Jonathan M Gary,,,,,,,,,0,11,14
Total,31,30,26,23,22,21,17,16,14,12,14
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,15
,Humberto Perez,David Rodriguez,Jaime Bouldin,Latrice Y Bryant,Sharon Vaughn,Barbara Carroll,Dustin Morris,Robert Taylor,Jonathan M Gary,2,15
Humberto Perez,6,11,11,8,9,9,9,8,8,3,15
David Rodriguez,,3,11,9,10,9,9,8,8,4,15
Jaime Bouldin,,,1,10,10,9,10,8,8,5,15
Latrice Y Bryant,,,,0,10,9,9,9,8,6,15
Sharon Vaughn,,,,,0,9,9,8,8,7,15
Barbara Carroll,,,,,,0,9,9,8,8,15
Dustin Morris,,,,,,,0,8,8,9,15
Robert Taylor,,,,,,,,0,8,10,15
Jonathan M Gary,,,,,,,,,0,11,15
Total,17,15,14,12,11,10,10,9,8,12,15
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,16
,Jaime Bouldin,David Rodriguez,Sharon Vaughn,Humberto Perez,Latrice Y Bryant,Barbara Carroll,Jonathan M Gary,Dustin Morris,Robert Taylor,2,16
Jaime Bouldin,17,23,19,19,17,17,17,16,16,3,16
David Rodriguez,,4,20,22,18,19,17,15,16,4,16
Sharon Vaughn,,,2,18,20,22,19,17,17,5,16
Humberto Perez,,,,3,15,16,14,13,14,6,16
Latrice Y Bryant,,,,,4,18,18,17,15,7,16
Barbara Carroll,,,,,,0,17,16,16,8,16
Jonathan M Gary,,,,,,,1,16,15,9,16
Dustin Morris,,,,,,,,0,15,10,16
Robert Taylor,,,,,,,,,0,11,16
Total,41,31,29,27,25,23,20,17,17,12,16
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,17
,David Rodriguez,Humberto Perez,Jaime Bouldin,Latrice Y Bryant,Dustin Morris,Barbara Carroll,Jonathan M Gary,Sharon Vaughn,Robert Taylor,2,17
David Rodriguez,2,5,5,4,3,3,3,4,2,3,17
Humberto Perez,,1,6,4,5,3,4,3,2,4,17
Jaime Bouldin,,,2,4,4,3,3,3,2,5,17
Latrice Y Bryant,,,,1,4,3,3,4,2,6,17
Dustin Morris,,,,,0,3,4,3,2,7,17
Barbara Carroll,,,,,,1,3,3,2,8,17
Jonathan M Gary,,,,,,,0,3,2,9,17
Sharon Vaughn,,,,,,,,0,2,10,17
Robert Taylor,,,,,,,,,0,11,17
Total,8,8,8,6,5,4,4,4,2,12,17
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,18
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,2,18
Jaime Bouldin,7,12,14,8,8,8,8,6,6,3,18
David Rodriguez,,5,13,7,8,7,7,7,7,4,18
Humberto Perez,,,3,6,7,8,7,6,6,5,18
Barbara Carroll,,,,4,9,7,7,8,7,6,18
Sharon Vaughn,,,,,1,8,7,8,7,7,18
Dustin Morris,,,,,,0,7,6,6,8,18
Jonathan M Gary,,,,,,,0,6,6,9,18
Latrice Y Bryant,,,,,,,,0,7,10,18
Robert Taylor,,,,,,,,,0,11,18
Total,23,19,19,14,11,9,8,8,7,12,18
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,19
,Jaime Bouldin,Latrice Y Bryant,David Rodriguez,Dustin Morris,Barbara Carroll,Robert Taylor,Sharon Vaughn,Jonathan M Gary,Humberto Perez,2,19
Jaime Bouldin,10,10,9,10,8,8,9,8,7,3,19
Latrice Y Bryant,,1,7,9,7,8,9,8,5,4,19
David Rodriguez,,,1,8,7,6,7,6,5,5,19
Dustin Morris,,,,0,8,8,8,8,6,6,19
Barbara Carroll,,,,,1,7,6,7,5,7,19
Robert Taylor,,,,,,1,7,8,5,8,19
Sharon Vaughn,,,,,,,0,7,5,9,19
Jonathan M Gary,,,,,,,,0,5,10,19
Humberto Perez,,,,,,,,,0,11,19
Total,23,11,10,10,9,9,9,8,7,12,19
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,20
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,2,20
Jaime Bouldin,15,32,31,24,23,23,23,20,16,3,20
David Rodriguez,,7,30,23,23,22,22,20,17,4,20
Humberto Perez,,,7,25,23,23,23,21,17,5,20
Barbara Carroll,,,,1,28,26,25,23,18,6,20
Sharon Vaughn,,,,,2,25,25,23,18,7,20
Latrice Y Bryant,,,,,,3,24,22,18,8,20
Jonathan M Gary,,,,,,,0,22,18,9,20
Dustin Morris,,,,,,,,0,18,10,20
Robert Taylor,,,,,,,,,0,11,20
Total,50,41,41,31,30,29,25,24,18,12,20
