col_1,col_2,order,division
,Governor - Democrat,1,All
,Tom Wolf,2,All
Tom Wolf,638,3,All
Total,638,4,All
,Governor - Democrat,1,1
,Tom Wolf,2,1
Tom Wolf,31,3,1
Total,31,4,1
,Governor - Democrat,1,2
,Tom Wolf,2,2
Tom Wolf,39,3,2
Total,39,4,2
,Governor - Democrat,1,3
,Tom Wolf,2,3
Tom Wolf,23,3,3
Total,23,4,3
,Governor - Democrat,1,4
,Tom Wolf,2,4
Tom Wolf,13,3,4
Total,13,4,4
,Governor - Democrat,1,5
,Tom Wolf,2,5
Tom Wolf,15,3,5
Total,15,4,5
,Governor - Democrat,1,6
,Tom Wolf,2,6
Tom Wolf,17,3,6
Total,17,4,6
,Governor - Democrat,1,7
,Tom Wolf,2,7
Tom Wolf,38,3,7
Total,38,4,7
,Governor - Democrat,1,8
,Tom Wolf,2,8
Tom Wolf,35,3,8
Total,35,4,8
,Governor - Democrat,1,9
,Tom Wolf,2,9
Tom Wolf,28,3,9
Total,28,4,9
,Governor - Democrat,1,10
,Tom Wolf,2,10
Tom Wolf,75,3,10
Total,75,4,10
,Governor - Democrat,1,11
,Tom Wolf,2,11
Tom Wolf,30,3,11
Total,30,4,11
,Governor - Democrat,1,12
,Tom Wolf,2,12
Tom Wolf,67,3,12
Total,67,4,12
,Governor - Democrat,1,13
,Tom Wolf,2,13
Tom Wolf,57,3,13
Total,57,4,13
,Governor - Democrat,1,14
,Tom Wolf,2,14
Tom Wolf,18,3,14
Total,18,4,14
,Governor - Democrat,1,15
,Tom Wolf,2,15
Tom Wolf,34,3,15
Total,34,4,15
,Governor - Democrat,1,16
,Tom Wolf,2,16
Tom Wolf,30,3,16
Total,30,4,16
,Governor - Democrat,1,17
,Tom Wolf,2,17
Tom Wolf,33,3,17
Total,33,4,17
,Governor - Democrat,1,18
,Tom Wolf,2,18
Tom Wolf,36,3,18
Total,36,4,18
,Governor - Democrat,1,19
,Tom Wolf,2,19
Tom Wolf,19,3,19
Total,19,4,19
