col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Representative In The General Assembly 195th District - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,All
,Donna Bullock,Tom Young,Marylouise Isaacson,Rhea Powell,Micah Mahjoubian,Noam Kugelmass,Andi Perez,Amanda Mcillmurray,Mariel J K Martin,Darrell L Clarke,Judi Golding Baker,Matthew D Myers,Joe Celentano,Jon Geeting,All
Donna Bullock,380,"1,660","1,546","1,498","1,357","1,325","1,338","1,270","1,228","1,167",968,743,738,556,All
Tom Young,,7,984,817,950,958,901,724,756,695,490,550,515,373,All
Marylouise Isaacson,,,3,983,976,719,"1,059",997,"1,044",773,754,611,457,376,All
Rhea Powell,,,,5,799,808,782,928,767,573,721,323,593,364,All
Micah Mahjoubian,,,,,2,648,890,688,755,620,490,514,470,293,All
Noam Kugelmass,,,,,,9,629,684,559,414,487,233,475,299,All
Andi Perez,,,,,,,2,768,878,683,562,552,401,351,All
Amanda Mcillmurray,,,,,,,,1,777,506,739,355,423,362,All
Mariel J K Martin,,,,,,,,,1,666,582,526,332,254,All
Darrell L Clarke,,,,,,,,,,15,423,512,240,188,All
Judi Golding Baker,,,,,,,,,,,2,320,276,256,All
Matthew D Myers,,,,,,,,,,,,3,169,187,All
Joe Celentano,,,,,,,,,,,,,3,237,All
Jon Geeting,,,,,,,,,,,,,,3,All
Total,"3,234","1,724","1,598","1,536","1,397","1,390","1,383","1,310","1,267","1,207",998,770,763,577,All
