col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Member Of The - Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,1,All
,Denise Furey,Walt Vogler,Calvin R Tucker,Jim Christiana,Lou Barletta,2,All
Denise Furey,0,2,2,2,0,3,All
Walt Vogler,,0,2,1,1,4,All
Calvin R Tucker,,,0,1,0,5,All
Jim Christiana,,,,0,0,6,All
Lou Barletta,,,,,0,7,All
Total,3,3,2,2,1,8,All
,Member Of The - Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,1,9
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Christiana,Lou Barletta,2,9
Calvin R Tucker,0,1,1,0,0,3,9
Denise Furey,,0,1,0,0,4,9
Walt Vogler,,,0,0,0,5,9
Jim Christiana,,,,0,0,6,9
Lou Barletta,,,,,0,7,9
Total,1,1,1,0,0,8,9
,Member Of The - Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,1,13
,Denise Furey,Calvin R Tucker,Walt Vogler,Jim Christiana,Lou Barletta,2,13
Denise Furey,0,0,0,1,0,3,13
Calvin R Tucker,,0,0,0,0,4,13
Walt Vogler,,,0,0,0,5,13
Jim Christiana,,,,0,0,6,13
Lou Barletta,,,,,0,7,13
Total,1,0,0,1,0,8,13
,Member Of The - Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,1,15
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Christiana,Lou Barletta,2,15
Calvin R Tucker,0,1,1,1,0,3,15
Denise Furey,,0,1,1,0,4,15
Walt Vogler,,,0,1,0,5,15
Jim Christiana,,,,0,0,6,15
Lou Barletta,,,,,0,7,15
Total,1,1,1,1,0,8,15
,United States Senator - Republican,,Member Of The - Republican State Committee 2nd Congressional District,,,1,16
,Lou Barletta,Jim Christiana,Walt Vogler,Calvin R Tucker,Denise Furey,2,16
Lou Barletta,0,0,1,0,0,3,16
Jim Christiana,,0,0,0,0,4,16
Walt Vogler,,,0,0,0,5,16
Calvin R Tucker,,,,0,0,6,16
Denise Furey,,,,,0,7,16
Total,1,0,1,0,0,8,16
