col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,All
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Dustin Morris,Robert Taylor,Jonathan M Gary,All
Tom Wolf,440,512,408,393,368,350,323,285,279,270,All
Jaime Bouldin,,5,354,359,309,305,289,276,270,271,All
David Rodriguez,,,4,355,291,292,279,269,270,266,All
Humberto Perez,,,,4,287,291,274,267,266,262,All
Barbara Carroll,,,,,0,335,311,279,272,268,All
Sharon Vaughn,,,,,,3,313,279,273,267,All
Latrice Y Bryant,,,,,,,0,265,271,266,All
Dustin Morris,,,,,,,,0,259,257,All
Robert Taylor,,,,,,,,,1,263,All
Jonathan M Gary,,,,,,,,,,1,All
Total,"1,127",528,424,409,378,365,328,293,286,277,All
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1
,Tom Wolf,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Humberto Perez,Latrice Y Bryant,David Rodriguez,Dustin Morris,Jonathan M Gary,Robert Taylor,1
Tom Wolf,12,40,38,38,36,35,34,31,31,31,1
Jaime Bouldin,,0,32,34,32,32,30,31,30,31,1
Barbara Carroll,,,0,35,32,34,30,31,30,30,1
Sharon Vaughn,,,,0,33,34,30,31,31,31,1
Humberto Perez,,,,,0,31,31,31,31,30,1
Latrice Y Bryant,,,,,,0,29,30,30,30,1
David Rodriguez,,,,,,,0,30,29,29,1
Dustin Morris,,,,,,,,0,30,30,1
Jonathan M Gary,,,,,,,,,0,30,1
Robert Taylor,,,,,,,,,,0,1
Total,65,40,38,38,36,35,34,31,31,31,1
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,2
,Tom Wolf,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Sharon Vaughn,Dustin Morris,2
Tom Wolf,1,14,9,11,10,10,9,9,8,7,2
David Rodriguez,,0,9,9,6,8,7,8,6,6,2
Humberto Perez,,,2,8,6,6,6,6,6,5,2
Jaime Bouldin,,,,0,8,9,7,7,7,6,2
Barbara Carroll,,,,,0,8,8,7,8,6,2
