col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,All
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Scott R Wagner,Paul Mango,Laura Ellsworth,2,All
Kathy Coder,0,0,0,0,5,3,1,3,All
Diana Irey Vaughan,,0,0,0,0,4,3,4,All
Jeff Bartos,,,0,0,3,0,0,5,All
Peg Luksik,,,,0,0,0,0,6,All
Scott R Wagner,,,,,1,0,0,7,All
Paul Mango,,,,,,0,0,8,All
Laura Ellsworth,,,,,,,0,9,All
Total,9,7,3,0,9,7,4,10,All
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,1
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Paul Mango,Laura Ellsworth,Scott R Wagner,2,1
Diana Irey Vaughan,0,0,0,0,1,0,0,3,1
Jeff Bartos,,0,0,0,0,0,0,4,1
Kathy Coder,,,0,0,0,0,0,5,1
Peg Luksik,,,,0,0,0,0,6,1
Paul Mango,,,,,0,0,0,7,1
Laura Ellsworth,,,,,,0,0,8,1
Scott R Wagner,,,,,,,0,9,1
Total,1,0,0,0,1,0,0,10,1
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,2
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Paul Mango,Laura Ellsworth,Scott R Wagner,2,2
Kathy Coder,0,0,0,0,1,0,0,3,2
Diana Irey Vaughan,,0,0,0,0,0,0,4,2
Jeff Bartos,,,0,0,0,0,0,5,2
Peg Luksik,,,,0,0,0,0,6,2
Paul Mango,,,,,0,0,0,7,2
Laura Ellsworth,,,,,,0,0,8,2
Scott R Wagner,,,,,,,0,9,2
Total,1,0,0,0,1,0,0,10,2
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,3
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Paul Mango,Laura Ellsworth,Scott R Wagner,2,3
Kathy Coder,0,0,0,0,1,0,0,3,3
Diana Irey Vaughan,,0,0,0,0,0,0,4,3
Jeff Bartos,,,0,0,0,0,0,5,3
Peg Luksik,,,,0,0,0,0,6,3
Paul Mango,,,,,0,0,0,7,3
Laura Ellsworth,,,,,,0,0,8,3
Scott R Wagner,,,,,,,0,9,3
Total,1,0,0,0,1,0,0,10,3
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,5
,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Scott R Wagner,Laura Ellsworth,Paul Mango,2,5
Jeff Bartos,0,0,0,0,1,0,0,3,5
Diana Irey Vaughan,,0,0,0,0,0,0,4,5
Kathy Coder,,,0,0,0,0,0,5,5
Peg Luksik,,,,0,0,0,0,6,5
Scott R Wagner,,,,,0,0,0,7,5
Laura Ellsworth,,,,,,0,0,8,5
Paul Mango,,,,,,,0,9,5
Total,1,0,0,0,1,0,0,10,5
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,8
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Paul Mango,Laura Ellsworth,Scott R Wagner,2,8
Diana Irey Vaughan,0,0,0,0,1,0,0,3,8
Jeff Bartos,,0,0,0,0,0,0,4,8
Kathy Coder,,,0,0,0,0,0,5,8
Peg Luksik,,,,0,0,0,0,6,8
Paul Mango,,,,,0,0,0,7,8
Laura Ellsworth,,,,,,0,0,8,8
Scott R Wagner,,,,,,,0,9,8
Total,1,0,0,0,1,0,0,10,8
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,11
,Scott R Wagner,Laura Ellsworth,Paul Mango,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,11
Scott R Wagner,0,0,0,1,1,0,0,3,11
Laura Ellsworth,,0,0,0,0,0,0,4,11
Paul Mango,,,0,0,0,0,0,5,11
Jeff Bartos,,,,0,0,0,0,6,11
Kathy Coder,,,,,0,0,0,7,11
Diana Irey Vaughan,,,,,,0,0,8,11
Peg Luksik,,,,,,,0,9,11
Total,2,0,0,1,1,0,0,10,11
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,12
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Paul Mango,Laura Ellsworth,Scott R Wagner,2,12
Diana Irey Vaughan,0,0,0,0,1,0,0,3,12
Jeff Bartos,,0,0,0,0,0,0,4,12
Kathy Coder,,,0,0,0,0,0,5,12
Peg Luksik,,,,0,0,0,0,6,12
Paul Mango,,,,,0,0,0,7,12
Laura Ellsworth,,,,,,0,0,8,12
Scott R Wagner,,,,,,,0,9,12
Total,1,0,0,0,1,0,0,10,12
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,14
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Scott R Wagner,Laura Ellsworth,Paul Mango,2,14
Kathy Coder,0,0,0,0,1,0,0,3,14
Diana Irey Vaughan,,0,0,0,0,0,0,4,14
Jeff Bartos,,,0,0,0,0,0,5,14
Peg Luksik,,,,0,0,0,0,6,14
Scott R Wagner,,,,,0,0,0,7,14
Laura Ellsworth,,,,,,0,0,8,14
Paul Mango,,,,,,,0,9,14
Total,1,0,0,0,1,0,0,10,14
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,17
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Laura Ellsworth,Scott R Wagner,Paul Mango,2,17
Kathy Coder,0,0,0,0,1,1,0,3,17
Diana Irey Vaughan,,0,0,0,0,0,0,4,17
Jeff Bartos,,,0,0,0,0,0,5,17
Peg Luksik,,,,0,0,0,0,6,17
Laura Ellsworth,,,,,0,0,0,7,17
Scott R Wagner,,,,,,0,0,8,17
Paul Mango,,,,,,,0,9,17
Total,2,0,0,0,1,1,0,10,17
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,19
,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Scott R Wagner,Laura Ellsworth,Paul Mango,2,19
Jeff Bartos,0,0,0,0,1,0,0,3,19
Diana Irey Vaughan,,0,0,0,0,0,0,4,19
Kathy Coder,,,0,0,0,0,0,5,19
Peg Luksik,,,,0,0,0,0,6,19
Scott R Wagner,,,,,0,0,0,7,19
Laura Ellsworth,,,,,,0,0,8,19
Paul Mango,,,,,,,0,9,19
Total,1,0,0,0,1,0,0,10,19
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,21
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Paul Mango,Laura Ellsworth,Scott R Wagner,2,21
Diana Irey Vaughan,0,0,0,0,1,0,0,3,21
Jeff Bartos,,0,0,0,0,0,0,4,21
Kathy Coder,,,0,0,0,0,0,5,21
Peg Luksik,,,,0,0,0,0,6,21
Paul Mango,,,,,0,0,0,7,21
Laura Ellsworth,,,,,,0,0,8,21
Scott R Wagner,,,,,,,0,9,21
Total,1,0,0,0,1,0,0,10,21
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,23
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Scott R Wagner,Laura Ellsworth,Paul Mango,2,23
Kathy Coder,0,0,0,0,1,0,0,3,23
Diana Irey Vaughan,,0,0,0,0,0,0,4,23
Jeff Bartos,,,0,0,0,0,0,5,23
Peg Luksik,,,,0,0,0,0,6,23
Scott R Wagner,,,,,0,0,0,7,23
Laura Ellsworth,,,,,,0,0,8,23
Paul Mango,,,,,,,0,9,23
Total,1,0,0,0,1,0,0,10,23
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,25
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Laura Ellsworth,Paul Mango,Scott R Wagner,2,25
Diana Irey Vaughan,0,0,0,0,1,0,0,3,25
