col_1,col_2,col_3,col_4,col_5,order,division
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,All
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,All
David Torres,2,13,3,3,3,All
Scott R Wagner,,3,0,0,4,All
Laura Ellsworth,,,1,0,5,All
Paul Mango,,,,0,6,All
Total,21,16,4,3,7,All
,Governor - Republican,,,Representative In Congress 2nd District - Republican,1,1
,Scott R Wagner,Laura Ellsworth,Paul Mango,David Torres,2,1
Scott R Wagner,2,0,0,2,3,1
Laura Ellsworth,,0,0,1,4,1
Paul Mango,,,0,0,5,1
David Torres,,,,0,6,1
Total,4,1,0,3,7,1
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,2
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,2
David Torres,0,3,0,0,3,2
Scott R Wagner,,0,0,0,4,2
Laura Ellsworth,,,0,0,5,2
Paul Mango,,,,0,6,2
Total,3,3,0,0,7,2
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,3
,David Torres,Laura Ellsworth,Scott R Wagner,Paul Mango,2,3
David Torres,1,1,1,0,3,3
Laura Ellsworth,,1,0,0,4,3
Scott R Wagner,,,0,0,5,3
Paul Mango,,,,0,6,3
Total,3,2,1,0,7,3
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,5
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,5
David Torres,0,1,0,0,3,5
Scott R Wagner,,0,0,0,4,5
Laura Ellsworth,,,0,0,5,5
Paul Mango,,,,0,6,5
Total,1,1,0,0,7,5
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,8
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,8
David Torres,0,1,0,0,3,8
Scott R Wagner,,0,0,0,4,8
Laura Ellsworth,,,0,0,5,8
Paul Mango,,,,0,6,8
Total,1,1,0,0,7,8
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,9
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,9
David Torres,1,0,0,0,3,9
Scott R Wagner,,1,0,0,4,9
Laura Ellsworth,,,0,0,5,9
Paul Mango,,,,0,6,9
Total,1,1,0,0,7,9
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,11
,David Torres,Laura Ellsworth,Paul Mango,Scott R Wagner,2,11
David Torres,0,1,0,0,3,11
Laura Ellsworth,,0,0,0,4,11
Paul Mango,,,0,0,5,11
Scott R Wagner,,,,0,6,11
Total,1,1,0,0,7,11
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,12
,David Torres,Paul Mango,Laura Ellsworth,Scott R Wagner,2,12
David Torres,0,1,0,0,3,12
Paul Mango,,0,0,0,4,12
Laura Ellsworth,,,0,0,5,12
Scott R Wagner,,,,0,6,12
Total,1,1,0,0,7,12
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,13
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,13
David Torres,0,1,0,0,3,13
Scott R Wagner,,0,0,0,4,13
Laura Ellsworth,,,0,0,5,13
Paul Mango,,,,0,6,13
Total,1,1,0,0,7,13
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,17
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,17
David Torres,0,1,0,0,3,17
Scott R Wagner,,0,0,0,4,17
Laura Ellsworth,,,0,0,5,17
Paul Mango,,,,0,6,17
Total,1,1,0,0,7,17
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,19
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,19
David Torres,0,1,0,0,3,19
Scott R Wagner,,0,0,0,4,19
Laura Ellsworth,,,0,0,5,19
Paul Mango,,,,0,6,19
Total,1,1,0,0,7,19
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,20
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,20
David Torres,0,1,0,0,3,20
Scott R Wagner,,0,0,0,4,20
Laura Ellsworth,,,0,0,5,20
Paul Mango,,,,0,6,20
Total,1,1,0,0,7,20
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,22
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,22
David Torres,0,1,0,0,3,22
Scott R Wagner,,0,0,0,4,22
Laura Ellsworth,,,0,0,5,22
Paul Mango,,,,0,6,22
Total,1,1,0,0,7,22
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,24
,David Torres,Paul Mango,Laura Ellsworth,Scott R Wagner,2,24
David Torres,0,2,0,0,3,24
Paul Mango,,0,0,0,4,24
Laura Ellsworth,,,0,0,5,24
Scott R Wagner,,,,0,6,24
Total,2,2,0,0,7,24
