To Remove,United States Senator - Democrat,To Remove 2,Lieutenant Governor - Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,All
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Write In,All
Bob Casey Jr,"9,204",0,"47,329","34,698","21,919","20,028","1,062",5,All
Write In,,10,22,25,20,5,2,5,All
Mike Stack,,,"3,908",0,0,0,0,0,All
Nina Ahmad,,,,"2,120",0,0,0,0,All
John Fetterman,,,,,"1,780",0,0,0,All
Kathi Cozzone,,,,,,"1,269",0,0,All
Ray Sosa,,,,,,,265,0,All
Write In,,,,,,,,0,All
Total,"134,245",89,"51,259","36,843","23,719","21,302","1,329",10,All
1,2,3,4,5,6,7,8,9,All
